time,scope,value
1764952257.6444414,0,33925696.7756958
1764952257.6444414,1,33925697.07556152
1764952258.6443732,0,33925855.708862305
1764952258.6443732,1,33925855.708862305
1764952259.6443849,0,33925993.418029785
1764952259.6443849,1,33925993.500061035
1764952260.6443236,0,33926071.16522217
1764952260.6443236,1,33926071.16522217
1764952261.6443763,0,33926182.40283203
1764952261.6443763,1,33926182.89117432
1764952262.6443737,0,33926343.9017334
1764952262.6443737,1,33926343.9017334
1764952263.6444142,0,33926504.263427734
1764952263.6444142,1,33926504.263427734
1764952264.6443696,0,33926656.71594238
1764952264.6443696,1,33926656.71594238
1764952265.644395,0,33926809.213134766
1764952265.644395,1,33926809.38696289
1764952266.6443481,0,33926961.88421631
1764952266.6443481,1,33926961.88421631
1764952267.644357,0,33927114.37548828
1764952267.644357,1,33927114.37548828
1764952268.6444056,0,33927267.02258301
1764952268.6444056,1,33927267.02258301
1764952269.644333,0,33927419.017822266
1764952269.644333,1,33927419.017822266
1764952270.6443677,0,33927571.98449707
1764952270.6443677,1,33927572.146850586
1764952271.6443796,0,33927724.13671875
1764952271.6443796,1,33927724.293395996
1764952272.644334,0,33927877.22558594
1764952272.644334,1,33927877.22558594
1764952273.6443813,0,33928029.75915527
1764952273.6443813,1,33928029.75915527
1764952274.644376,0,33928182.29699707
1764952274.644376,1,33928182.29699707
1764952275.6443508,0,33928334.940979004
1764952275.6443508,1,33928334.940979004
1764952276.6443655,0,33928487.502197266
1764952276.6443655,1,33928487.502197266
1764952277.6443355,0,33928639.985839844
1764952277.6443355,1,33928640.11657715
1764952278.6444118,0,33928792.573913574
1764952278.6444118,1,33928792.573913574
1764952279.6443403,0,33928945.122802734
1764952279.6443403,1,33928945.122802734
1764952280.6443923,0,33929097.69848633
1764952280.6443923,1,33929098.302490234
1764952281.6443863,0,33929250.17248535
1764952281.6443863,1,33929250.326538086
1764952282.6443331,0,33929402.81695557
1764952282.6443331,1,33929402.81695557
1764952283.6443882,0,33929555.32922363
1764952283.6443882,1,33929555.466552734
1764952284.6443598,0,33929707.9362793
1764952284.6443598,1,33929707.9362793
1764952285.6443362,0,33929860.44207764
1764952285.6443362,1,33929860.44207764
1764952286.6443584,0,33930013.09777832
1764952286.6443584,1,33930013.09777832
1764952287.6442325,0,33930165.627441406
1764952287.6442325,1,33930165.627441406
1764952288.6443498,0,33930318.13726807
1764952288.6443498,1,33930318.13726807
1764952289.6463575,0,33930471.08758545
1764952289.6463575,1,33930471.08758545
1764952290.6443548,0,33930623.31604004
1764952290.6443548,1,33930623.31604004
1764952291.6443586,0,33930775.78869629
1764952291.6443586,1,33930775.945007324
1764952292.6443799,0,33930928.44866943
1764952292.6443799,1,33930928.44866943
1764952293.6443806,0,33931081.0579834
1764952293.6443806,1,33931081.0579834
1764952294.644382,0,33931233.61871338
1764952294.644382,1,33931233.61871338
1764952295.6443727,0,33931386.07501221
1764952295.6443727,1,33931386.32684326
1764952296.6443472,0,33931538.68457031
1764952296.6443472,1,33931538.68457031
1764952297.6443214,0,33931691.14691162
1764952297.6443214,1,33931691.31439209
1764952298.6443572,0,33931843.738586426
1764952298.6443572,1,33931843.738586426
1764952299.6443658,0,33931996.37182617
1764952299.6443658,1,33931996.37182617
1764952300.644343,0,33932148.93023682
1764952300.644343,1,33932148.93023682
1764952301.6443985,0,33932301.44128418
1764952301.6443985,1,33932301.587768555
1764952302.6443293,0,33932454.06152344
1764952302.6443293,1,33932454.06152344
1764952303.6443934,0,33932606.51849365
1764952303.6443934,1,33932606.67681885
1764952304.644303,0,33932759.02496338
1764952304.644303,1,33932759.20391846
1764952305.644326,0,33932911.752075195
1764952305.644326,1,33932911.752075195
1764952306.644353,0,33933064.24890137
1764952306.644353,1,33933064.37225342
1764952307.644324,0,33933216.88220215
1764952307.644324,1,33933216.88220215
1764952308.6443398,0,33933369.38183594
1764952308.6443398,1,33933369.38183594
1764952309.6443815,0,33933521.89562988
1764952309.6443815,1,33933522.055114746
1764952310.6443965,0,33933674.5402832
1764952310.6443965,1,33933674.5402832
1764952311.6443486,0,33933827.05847168
1764952311.6443486,1,33933827.05847168
1764952312.644353,0,33933979.63366699
1764952312.644353,1,33933979.63366699
1764952313.6443794,0,33934132.216796875
1764952313.6443794,1,33934132.216796875
1764952314.6443791,0,33934284.84472656
1764952314.6443791,1,33934284.84472656
1764952315.6443615,0,33934437.31506348
1764952315.6443615,1,33934437.31506348
1764952316.644351,0,33934589.85681152
1764952316.644351,1,33934590.1260376
1764952317.6443663,0,33934742.47290039
1764952317.6443663,1,33934742.47290039
1764952318.6443539,0,33934894.95220947
1764952318.6443539,1,33934894.95220947
1764952319.64437,0,33935047.58996582
1764952319.64437,1,33935047.58996582
1764952320.6443565,0,33935200.123291016
1764952320.6443565,1,33935200.123291016
1764952321.6443205,0,33935352.60479736
1764952321.6443205,1,33935352.60479736
1764952322.6463368,0,33935505.59777832
1764952322.6463368,1,33935505.59777832
1764952323.644353,0,33935657.777160645
1764952323.644353,1,33935657.777160645
1764952324.6443787,0,33935810.296569824
1764952324.6443787,1,33935810.45324707
1764952325.6443598,0,33935962.99230957
1764952325.6443598,1,33935962.99230957
1764952326.6443715,0,33936115.468444824
1764952326.6443715,1,33936115.468444824
1764952327.6443107,0,33936268.00402832
1764952327.6443107,1,33936268.00402832
1764952328.6443684,0,33936420.521484375
1764952328.6443684,1,33936420.70263672
1764952329.6443737,0,33936573.12176514
1764952329.6443737,1,33936573.27838135
1764952330.6443577,0,33936725.73852539
1764952330.6443577,1,33936725.73852539
1764952331.6443624,0,33936878.36529541
1764952331.6443624,1,33936878.36529541
1764952332.6443484,0,33937030.75250244
1764952332.6443484,1,33937030.90911865
1764952333.6443458,0,33937183.42706299
1764952333.6443458,1,33937183.42706299
1764952334.6443594,0,33937335.92779541
1764952334.6443594,1,33937335.92779541
1764952335.6443768,0,33937488.595947266
1764952335.6443768,1,33937488.595947266
