time,value
1764969941.629266,1.0
1764969941.6400285,3.0
1764969941.6506107,3.0
1764969941.6611698,3.0
1764969941.6717825,3.0
1764969941.682395,3.0
1764969941.6930337,3.0
1764969941.7036335,3.0
1764969941.714233,3.0
1764969941.7248502,3.0
1764969941.7354348,3.0
1764969941.7460234,3.0
1764969941.7566082,3.0
1764969941.7671902,3.0
1764969941.777733,3.0
1764969941.7882748,3.0
1764969941.7988062,3.0
1764969941.8093414,3.0
1764969941.819863,3.0
1764969941.8304021,3.0
1764969941.8409305,3.0
1764969941.8514695,3.0
1764969941.8619878,3.0
1764969941.8725255,3.0
1764969941.8830466,3.0
1764969941.893575,3.0
1764969941.9041054,3.0
1764969941.9146297,3.0
1764969941.9251492,3.0
1764969941.935689,3.0
1764969941.9462192,3.0
1764969941.9567974,3.0
1764969941.9673803,3.0
1764969941.9779375,3.0
1764969941.9885087,3.0
1764969941.9990692,3.0
1764969942.0096402,3.0
1764969942.0201962,3.0
1764969942.0307486,3.0
1764969942.041325,3.0
1764969942.051904,3.0
1764969942.062474,3.0
1764969942.073076,3.0
1764969942.0836782,3.0
1764969942.0942903,3.0
1764969942.1048853,3.0
1764969942.115491,3.0
1764969942.1260738,3.0
1764969942.1366937,3.0
1764969942.147303,3.0
1764969942.1579041,3.0
1764969942.168501,3.0
1764969942.1790984,3.0
1764969942.1897066,3.0
1764969942.200313,3.0
1764969942.2109044,3.0
1764969942.221506,3.0
1764969942.232105,3.0
1764969942.2427142,3.0
1764969942.2533343,3.0
1764969942.263933,3.0
1764969942.2745261,3.0
1764969942.2851367,3.0
1764969942.2957351,3.0
1764969942.3063474,3.0
1764969942.3169482,3.0
1764969942.3275447,3.0
1764969942.3381407,3.0
1764969942.3487442,3.0
1764969942.3593552,3.0
1764969942.369944,3.0
1764969942.3805404,3.0
1764969942.3911438,3.0
1764969942.4017525,3.0
1764969942.4123707,3.0
1764969942.4229558,3.0
1764969942.4335742,3.0
1764969942.4441833,3.0
1764969942.454771,3.0
1764969942.4653716,3.0
1764969942.475955,3.0
1764969942.4865496,3.0
1764969942.4971488,3.0
1764969942.5077496,3.0
1764969942.5183513,3.0
1764969942.5289257,3.0
1764969942.5395343,3.0
1764969942.5501351,3.0
1764969942.5671768,2.0
1764969942.5811887,1.0
1764969942.591736,3.0
1764969942.6023066,3.0
1764969942.6128225,3.0
1764969942.6235986,3.0
1764969942.6342764,3.0
1764969942.6449337,3.0
1764969942.6556501,3.0
1764969942.6664233,3.0
1764969942.6770878,3.0
1764969942.6878426,3.0
1764969942.6985707,3.0
1764969942.7093573,3.0
1764969942.720075,3.0
1764969942.7307706,3.0
1764969942.7414272,3.0
1764969942.7520666,3.0
1764969942.762712,3.0
1764969942.7733724,3.0
1764969942.7840593,3.0
1764969942.7946804,3.0
1764969942.8055098,3.0
1764969942.816165,3.0
1764969942.8267975,3.0
1764969942.8373573,3.0
1764969942.8481128,3.0
1764969942.8587325,3.0
1764969942.869358,3.0
1764969942.8799453,3.0
1764969942.8905997,3.0
1764969942.9012706,3.0
1764969942.9160612,1.0
1764969942.926778,3.0
1764969942.9375052,3.0
1764969942.9482315,3.0
1764969942.958932,3.0
1764969942.969658,3.0
1764969942.9804277,3.0
1764969942.9911656,3.0
1764969943.0018704,3.0
1764969943.0125902,3.0
1764969943.0232897,3.0
1764969943.0339866,3.0
1764969943.04473,3.0
1764969943.0554423,3.0
1764969943.0661428,3.0
1764969943.0768478,3.0
1764969943.0875642,3.0
1764969943.0982742,3.0
1764969943.1089873,3.0
1764969943.1196904,3.0
1764969943.1303906,3.0
1764969943.1410918,3.0
1764969943.1517959,3.0
1764969943.162521,3.0
1764969943.1732426,3.0
1764969943.1839404,3.0
1764969943.1946378,3.0
1764969943.205364,3.0
1764969943.2160676,3.0
1764969943.2267709,3.0
1764969943.2374666,3.0
1764969943.2481608,3.0
1764969943.258862,3.0
1764969943.2723677,1.0
1764969943.2853222,1.0
1764969943.2960484,3.0
1764969943.3067484,3.0
1764969943.3174417,3.0
1764969943.3280659,3.0
1764969943.3386538,3.0
1764969943.349225,3.0
1764969943.3598082,3.0
1764969943.3704016,3.0
1764969943.3809922,3.0
1764969943.391555,3.0
1764969943.4021337,3.0
1764969943.4127154,3.0
1764969943.4232965,3.0
1764969943.4338593,3.0
1764969943.4444618,3.0
1764969943.455028,3.0
1764969943.465607,3.0
1764969943.476174,3.0
1764969943.486762,3.0
1764969943.4973571,3.0
1764969943.5079358,3.0
1764969943.5185409,3.0
1764969943.5292265,3.0
1764969943.539942,3.0
1764969943.550667,3.0
1764969943.5623343,3.0
1764969943.5730076,3.0
1764969943.5837038,3.0
1764969943.5946302,3.0
1764969943.60491,2.0
1764969943.6159406,3.0
1764969943.6268628,3.0
1764969943.6376922,3.0
1764969943.6485138,3.0
1764969943.6591606,3.0
1764969943.6698697,3.0
1764969943.6805904,3.0
1764969943.6923332,3.0
1764969943.705199,3.0
1764969943.71531,2.0
1764969943.7253945,2.0
1764969943.7354255,2.0
1764969943.7503111,3.0
1764969943.760418,2.0
1764969943.7705798,2.0
1764969943.7806816,2.0
1764969943.7907894,2.0
1764969943.8008945,2.0
1764969943.8155823,3.0
1764969943.8300045,3.0
1764969943.8443842,3.0
1764969943.8587327,3.0
1764969943.8730962,3.0
1764969943.8872132,3.0
1764969943.9011369,3.0
1764969943.9149199,3.0
1764969943.9286048,3.0
1764969943.9423184,3.0
1764969943.9558356,3.0
1764969943.9695542,3.0
1764969943.9830537,3.0
1764969943.996495,3.0
1764969944.0099502,3.0
1764969944.0234494,3.0
1764969944.0368776,3.0
1764969944.0504317,3.0
1764969944.063738,3.0
1764969944.077176,3.0
1764969944.090522,3.0
1764969944.1037626,3.0
1764969944.1170936,3.0
1764969944.1305993,3.0
1764969944.1439466,3.0
1764969944.1573567,3.0
1764969944.1706412,3.0
1764969944.1839426,3.0
1764969944.197344,3.0
1764969944.2106514,3.0
1764969944.2239861,3.0
1764969944.2374625,3.0
1764969944.2508967,3.0
1764969944.264436,3.0
1764969944.2781386,3.0
1764969944.291577,3.0
1764969944.3050354,3.0
1764969944.3186586,3.0
1764969944.332088,3.0
1764969944.3455524,3.0
1764969944.3589995,3.0
1764969944.3725317,3.0
1764969944.386128,3.0
1764969944.3996205,3.0
1764969944.413107,3.0
1764969944.42659,3.0
1764969944.4401238,3.0
1764969944.4535322,3.0
1764969944.467108,3.0
1764969944.480418,3.0
1764969944.4938514,3.0
1764969944.5073113,3.0
1764969944.5207486,3.0
1764969944.5341825,3.0
1764969944.5477343,3.0
1764969944.5619922,3.0
1764969944.5752554,3.0
1764969944.5887537,3.0
1764969944.6026077,3.0
1764969944.615907,3.0
1764969944.6292953,3.0
1764969944.642763,3.0
1764969944.656232,3.0
1764969944.6697793,3.0
1764969944.683772,3.0
1764969944.6974025,3.0
1764969944.7110848,3.0
1764969944.7249324,3.0
1764969944.7387748,3.0
1764969944.7525015,3.0
1764969944.7662008,3.0
1764969944.7798543,3.0
1764969944.7939403,3.0
1764969944.8073032,3.0
1764969944.8209822,3.0
1764969944.8344939,3.0
1764969944.8481302,3.0
1764969944.8616345,3.0
1764969944.8752735,3.0
1764969944.8888173,3.0
1764969944.9023626,3.0
1764969944.9157975,3.0
1764969944.929454,3.0
1764969944.9429922,3.0
1764969944.9565682,3.0
1764969944.9700363,3.0
1764969944.983535,3.0
1764969944.997135,3.0
1764969945.010619,3.0
1764969945.0240483,3.0
1764969945.0375125,3.0
1764969945.0510745,3.0
1764969945.0645602,3.0
1764969945.0779428,3.0
1764969945.0914676,3.0
1764969945.1049535,3.0
1764969945.118655,3.0
1764969945.1321504,3.0
1764969945.1455743,3.0
1764969945.1588764,3.0
1764969945.1725051,3.0
1764969945.1860597,3.0
1764969945.199585,3.0
1764969945.2130237,3.0
1764969945.2265503,3.0
1764969945.2398505,3.0
1764969945.2533019,3.0
1764969945.2668247,3.0
1764969945.2801845,3.0
1764969945.2937553,3.0
1764969945.3073373,3.0
1764969945.3208125,3.0
1764969945.3342183,3.0
1764969945.347672,3.0
1764969945.3611617,3.0
1764969945.3745697,3.0
1764969945.3880353,3.0
1764969945.401594,3.0
1764969945.414974,3.0
1764969945.4284508,3.0
1764969945.441834,3.0
1764969945.4552832,3.0
1764969945.468699,3.0
1764969945.482153,3.0
1764969945.4954944,3.0
1764969945.5089629,3.0
1764969945.5202808,3.0
1764969945.5310836,3.0
1764969945.541944,3.0
1764969945.5528708,3.0
1764969945.5648074,3.0
1764969945.5757759,3.0
1764969945.5867229,3.0
1764969945.5980144,3.0
1764969945.6090124,3.0
1764969945.6199534,3.0
1764969945.6309044,3.0
1764969945.6508164,2.0
1764969945.66153,3.0
1764969945.6723146,3.0
1764969945.6831222,3.0
1764969945.6936758,3.0
1764969945.7044358,3.0
1764969945.7152514,3.0
1764969945.7262194,3.0
1764969945.7369494,3.0
1764969945.7478967,3.0
1764969945.758617,3.0
1764969945.7693415,3.0
1764969945.7800853,3.0
1764969945.7908242,3.0
1764969945.8015654,3.0
1764969945.8122785,3.0
1764969945.822972,3.0
1764969945.8336859,3.0
1764969945.8444223,3.0
1764969945.8551564,3.0
1764969945.865838,3.0
1764969945.876434,3.0
1764969945.8869221,3.0
1764969945.8974702,3.0
