time,scope,value
1763672002.1651983,0,3310293.9044799805
1763672002.1651983,1,3310293.9044799805
1763672003.1651764,0,3310359.707336426
1763672003.1651764,1,3310359.707336426
1763672004.1650782,0,3310425.268798828
1763672004.1650782,1,3310425.268798828
1763672005.1649444,0,3310491.066833496
1763672005.1649444,1,3310491.066833496
1763672006.1648207,0,3310554.031555176
1763672006.1648207,1,3310554.0928344727
1763672007.1649435,0,3310613.2899780273
1763672007.1649435,1,3310613.2899780273
1763672008.1650827,0,3310672.118041992
1763672008.1650827,1,3310672.118041992
1763672009.1642466,0,3310731.1435546875
1763672009.1642466,1,3310731.1435546875
1763672010.1644404,0,3310790.258605957
1763672010.1644404,1,3310790.258605957
1763672011.164578,0,3310849.489807129
1763672011.164578,1,3310849.489807129
1763672012.1647165,0,3310908.515991211
1763672012.1647165,1,3310908.515991211
1763672013.1642976,0,3310991.7447509766
1763672013.1642976,1,3310992.0400390625
1763672014.1643026,0,3311158.4348754883
1763672014.1643026,1,3311158.4348754883
1763672015.164294,0,3311324.4978027344
1763672015.164294,1,3311324.4978027344
1763672016.1647587,0,3311480.634338379
1763672016.1647587,1,3311480.634338379
1763672017.1643105,0,3311627.156188965
1763672017.1643105,1,3311627.156188965
1763672018.1643124,0,3311773.7091674805
1763672018.1643124,1,3311773.7091674805
1763672019.1642957,0,3311920.3696899414
1763672019.1642957,1,3311920.3696899414
1763672020.1682992,0,3312067.466430664
1763672020.1682992,1,3312067.466430664
1763672021.1647577,0,3312213.5774536133
1763672021.1647577,1,3312213.5774536133
1763672022.164308,0,3312360.1013183594
1763672022.164308,1,3312360.1013183594
1763672023.1642992,0,3312506.619995117
1763672023.1642992,1,3312506.619995117
1763672024.1643088,0,3312653.1384277344
1763672024.1643088,1,3312653.1384277344
1763672025.1645262,0,3312799.8127441406
1763672025.1645262,1,3312799.8127441406
1763672026.164247,0,3312946.3466796875
1763672026.164247,1,3312946.3466796875
1763672027.1642952,0,3313093.0721435547
1763672027.1642952,1,3313093.0721435547
1763672028.1643114,0,3313239.5161743164
1763672028.1643114,1,3313239.5161743164
1763672029.1643069,0,3313386.048095703
1763672029.1643069,1,3313386.048095703
1763672030.1642952,0,3313526.7131347656
1763672030.1642952,1,3313526.7131347656
1763672031.1643095,0,3313662.257080078
1763672031.1643095,1,3313662.257080078
1763672032.1643095,0,3313797.942504883
1763672032.1643095,1,3313797.942504883
1763672033.164302,0,3313933.5201416016
1763672033.164302,1,3313933.5201416016
1763672034.1643002,0,3314069.1560058594
1763672034.1643002,1,3314069.1560058594
1763672035.1643064,0,3314204.727661133
1763672035.1643064,1,3314204.727661133
1763672036.16431,0,3314340.287475586
1763672036.16431,1,3314340.4196777344
1763672037.1642969,0,3314475.987976074
1763672037.1642969,1,3314475.987976074
1763672038.1642978,0,3314611.498352051
1763672038.1642978,1,3314611.498352051
1763672039.164307,0,3314747.091064453
1763672039.164307,1,3314747.2567749023
1763672040.1643057,0,3314882.7866210938
1763672040.1643057,1,3314882.7866210938
1763672041.1643033,0,3315018.3529663086
1763672041.1643033,1,3315018.3529663086
1763672042.1642995,0,3315154.0037841797
1763672042.1642995,1,3315154.0037841797
1763672043.164298,0,3315289.5939331055
1763672043.164298,1,3315289.5939331055
1763672044.1643102,0,3315425.2416381836
1763672044.1643102,1,3315425.2416381836
1763672045.1642964,0,3315560.828430176
1763672045.1642964,1,3315560.828430176
1763672046.1643023,0,3315696.381225586
1763672046.1643023,1,3315696.50390625
1763672047.1642966,0,3315832.0377807617
1763672047.1642966,1,3315832.0377807617
1763672048.1642983,0,3315967.601196289
1763672048.1642983,1,3315967.601196289
1763672049.1643069,0,3316103.2987060547
1763672049.1643069,1,3316103.2987060547
1763672050.1643093,0,3316238.8584594727
1763672050.1643093,1,3316238.8584594727
1763672051.1643033,0,3316374.409790039
1763672051.1643033,1,3316374.525756836
1763672052.1643054,0,3316510.0865478516
1763672052.1643054,1,3316510.0865478516
1763672053.1643062,0,3316645.6451416016
1763672053.1643062,1,3316645.6451416016
1763672054.164297,0,3316781.299255371
1763672054.164297,1,3316781.299255371
1763672055.164302,0,3316916.8639526367
1763672055.164302,1,3316916.8639526367
1763672056.1643095,0,3317052.467651367
1763672056.1643095,1,3317052.467651367
1763672057.1642954,0,3317188.109069824
1763672057.1642954,1,3317188.109069824
1763672058.164295,0,3317323.7178344727
1763672058.164295,1,3317323.7178344727
1763672059.1643105,0,3317459.3009643555
1763672059.1643105,1,3317459.405029297
1763672060.1643062,0,3317594.94720459
1763672060.1643062,1,3317594.94720459
1763672061.1643019,0,3317730.5170898438
1763672061.1643019,1,3317730.622680664
1763672062.1643057,0,3317866.1821289062
1763672062.1643057,1,3317866.1821289062
1763672063.164302,0,3318001.7337646484
1763672063.164302,1,3318001.7337646484
1763672064.1642995,0,3318137.2732543945
1763672064.1642995,1,3318137.399963379
1763672065.164295,0,3318272.947570801
1763672065.164295,1,3318272.947570801
1763672066.1643093,0,3318408.6486816406
1763672066.1643093,1,3318408.6486816406
1763672067.1643088,0,3318544.1974487305
1763672067.1643088,1,3318544.1974487305
1763672068.1643083,0,3318679.876220703
1763672068.1643083,1,3318679.876220703
1763672069.1643102,0,3318815.4481811523
1763672069.1643102,1,3318815.4481811523
1763672070.1643136,0,3318950.999267578
1763672070.1643136,1,3318950.999267578
1763672071.1643126,0,3319086.6865844727
1763672071.1643126,1,3319086.6865844727
1763672072.164298,0,3319222.25982666
1763672072.164298,1,3319222.25982666
1763672073.1643083,0,3319357.7752075195
1763672073.1643083,1,3319357.7752075195
1763672074.1643069,0,3319493.484741211
1763672074.1643069,1,3319493.484741211
1763672075.1643023,0,3319629.07220459
1763672075.1643023,1,3319629.07220459
1763672076.1643088,0,3319764.601989746
1763672076.1643088,1,3319764.7305908203
1763672077.1643095,0,3319900.3095703125
1763672077.1643095,1,3319900.3095703125
1763672078.1643074,0,3320035.5607299805
1763672078.1643074,1,3320035.5607299805
1763672079.1643054,0,3320171.4645996094
1763672079.1643054,1,3320171.4645996094
1763672080.1642964,0,3320307.0853881836
1763672080.1642964,1,3320307.0853881836
1763672081.1643136,0,3320442.741394043
1763672081.1643136,1,3320442.741394043
1763672082.1643057,0,3320578.310241699
1763672082.1643057,1,3320578.310241699
1763672083.164306,0,3320713.91015625
1763672083.164306,1,3320713.91015625
1763672084.1643116,0,3320849.565612793
1763672084.1643116,1,3320849.565612793
1763672085.1643038,0,3320985.131164551
1763672085.1643038,1,3320985.131164551
1763672086.164306,0,3321120.7299804688
1763672086.164306,1,3321120.7299804688
1763672087.1643257,0,3321256.3888549805
1763672087.1643257,1,3321256.3888549805
1763672088.1643085,0,3321391.9295043945
1763672088.1643085,1,3321391.9295043945
1763672089.164311,0,3321527.500732422
1763672089.164311,1,3321527.651916504
1763672090.164299,0,3321663.19921875
1763672090.164299,1,3321663.19921875
1763672091.164305,0,3321798.7833251953
1763672091.164305,1,3321798.7833251953
1763672092.1642954,0,3321934.369567871
1763672092.1642954,1,3321934.369567871
1763672093.1643085,0,3322069.943359375
1763672093.1643085,1,3322070.0891723633
1763672094.1642983,0,3322205.6541137695
1763672094.1642983,1,3322205.6541137695
1763672095.1642964,0,3322341.2260131836
1763672095.1642964,1,3322341.2260131836
1763672096.1643016,0,3322476.8756103516
1763672096.1643016,1,3322476.8756103516
1763672097.164316,0,3322612.428527832
1763672097.164316,1,3322612.428527832
1763672098.1643074,0,3322748.0404663086
1763672098.1643074,1,3322748.0404663086
1763672099.1643107,0,3322883.691467285
1763672099.1643107,1,3322883.691467285
1763672100.1643066,0,3323019.2650146484
1763672100.1643066,1,3323019.2650146484
1763672101.1643114,0,3323154.863647461
1763672101.1643114,1,3323154.863647461
1763672102.1643128,0,3323290.432800293
1763672102.1643128,1,3323290.565979004
1763672103.1642983,0,3323426.0162353516
1763672103.1642983,1,3323426.1759643555
1763672104.1643047,0,3323561.686279297
1763672104.1643047,1,3323561.686279297
1763672105.1643074,0,3323697.268310547
1763672105.1643074,1,3323697.397338867
1763672106.164312,0,3323832.839782715
1763672106.164312,1,3323833.0005493164
1763672107.1643038,0,3323968.5157470703
1763672107.1643038,1,3323968.5157470703
