time,scope,value
1763649936.8893957,nrm.extra.perf.PAPI_L3_TCA.73723,473327707.0
1763649936.8893957,nrm.extra.perf.PAPI_TOT_INS.73723,152990365319.0
1763649936.8893957,nrm.extra.perf.PAPI_TOT_CYC.73723,259503739808.0
1763649936.8893957,nrm.extra.perf.PAPI_RES_STL.73723,130266331917.0
1763649936.8893957,nrm.extra.perf.PAPI_L3_TCM.73723,34570199.0
1763649937.8873892,nrm.extra.perf.PAPI_L3_TCA.73723,987147927.0
1763649937.8873892,nrm.extra.perf.PAPI_TOT_INS.73723,318900322745.0
1763649937.8873892,nrm.extra.perf.PAPI_TOT_CYC.73723,537690092066.0
1763649937.8873892,nrm.extra.perf.PAPI_RES_STL.73723,271927075597.0
1763649937.8873892,nrm.extra.perf.PAPI_L3_TCM.73723,75240780.0
1763649938.8867986,nrm.extra.perf.PAPI_L3_TCA.73723,1395046133.0
1763649938.8867986,nrm.extra.perf.PAPI_TOT_INS.73723,450377739205.0
1763649938.8867986,nrm.extra.perf.PAPI_TOT_CYC.73723,758437374872.0
1763649938.8867986,nrm.extra.perf.PAPI_RES_STL.73723,383195829724.0
1763649938.8867986,nrm.extra.perf.PAPI_L3_TCM.73723,109419831.0
1763649939.8877478,nrm.extra.perf.PAPI_L3_TCA.73723,1764382778.0
1763649939.8877478,nrm.extra.perf.PAPI_TOT_INS.73723,569661134645.0
1763649939.8877478,nrm.extra.perf.PAPI_TOT_CYC.73723,958429871919.0
1763649939.8877478,nrm.extra.perf.PAPI_RES_STL.73723,483803192197.0
1763649939.8877478,nrm.extra.perf.PAPI_L3_TCM.73723,139801737.0
1763649940.8887706,nrm.extra.perf.PAPI_L3_TCA.73723,2136439836.0
1763649940.8887706,nrm.extra.perf.PAPI_TOT_INS.73723,689692095045.0
1763649940.8887706,nrm.extra.perf.PAPI_TOT_CYC.73723,1158648776256.0
1763649940.8887706,nrm.extra.perf.PAPI_RES_STL.73723,585216771922.0
