time,actuator,value
1763744943.9840677,Actuator(ptr=c_void_p(346741536)),165.0
1763744945.9870934,Actuator(ptr=c_void_p(346741536)),78.0
1763744947.988585,Actuator(ptr=c_void_p(346741536)),78.0
1763744949.9908276,Actuator(ptr=c_void_p(346741536)),78.0
1763744951.9891834,Actuator(ptr=c_void_p(346741536)),78.0
1763744953.9897928,Actuator(ptr=c_void_p(346741536)),78.0
1763744955.9889965,Actuator(ptr=c_void_p(346741536)),78.0
1763744957.9879012,Actuator(ptr=c_void_p(346741536)),78.0
1763744959.9884586,Actuator(ptr=c_void_p(346741536)),78.0
1763744961.988537,Actuator(ptr=c_void_p(346741536)),78.0
1763744963.986646,Actuator(ptr=c_void_p(346741536)),78.0
1763744965.9878724,Actuator(ptr=c_void_p(346741536)),78.0
1763744967.9872727,Actuator(ptr=c_void_p(346741536)),78.0
1763744969.9881747,Actuator(ptr=c_void_p(346741536)),78.0
1763744971.9867525,Actuator(ptr=c_void_p(346741536)),78.0
1763744973.9883988,Actuator(ptr=c_void_p(346741536)),78.0
