time,value
1763745956.9786692,1.0
1763745956.9959579,1.0
1763745957.0128596,1.0
1763745957.0298147,1.0
1763745957.0468776,1.0
1763745957.0640013,1.0
1763745957.0809548,1.0
1763745957.0977547,1.0
1763745957.1145518,1.0
1763745957.1313736,1.0
1763745957.1483362,1.0
1763745957.165219,1.0
1763745957.1821234,1.0
1763745957.199101,1.0
1763745957.2162473,1.0
1763745957.2332277,1.0
1763745957.2502391,1.0
1763745957.2671576,1.0
1763745957.2840142,1.0
1763745957.3008459,1.0
1763745957.3176198,1.0
1763745957.334389,1.0
1763745957.3511622,1.0
1763745957.3679335,1.0
1763745957.3847048,1.0
1763745957.4014754,1.0
1763745957.4182408,1.0
1763745957.4350023,1.0
1763745957.4517682,1.0
1763745957.4685707,1.0
1763745957.485376,1.0
1763745957.5021343,1.0
1763745957.518903,1.0
1763745957.53567,1.0
1763745957.552436,1.0
1763745957.5691996,1.0
1763745957.5859833,1.0
1763745957.6027563,1.0
1763745957.619526,1.0
1763745957.6363664,1.0
1763745957.6531405,1.0
1763745957.6699078,1.0
1763745957.6867287,1.0
1763745957.7035072,1.0
1763745957.7202804,1.0
1763745957.7370396,1.0
1763745957.753802,1.0
1763745957.7705803,1.0
1763745957.7873688,1.0
1763745957.8041377,1.0
1763745957.820918,1.0
1763745957.8378682,1.0
1763745957.854631,1.0
1763745957.8714058,1.0
1763745957.888228,1.0
1763745957.904994,1.0
1763745957.936345,1.0
1763745957.9534698,1.0
1763745957.9701457,1.0
1763745957.986969,1.0
1763745958.0036466,1.0
1763745958.020313,1.0
1763745958.0369918,1.0
1763745958.05378,1.0
1763745958.070445,1.0
1763745958.087175,1.0
1763745958.1040325,1.0
1763745958.1207404,1.0
1763745958.137408,1.0
1763745958.1540685,1.0
1763745958.1708784,1.0
1763745958.1875286,1.0
1763745958.204258,1.0
1763745958.2208974,1.0
1763745958.237567,1.0
1763745958.254252,1.0
1763745958.2709143,1.0
1763745958.287671,1.0
1763745958.3043277,1.0
1763745958.3209815,1.0
1763745958.3376331,1.0
1763745958.354292,1.0
1763745958.3709688,1.0
1763745958.387663,1.0
1763745958.404329,1.0
1763745958.421015,1.0
1763745958.437688,1.0
1763745958.4543846,1.0
1763745958.471049,1.0
1763745958.4877944,1.0
1763745958.5046787,1.0
1763745958.521447,1.0
1763745958.538221,1.0
1763745958.555076,1.0
1763745958.571861,1.0
1763745958.5886228,1.0
1763745958.6054018,1.0
1763745958.6222022,1.0
1763745958.6388907,1.0
1763745958.6555927,1.0
1763745958.6722674,1.0
1763745958.6890173,1.0
1763745958.705687,1.0
1763745958.7223673,1.0
1763745958.7390225,1.0
1763745958.7556763,1.0
1763745958.77234,1.0
1763745958.7889955,1.0
1763745958.8056908,1.0
