time,scope,value
1763758420.137018,nrm.extra.perf.PAPI_L3_TCA.114435,307704113198.0
1763758420.137018,nrm.extra.perf.PAPI_TOT_INS.114435,6091594731349.0
1763758420.137018,nrm.extra.perf.PAPI_TOT_CYC.114435,31177353853172.0
1763758420.137018,nrm.extra.perf.PAPI_RES_STL.114435,27256893415491.0
1763758420.137018,nrm.extra.perf.PAPI_L3_TCM.114435,286864801608.0
1763758420.2189114,nrm.extra.perf.PAPI_L3_TCA.115644,2336215133.0
1763758420.2189114,nrm.extra.perf.PAPI_TOT_INS.115644,47149237900.0
1763758420.2189114,nrm.extra.perf.PAPI_TOT_CYC.115644,284876062656.0
1763758420.2189114,nrm.extra.perf.PAPI_RES_STL.115644,249762121269.0
1763758420.2189114,nrm.extra.perf.PAPI_L3_TCM.115644,2179037270.0
1763758421.1368175,nrm.extra.perf.PAPI_L3_TCA.114435,307704113198.0
1763758421.1368175,nrm.extra.perf.PAPI_TOT_INS.114435,6091594731349.0
1763758421.1368175,nrm.extra.perf.PAPI_TOT_CYC.114435,31177353853172.0
1763758421.1368175,nrm.extra.perf.PAPI_RES_STL.114435,27256893415491.0
1763758421.1368175,nrm.extra.perf.PAPI_L3_TCM.114435,286864801608.0
1763758421.2155473,nrm.extra.perf.PAPI_L3_TCA.115644,4770132983.0
1763758421.2155473,nrm.extra.perf.PAPI_TOT_INS.115644,95695974299.0
1763758421.2155473,nrm.extra.perf.PAPI_TOT_CYC.115644,578522682928.0
1763758421.2155473,nrm.extra.perf.PAPI_RES_STL.115644,509261612706.0
1763758421.2155473,nrm.extra.perf.PAPI_L3_TCM.115644,4441374730.0
1763758422.1365309,nrm.extra.perf.PAPI_L3_TCA.114435,307704113198.0
1763758422.1365309,nrm.extra.perf.PAPI_TOT_INS.114435,6091594731349.0
1763758422.1365309,nrm.extra.perf.PAPI_TOT_CYC.114435,31177353853172.0
1763758422.1365309,nrm.extra.perf.PAPI_RES_STL.114435,27256893415491.0
1763758422.1365309,nrm.extra.perf.PAPI_L3_TCM.114435,286864801608.0
1763758422.2217097,nrm.extra.perf.PAPI_L3_TCA.115644,6770397509.0
1763758422.2217097,nrm.extra.perf.PAPI_TOT_INS.115644,135941371748.0
1763758422.2217097,nrm.extra.perf.PAPI_TOT_CYC.115644,776799624307.0
1763758422.2217097,nrm.extra.perf.PAPI_RES_STL.115644,678050092242.0
1763758422.2217097,nrm.extra.perf.PAPI_L3_TCM.115644,6316622937.0
1763758423.1374695,nrm.extra.perf.PAPI_L3_TCA.114435,307704113198.0
1763758423.1374695,nrm.extra.perf.PAPI_TOT_INS.114435,6091594731349.0
1763758423.1374695,nrm.extra.perf.PAPI_TOT_CYC.114435,31177353853172.0
1763758423.1374695,nrm.extra.perf.PAPI_RES_STL.114435,27256893415491.0
1763758423.1374695,nrm.extra.perf.PAPI_L3_TCM.114435,286864801608.0
1763758423.2255237,nrm.extra.perf.PAPI_L3_TCA.115644,8721997060.0
1763758423.2255237,nrm.extra.perf.PAPI_TOT_INS.115644,174824445803.0
