time,value
1764040939.083475,1.0
1764040939.2398455,1.0
1764040939.394837,1.0
1764040939.550273,1.0
1764040939.7070954,1.0
1764040939.863476,1.0
1764040940.0791929,1.0
1764040940.3248293,1.0
1764040940.5572288,1.0
1764040940.804062,1.0
1764040941.092938,1.0
1764040941.3273044,1.0
1764040941.569279,1.0
1764040941.7785296,1.0
1764040941.9283147,1.0
1764040942.078196,1.0
1764040942.2288625,1.0
1764040942.3797584,1.0
1764040942.532247,1.0
1764040942.6856103,1.0
1764040942.8368666,1.0
1764040942.989541,1.0
1764040943.1414785,1.0
1764040943.2938454,1.0
1764040943.4453607,1.0
1764040943.5970213,1.0
1764040943.7501955,1.0
1764040943.9082372,1.0
1764040944.0768676,1.0
1764040944.242329,1.0
1764040944.4018867,1.0
1764040944.571643,1.0
1764040944.7278852,1.0
1764040944.9134746,1.0
1764040945.071502,1.0
1764040945.2276511,1.0
1764040945.3837647,1.0
1764040945.5398507,1.0
1764040945.6963158,1.0
1764040945.8525465,1.0
1764040946.008765,1.0
1764040946.1649342,1.0
1764040946.3312042,1.0
1764040946.4910147,1.0
1764040946.6473107,1.0
1764040946.8038394,1.0
1764040946.9586737,1.0
1764040947.1136987,1.0
1764040947.269037,1.0
1764040947.4456704,1.0
1764040947.6238422,1.0
1764040947.7800677,1.0
1764040947.962788,1.0
1764040948.1173146,1.0
1764040948.2690697,1.0
1764040948.4204571,1.0
1764040948.5717926,1.0
1764040948.728745,1.0
1764040948.8915253,1.0
1764040949.054106,1.0
1764040949.2107856,1.0
1764040949.3624055,1.0
1764040949.521845,1.0
1764040949.6978593,1.0
1764040949.8703632,1.0
1764040950.030383,1.0
1764040950.1817613,1.0
1764040950.3378994,1.0
1764040950.490871,1.0
1764040950.65933,1.0
1764040950.8208463,1.0
1764040950.983268,1.0
1764040951.1458783,1.0
1764040951.3248525,1.0
1764040951.5028574,1.0
1764040951.6845012,1.0
1764040951.8509014,1.0
1764040952.0208313,1.0
1764040952.2088506,1.0
1764040952.3821077,1.0
1764040952.5340087,1.0
1764040952.685397,1.0
1764040952.843767,1.0
1764040952.9978352,1.0
1764040953.1571684,1.0
1764040953.3093178,1.0
1764040953.4614813,1.0
1764040953.6222334,1.0
1764040953.7829084,1.0
1764040953.942854,1.0
1764040954.123873,1.0
1764040954.3002343,1.0
1764040954.4529314,1.0
1764040954.6156678,1.0
1764040954.7670856,1.0
1764040954.919866,1.0
1764040955.0750265,1.0
1764040955.2288957,1.0
1764040955.415012,1.0
1764040955.5696695,1.0
1764040955.7515907,1.0
1764040955.9325721,1.0
1764040956.0851624,1.0
1764040956.2458777,1.0
1764040956.4317844,1.0
1764040956.589906,1.0
1764040956.7429116,1.0
1764040956.9017932,1.0
1764040957.0539687,1.0
1764040957.2438638,1.0
1764040957.417846,1.0
1764040957.5788887,1.0
1764040957.7528315,1.0
1764040957.937839,1.0
1764040958.0939066,1.0
1764040958.26045,1.0
1764040958.4129043,1.0
1764040958.5734987,1.0
1764040958.764875,1.0
1764040958.9416053,1.0
1764040959.117101,1.0
1764040959.270256,1.0
1764040959.4528484,1.0
1764040959.6288922,1.0
1764040959.7985897,1.0
1764040959.9598567,1.0
1764040960.1128242,1.0
1764040960.2768707,1.0
1764040960.4618204,1.0
1764040960.6438344,1.0
1764040960.819617,1.0
1764040960.9997585,1.0
1764040961.158244,1.0
1764040961.3168766,1.0
1764040961.4986932,1.0
1764040961.6497355,1.0
1764040961.8028882,1.0
1764040961.9632163,1.0
1764040962.1198695,1.0
1764040962.2728686,1.0
1764040962.4239109,1.0
1764040962.576863,1.0
1764040962.7283099,1.0
1764040962.9008942,1.0
1764040963.0857995,1.0
1764040963.2618775,1.0
1764040963.4188821,1.0
1764040963.5998662,1.0
1764040963.7697716,1.0
1764040963.9515953,1.0
1764040964.1189265,1.0
1764040964.2958972,1.0
1764040964.459858,1.0
1764040964.619936,1.0
1764040964.7747128,1.0
1764040964.926751,1.0
1764040965.0847871,1.0
1764040965.2460487,1.0
1764040965.3980415,1.0
1764040965.5509279,1.0
1764040965.7316163,1.0
1764040965.8884318,1.0
1764040966.0818696,1.0
1764040966.2349586,1.0
1764040966.3920052,1.0
1764040966.5538461,1.0
1764040966.727166,1.0
1764040966.8818886,1.0
1764040967.0383532,1.0
1764040967.197768,1.0
1764040967.3709483,1.0
1764040967.5308025,1.0
1764040967.697748,1.0
1764040967.8577363,1.0
1764040968.0378828,1.0
1764040968.1980333,1.0
1764040968.3568912,1.0
1764040968.5138059,1.0
1764040968.6752698,1.0
1764040968.8578818,1.0
1764040969.0368638,1.0
1764040969.2230797,1.0
1764040969.4108627,1.0
1764040969.6078832,1.0
1764040969.8058364,1.0
1764040969.9815965,1.0
1764040970.1568422,1.0
1764040970.341867,1.0
1764040970.496538,1.0
1764040970.6569197,1.0
1764040970.8530614,1.0
1764040971.0402868,1.0
1764040971.1998842,1.0
1764040971.3547568,1.0
1764040971.5404377,1.0
1764040971.6987982,1.0
1764040971.8586826,1.0
1764040972.012893,1.0
1764040972.187743,1.0
1764040972.3428721,1.0
1764040972.496899,1.0
1764040972.664771,1.0
1764040972.843083,1.0
1764040972.9961526,1.0
1764040973.1485095,1.0
1764040973.301974,1.0
1764040973.4543538,1.0
1764040973.624857,1.0
1764040973.782488,1.0
1764040973.935045,1.0
1764040974.0892441,1.0
1764040974.244833,1.0
