time,scope,value
1764048518.139817,nrm.extra.perf.PAPI_L3_TCA.282442,2337674844.0
1764048518.139817,nrm.extra.perf.PAPI_TOT_INS.282442,48853156073.0
1764048518.139817,nrm.extra.perf.PAPI_TOT_CYC.282442,288666824477.0
1764048518.139817,nrm.extra.perf.PAPI_RES_STL.282442,256628770385.0
1764048518.139817,nrm.extra.perf.PAPI_L3_TCM.282442,2077935049.0
1764048519.141834,nrm.extra.perf.PAPI_L3_TCA.282442,4655593351.0
1764048519.141834,nrm.extra.perf.PAPI_TOT_INS.282442,97540162408.0
1764048519.141834,nrm.extra.perf.PAPI_TOT_CYC.282442,581971353695.0
1764048519.141834,nrm.extra.perf.PAPI_RES_STL.282442,515473057318.0
1764048519.141834,nrm.extra.perf.PAPI_L3_TCM.282442,4140587951.0
1764048520.1437747,nrm.extra.perf.PAPI_L3_TCA.282442,6492516982.0
1764048520.1437747,nrm.extra.perf.PAPI_TOT_INS.282442,136395748718.0
1764048520.1437747,nrm.extra.perf.PAPI_TOT_CYC.282442,764631833766.0
1764048520.1437747,nrm.extra.perf.PAPI_RES_STL.282442,668614554597.0
1764048520.1437747,nrm.extra.perf.PAPI_L3_TCM.282442,5773671822.0
1764048521.1402743,nrm.extra.perf.PAPI_L3_TCA.282442,8386391888.0
1764048521.1402743,nrm.extra.perf.PAPI_TOT_INS.282442,175977507386.0
1764048521.1402743,nrm.extra.perf.PAPI_TOT_CYC.282442,944011651867.0
1764048521.1402743,nrm.extra.perf.PAPI_RES_STL.282442,821227399932.0
1764048521.1402743,nrm.extra.perf.PAPI_L3_TCM.282442,7456869499.0
1764048522.1432416,nrm.extra.perf.PAPI_L3_TCA.282442,10756416250.0
1764048522.1432416,nrm.extra.perf.PAPI_TOT_INS.282442,225346569644.0
1764048522.1432416,nrm.extra.perf.PAPI_TOT_CYC.282442,1239247628524.0
1764048522.1432416,nrm.extra.perf.PAPI_RES_STL.282442,1083743121383.0
1764048522.1432416,nrm.extra.perf.PAPI_L3_TCM.282442,9559518526.0
1764048523.1406763,nrm.extra.perf.PAPI_L3_TCA.282442,13064013856.0
1764048523.1406763,nrm.extra.perf.PAPI_TOT_INS.282442,273968862280.0
1764048523.1406763,nrm.extra.perf.PAPI_TOT_CYC.282442,1532631363055.0
1764048523.1406763,nrm.extra.perf.PAPI_RES_STL.282442,1341438842244.0
1764048523.1406763,nrm.extra.perf.PAPI_L3_TCM.282442,11612507728.0
1764048524.1424224,nrm.extra.perf.PAPI_L3_TCA.282442,15433036795.0
1764048524.1424224,nrm.extra.perf.PAPI_TOT_INS.282442,323607087172.0
1764048524.1424224,nrm.extra.perf.PAPI_TOT_CYC.282442,1826117345330.0
1764048524.1424224,nrm.extra.perf.PAPI_RES_STL.282442,1600585855694.0
