time,actuator,value
1764025208.812633,Actuator(ptr=c_void_p(792464256)),165.0
1764025210.8211067,Actuator(ptr=c_void_p(792464256)),78.0
1764025212.8221216,Actuator(ptr=c_void_p(792464256)),130.0
1764025214.8195987,Actuator(ptr=c_void_p(792464256)),165.0
1764025216.8182547,Actuator(ptr=c_void_p(792464256)),107.0
1764025218.8169343,Actuator(ptr=c_void_p(792464256)),165.0
1764025220.819993,Actuator(ptr=c_void_p(792464256)),107.0
1764025222.8204563,Actuator(ptr=c_void_p(792464256)),165.0
1764025224.8190498,Actuator(ptr=c_void_p(792464256)),107.0
1764025226.8181078,Actuator(ptr=c_void_p(792464256)),165.0
1764025228.8196008,Actuator(ptr=c_void_p(792464256)),107.0
1764025230.8176038,Actuator(ptr=c_void_p(792464256)),165.0
1764025232.817318,Actuator(ptr=c_void_p(792464256)),107.0
1764025234.8200643,Actuator(ptr=c_void_p(792464256)),165.0
1764025236.8179538,Actuator(ptr=c_void_p(792464256)),159.0
1764025238.8169415,Actuator(ptr=c_void_p(792464256)),107.0
1764025240.8173356,Actuator(ptr=c_void_p(792464256)),165.0
1764025242.8171563,Actuator(ptr=c_void_p(792464256)),107.0
1764025244.8190014,Actuator(ptr=c_void_p(792464256)),165.0
