time,value
1743103367.0013988,3.0
1743103367.0121763,3.0
1743103367.022841,3.0
1743103367.0334914,3.0
1743103367.0440903,3.0
1743103367.0547042,3.0
1743103367.0653355,3.0
1743103367.0759175,3.0
1743103367.0865173,3.0
1743103367.0970688,3.0
1743103367.1077638,3.0
1743103367.1183352,3.0
1743103367.128957,3.0
1743103367.139674,3.0
1743103367.150242,3.0
1743103367.160776,3.0
1743103367.1713634,3.0
1743103367.1819167,3.0
1743103367.192485,3.0
1743103367.2030556,3.0
1743103367.213577,3.0
1743103367.2241092,3.0
1743103367.2347202,3.0
1743103367.2461493,3.0
1743103367.2572966,3.0
1743103367.2678936,3.0
1743103367.2799344,3.0
1743103367.2929134,3.0
1743103367.3075452,3.0
1743103367.322197,3.0
1743103367.3332794,2.0
1743103367.3434029,2.0
1743103367.3581629,3.0
1743103367.3681674,2.0
1743103367.3829134,3.0
1743103367.3976867,3.0
1743103367.412376,3.0
1743103367.4223855,2.0
1743103367.4324222,2.0
1743103367.4465501,3.0
1743103367.4606807,3.0
1743103367.4746456,3.0
1743103367.4884682,3.0
1743103367.5023136,3.0
1743103367.5160542,3.0
1743103367.529987,3.0
1743103367.5437915,3.0
1743103367.5574133,3.0
1743103367.5712361,3.0
1743103367.5849066,3.0
1743103367.598706,3.0
1743103367.6122103,3.0
1743103367.626046,3.0
1743103367.6396346,3.0
1743103367.6532018,3.0
1743103367.6667354,3.0
1743103367.6803362,3.0
1743103367.6938865,3.0
1743103367.7074208,3.0
1743103367.7208967,3.0
1743103367.7346087,3.0
1743103367.7480106,3.0
1743103367.7617745,3.0
1743103367.7752872,3.0
1743103367.7887518,3.0
1743103367.80236,3.0
1743103367.8161006,3.0
1743103367.8297238,3.0
1743103367.843194,3.0
1743103367.856833,3.0
1743103367.8703928,3.0
1743103367.883801,3.0
1743103367.897405,3.0
1743103367.9108808,3.0
1743103367.9244552,3.0
1743103367.9381258,3.0
1743103367.951693,3.0
1743103367.9624987,2.0
1743103367.9800622,2.0
1743103367.9942179,1.0
1743103368.006523,3.0
1743103368.0192206,3.0
1743103368.0324416,3.0
1743103368.0460424,3.0
1743103368.059589,3.0
1743103368.073188,3.0
1743103368.0867445,3.0
1743103368.1003973,3.0
1743103368.1138594,3.0
1743103368.1275969,3.0
1743103368.1411963,3.0
1743103368.154645,3.0
1743103368.1683428,3.0
1743103368.1818416,3.0
1743103368.1954541,3.0
1743103368.2088556,3.0
1743103368.2222555,3.0
1743103368.2357812,3.0
1743103368.2482564,2.0
1743103368.260871,3.0
1743103368.2743175,3.0
1743103368.288536,3.0
1743103368.3026094,3.0
1743103368.3161469,3.0
1743103368.329756,3.0
1743103368.3434763,3.0
1743103368.3570626,3.0
1743103368.370445,3.0
