time,scope,value
1743103410.8099997,nrm.extra.perf.PAPI_L3_TCA.378711,1869180529.0
1743103410.8099997,nrm.extra.perf.PAPI_TOT_INS.378711,39324513625.0
1743103410.8099997,nrm.extra.perf.PAPI_TOT_CYC.378711,206397824530.0
1743103410.8099997,nrm.extra.perf.PAPI_RES_STL.378711,174489885424.0
1743103410.8099997,nrm.extra.perf.PAPI_L3_TCM.378711,1648125536.0
1743103411.8108127,nrm.extra.perf.PAPI_L3_TCA.378711,3661650764.0
1743103411.8108127,nrm.extra.perf.PAPI_TOT_INS.378711,76940085429.0
1743103411.8108127,nrm.extra.perf.PAPI_TOT_CYC.378711,380531632760.0
1743103411.8108127,nrm.extra.perf.PAPI_RES_STL.378711,319176740315.0
1743103411.8108127,nrm.extra.perf.PAPI_L3_TCM.378711,3233219343.0
1743103412.8121855,nrm.extra.perf.PAPI_L3_TCA.378711,5407805098.0
1743103412.8121855,nrm.extra.perf.PAPI_TOT_INS.378711,114577751492.0
1743103412.8121855,nrm.extra.perf.PAPI_TOT_CYC.378711,560504673619.0
1743103412.8121855,nrm.extra.perf.PAPI_RES_STL.378711,463496342084.0
1743103412.8121855,nrm.extra.perf.PAPI_L3_TCM.378711,4782377675.0
1743103413.810848,nrm.extra.perf.PAPI_L3_TCA.378711,7415676613.0
1743103413.810848,nrm.extra.perf.PAPI_TOT_INS.378711,156870215697.0
1743103413.810848,nrm.extra.perf.PAPI_TOT_CYC.378711,777293958375.0
1743103413.810848,nrm.extra.perf.PAPI_RES_STL.378711,645514781069.0
1743103413.810848,nrm.extra.perf.PAPI_L3_TCM.378711,6553041594.0
1743103414.809352,nrm.extra.perf.PAPI_L3_TCA.378711,9462448426.0
1743103414.809352,nrm.extra.perf.PAPI_TOT_INS.378711,203584675703.0
1743103414.809352,nrm.extra.perf.PAPI_TOT_CYC.378711,994829660072.0
1743103414.809352,nrm.extra.perf.PAPI_RES_STL.378711,829166845892.0
1743103414.809352,nrm.extra.perf.PAPI_L3_TCM.378711,8361400247.0
1743103415.8103206,nrm.extra.perf.PAPI_L3_TCA.378711,11524809318.0
1743103415.8103206,nrm.extra.perf.PAPI_TOT_INS.378711,255406122521.0
1743103415.8103206,nrm.extra.perf.PAPI_TOT_CYC.378711,1216260741963.0
1743103415.8103206,nrm.extra.perf.PAPI_RES_STL.378711,1011701237187.0
1743103415.8103206,nrm.extra.perf.PAPI_L3_TCM.378711,10182789221.0
1743103416.8122022,nrm.extra.perf.PAPI_L3_TCA.378711,13549519637.0
1743103416.8122022,nrm.extra.perf.PAPI_TOT_INS.378711,305728345501.0
1743103416.8122022,nrm.extra.perf.PAPI_TOT_CYC.378711,1427435555333.0
1743103416.8122022,nrm.extra.perf.PAPI_RES_STL.378711,1189179969263.0
1743103416.8122022,nrm.extra.perf.PAPI_L3_TCM.378711,11975133531.0
1743103417.811388,nrm.extra.perf.PAPI_L3_TCA.378711,15588700606.0
1743103417.811388,nrm.extra.perf.PAPI_TOT_INS.378711,356112521701.0
1743103417.811388,nrm.extra.perf.PAPI_TOT_CYC.378711,1637787614772.0
1743103417.811388,nrm.extra.perf.PAPI_RES_STL.378711,1367175581390.0
1743103417.811388,nrm.extra.perf.PAPI_L3_TCM.378711,13774920335.0
1743103418.812784,nrm.extra.perf.PAPI_L3_TCA.378711,17600379190.0
1743103418.812784,nrm.extra.perf.PAPI_TOT_INS.378711,400860556545.0
1743103418.812784,nrm.extra.perf.PAPI_TOT_CYC.378711,1846300292856.0
1743103418.812784,nrm.extra.perf.PAPI_RES_STL.378711,1540698725715.0
1743103418.812784,nrm.extra.perf.PAPI_L3_TCM.378711,15592433717.0
1743103419.809958,nrm.extra.perf.PAPI_L3_TCA.378711,19725043822.0
1743103419.809958,nrm.extra.perf.PAPI_TOT_INS.378711,436377145978.0
1743103419.809958,nrm.extra.perf.PAPI_TOT_CYC.378711,2050182343893.0
1743103419.809958,nrm.extra.perf.PAPI_RES_STL.378711,1717083967734.0
1743103419.809958,nrm.extra.perf.PAPI_L3_TCM.378711,17569419633.0
1743103420.813747,nrm.extra.perf.PAPI_L3_TCA.378711,21934438314.0
1743103420.813747,nrm.extra.perf.PAPI_TOT_INS.378711,472773192583.0
