time,scope,value
1744695002.3096578,0,161936.37622070312
1744695002.3096578,1,161936.54656982422
1744695003.3096576,0,162098.24615478516
1744695003.3096576,1,162098.4282836914
1744695004.3096642,0,162228.85314941406
1744695004.3096642,1,162229.00256347656
1744695005.309708,0,162306.5923461914
1744695005.309708,1,162306.71655273438
1744695006.3097122,0,162409.20764160156
1744695006.3097122,1,162409.43182373047
1744695007.3096616,0,162544.79119873047
1744695007.3096616,1,162545.0177001953
1744695008.3096685,0,162672.07299804688
1744695008.3096685,1,162672.15216064453
1744695009.3097286,0,162789.66619873047
1744695009.3097286,1,162789.9100341797
1744695010.3096673,0,162907.26092529297
1744695010.3096673,1,162907.48498535156
1744695011.309712,0,163024.98461914062
1744695011.309712,1,163025.23760986328
1744695012.3096523,0,163142.6478881836
1744695012.3096523,1,163142.8451538086
1744695013.3096628,0,163260.3497314453
1744695013.3096628,1,163260.45428466797
1744695014.3096669,0,163377.83178710938
1744695014.3096669,1,163378.07257080078
1744695015.3096771,0,163495.67901611328
1744695015.3096771,1,163495.76989746094
1744695016.309671,0,163613.23175048828
1744695016.309671,1,163613.45135498047
1744695017.309674,0,163730.9151611328
1744695017.309674,1,163731.11639404297
1744695018.3096664,0,163848.6099243164
1744695018.3096664,1,163848.7108154297
1744695019.3096712,0,163966.33270263672
1744695019.3096712,1,163966.40698242188
1744695020.3096628,0,164083.80249023438
1744695020.3096628,1,164084.30395507812
1744695021.3096836,0,164201.62469482422
1744695021.3096836,1,164201.86004638672
1744695022.3097079,0,164319.3319091797
1744695022.3097079,1,164319.42358398438
1744695023.30966,0,164436.91400146484
1744695023.30966,1,164437.0121459961
1744695024.309689,0,164554.61260986328
1744695024.309689,1,164554.85498046875
1744695025.309705,0,164672.28125
1744695025.309705,1,164672.39532470703
1744695026.3096583,0,164789.91961669922
1744695026.3096583,1,164790.0050048828
1744695027.30967,0,164907.47521972656
1744695027.30967,1,164907.58520507812
1744695028.309678,0,165025.19555664062
1744695028.309678,1,165025.3070678711
1744695029.3096695,0,165142.85522460938
1744695029.3096695,1,165143.0668334961
1744695030.309657,0,165260.5239868164
1744695030.309657,1,165260.63092041016
1744695031.3097541,0,165378.33392333984
1744695031.3097541,1,165378.509765625
1744695032.3097162,0,165495.76654052734
1744695032.3097162,1,165496.02575683594
1744695033.3096848,0,165613.51641845703
1744695033.3096848,1,165613.61456298828
1744695034.3096712,0,165731.1788330078
1744695034.3096712,1,165731.29565429688
1744695035.3096695,0,165848.78356933594
1744695035.3096695,1,165848.998046875
1744695036.3096716,0,165966.48901367188
1744695036.3096716,1,165966.70965576172
1744695037.309694,0,166084.22338867188
1744695037.309694,1,166084.37072753906
1744695038.3096285,0,166201.76538085938
1744695038.3096285,1,166201.98657226562
1744695039.3096716,0,166319.4940185547
1744695039.3096716,1,166319.6112060547
1744695040.309671,0,166437.08721923828
1744695040.309671,1,166437.30938720703
1744695041.3096685,0,166554.7435913086
1744695041.3096685,1,166554.95733642578
1744695042.3096695,0,166672.44329833984
1744695042.3096695,1,166672.53649902344
