time,value
1744693037.302595,1.0
1744693037.3213348,1.0
1744693037.3383672,1.0
1744693037.3554053,1.0
1744693037.3728452,1.0
1744693037.389808,1.0
1744693037.4068484,1.0
1744693037.4237816,1.0
1744693037.4407606,1.0
1744693037.4577074,1.0
1744693037.4753156,1.0
1744693037.4922278,1.0
1744693037.5091817,1.0
1744693037.5263712,1.0
1744693037.5433073,1.0
1744693037.5602744,1.0
1744693037.5773456,1.0
1744693037.594272,1.0
1744693037.6112108,1.0
1744693037.628101,1.0
1744693037.645043,1.0
1744693037.6619534,1.0
1744693037.678846,1.0
1744693037.6957414,1.0
1744693037.7126417,1.0
1744693037.7295783,1.0
1744693037.7465253,1.0
1744693037.7635095,1.0
1744693037.7804103,1.0
1744693037.7975142,1.0
1744693037.814496,1.0
1744693037.8314004,1.0
1744693037.8498,1.0
1744693037.8666925,1.0
1744693037.8835907,1.0
1744693037.9005492,1.0
1744693037.9174454,1.0
1744693037.9344208,1.0
1744693037.9513538,1.0
1744693037.9682748,1.0
1744693037.9851844,1.0
1744693038.0020933,1.0
1744693038.0190947,1.0
1744693038.0360096,1.0
1744693038.0529418,1.0
1744693038.0698555,1.0
1744693038.086786,1.0
1744693038.1036878,1.0
1744693038.120587,1.0
1744693038.1375587,1.0
1744693038.1544952,1.0
1744693038.1714718,1.0
1744693038.1883807,1.0
1744693038.205306,1.0
1744693038.2223446,1.0
1744693038.2402267,1.0
1744693038.2692702,1.0
1744693038.2862659,1.0
1744693038.3031988,1.0
1744693038.3219225,1.0
1744693038.338827,1.0
1744693038.3561864,1.0
1744693038.373146,1.0
1744693038.3900678,1.0
1744693038.4071631,1.0
1744693038.424288,1.0
1744693038.4412339,1.0
1744693038.4581976,1.0
1744693038.4751594,1.0
1744693038.4920964,1.0
1744693038.509063,1.0
1744693038.52603,1.0
1744693038.5430374,1.0
1744693038.5600314,1.0
1744693038.5770679,1.0
1744693038.5940797,1.0
1744693038.6110218,1.0
1744693038.6282423,1.0
1744693038.645213,1.0
1744693038.662182,1.0
1744693038.6791441,1.0
1744693038.6960819,1.0
1744693038.7130225,1.0
1744693038.7301006,1.0
1744693038.7469382,1.0
1744693038.764142,1.0
1744693038.7811005,1.0
1744693038.7981753,1.0
1744693038.8152332,1.0
1744693038.8321612,1.0
1744693038.8491402,1.0
1744693038.866073,1.0
1744693038.883208,1.0
1744693038.9001997,1.0
1744693038.9171684,1.0
1744693038.9341576,1.0
1744693038.9511123,1.0
1744693038.9682055,1.0
1744693038.9851518,1.0
1744693039.002108,1.0
1744693039.01911,1.0
1744693039.0360336,1.0
1744693039.053007,1.0
1744693039.0699546,1.0
1744693039.0869076,1.0
1744693039.1038575,1.0
1744693039.1208057,1.0
1744693039.1378047,1.0
1744693039.1599967,1.0
1744693039.176931,1.0
1744693039.1938374,1.0
1744693039.210767,1.0
1744693039.2277234,1.0
1744693039.2458427,1.0
1744693039.2763288,1.0
1744693039.2932343,1.0
1744693039.3104584,1.0
1744693039.3311286,1.0
1744693039.3559475,1.0
1744693039.3822048,1.0
1744693039.407334,1.0
1744693039.4315352,1.0
1744693039.455464,1.0
1744693039.479317,1.0
1744693039.5039444,1.0
1744693039.5278034,1.0
1744693039.5508213,1.0
1744693039.5740128,1.0
1744693039.5970998,1.0
1744693039.620099,1.0
1744693039.6427333,1.0
1744693039.6652617,1.0
1744693039.687658,1.0
1744693039.7101524,1.0
1744693039.7328994,1.0
1744693039.755137,1.0
1744693039.777743,1.0
1744693039.8014345,1.0
1744693039.823672,1.0
1744693039.8460002,1.0
1744693039.8681786,1.0
1744693039.8910983,1.0
1744693039.9134164,1.0
1744693039.9357219,1.0
1744693039.9579215,1.0
1744693039.9801402,1.0
1744693040.0022526,1.0
1744693040.0245204,1.0
1744693040.046487,1.0
1744693040.068724,1.0
1744693040.090809,1.0
1744693040.112937,1.0
1744693040.135064,1.0
1744693040.1571074,1.0
1744693040.1792982,1.0
1744693040.2016604,1.0
1744693040.2275236,1.0
1744693040.2593215,1.0
1744693040.2915242,1.0
1744693040.3170023,1.0
1744693040.337948,1.0
1744693040.361728,1.0
1744693040.3840263,1.0
1744693040.4068637,1.0
1744693040.4291248,1.0
1744693040.451495,1.0
1744693040.4739664,1.0
1744693040.496045,1.0
1744693040.518273,1.0
1744693040.5404735,1.0
1744693040.5628612,1.0
1744693040.585441,1.0
1744693040.6075191,1.0
1744693040.6297352,1.0
1744693040.6519163,1.0
1744693040.6740034,1.0
1744693040.696252,1.0
1744693040.7184696,1.0
1744693040.7410839,1.0
1744693040.7630806,1.0
1744693040.7854028,1.0
1744693040.8077986,1.0
1744693040.8299077,1.0
1744693040.8519669,1.0
1744693040.8742638,1.0
1744693040.8962944,1.0
1744693040.9186473,1.0
1744693040.94062,1.0
1744693040.9626906,1.0
1744693040.9850333,1.0
1744693041.0071216,1.0
1744693041.0296016,1.0
1744693041.0515642,1.0
1744693041.0735826,1.0
1744693041.0956833,1.0
1744693041.1179602,1.0
1744693041.140294,1.0
1744693041.1655414,1.0
1744693041.1857285,1.0
1744693041.2029645,1.0
1744693041.2203615,1.0
1744693041.2387125,1.0
1744693041.2575836,1.0
1744693041.2755156,1.0
1744693041.292831,1.0
1744693041.3102999,1.0
1744693041.3287568,1.0
1744693041.3461635,1.0
1744693041.3642,1.0
1744693041.3815084,1.0
1744693041.3988647,1.0
1744693041.416515,1.0
1744693041.43397,1.0
1744693041.4513242,1.0
1744693041.4686954,1.0
1744693041.486088,1.0
1744693041.5041664,1.0
1744693041.5215476,1.0
1744693041.5390332,1.0
1744693041.5563822,1.0
1744693041.5738137,1.0
1744693041.5911562,1.0
1744693041.608504,1.0
1744693041.6259484,1.0
1744693041.6433134,1.0
1744693041.6606662,1.0
1744693041.6780415,1.0
1744693041.6954136,1.0
1744693041.7127635,1.0
1744693041.7300982,1.0
1744693041.7475402,1.0
1744693041.7649527,1.0
1744693041.7824247,1.0
1744693041.7999272,1.0
1744693041.817298,1.0
1744693041.8347247,1.0
1744693041.8520648,1.0
1744693041.8694377,1.0
1744693041.8867884,1.0
1744693041.9042807,1.0
1744693041.921649,1.0
1744693041.939114,1.0
1744693041.956506,1.0
1744693041.9739919,1.0
1744693041.9913325,1.0
1744693042.008676,1.0
1744693042.0261595,1.0
1744693042.0435276,1.0
1744693042.0608919,1.0
1744693042.0783255,1.0
1744693042.0956528,1.0
1744693042.1130211,1.0
1744693042.1303854,1.0
1744693042.147801,1.0
1744693042.1652262,1.0
1744693042.1826997,1.0
1744693042.2000604,1.0
1744693042.2174346,1.0
1744693042.2348473,1.0
1744693042.2531817,1.0
1744693042.2707748,1.0
1744693042.288736,1.0
1744693042.3061118,1.0
1744693042.325684,1.0
1744693042.3430736,1.0
1744693042.3610878,1.0
1744693042.3784614,1.0
1744693042.395808,1.0
1744693042.4132695,1.0
1744693042.4307349,1.0
1744693042.4480803,1.0
1744693042.4654474,1.0
1744693042.4828138,1.0
1744693042.5001383,1.0
1744693042.517459,1.0
1744693042.5351179,1.0
1744693042.5524347,1.0
1744693042.569937,1.0
1744693042.5873044,1.0
1744693042.604641,1.0
1744693042.6221218,1.0
1744693042.6394258,1.0
1744693042.6568317,1.0
1744693042.6741972,1.0
1744693042.6915681,1.0
1744693042.7088668,1.0
1744693042.7262418,1.0
1744693042.7437885,1.0
1744693042.761262,1.0
1744693042.7790008,1.0
1744693042.7966547,1.0
1744693042.8139946,1.0
1744693042.831436,1.0
1744693042.8488019,1.0
1744693042.8661606,1.0
1744693042.883456,1.0
1744693042.9051554,1.0
1744693042.9226303,1.0
1744693042.940026,1.0
1744693042.9573793,1.0
1744693042.9748688,1.0
1744693042.992203,1.0
1744693043.009551,1.0
1744693043.0269496,1.0
1744693043.045001,1.0
1744693043.0623326,1.0
1744693043.0797093,1.0
1744693043.0970454,1.0
1744693043.1144407,1.0
1744693043.131801,1.0
1744693043.1491344,1.0
1744693043.1681495,1.0
1744693043.1881437,1.0
1744693043.20777,1.0
1744693043.227654,1.0
1744693043.2492104,1.0
1744693043.2692833,1.0
1744693043.2890077,1.0
1744693043.3088207,1.0
1744693043.3315942,1.0
1744693043.3513668,1.0
1744693043.372042,1.0
1744693043.3917954,1.0
1744693043.4121945,1.0
1744693043.4320984,1.0
1744693043.4518383,1.0
1744693043.4716117,1.0
1744693043.491408,1.0
1744693043.511169,1.0
1744693043.5315447,1.0
1744693043.5513468,1.0
1744693043.571159,1.0
1744693043.5909219,1.0
1744693043.6106334,1.0
1744693043.6304862,1.0
1744693043.650206,1.0
1744693043.6699202,1.0
1744693043.6896625,1.0
1744693043.7093866,1.0
1744693043.7290921,1.0
1744693043.7489018,1.0
1744693043.7686205,1.0
1744693043.7883997,1.0
1744693043.808377,1.0
1744693043.8281715,1.0
1744693043.8479798,1.0
1744693043.86773,1.0
1744693043.887707,1.0
1744693043.9076948,1.0
1744693043.927433,1.0
1744693043.9471939,1.0
1744693043.9669883,1.0
1744693043.9867704,1.0
1744693044.0064714,1.0
1744693044.0263038,1.0
1744693044.0460317,1.0
1744693044.0657043,1.0
1744693044.0854173,1.0
1744693044.1051733,1.0
1744693044.12484,1.0
1744693044.1446028,1.0
1744693044.1643097,1.0
1744693044.184224,1.0
1744693044.2039628,1.0
1744693044.2238388,1.0
1744693044.2450686,1.0
1744693044.26499,1.0
1744693044.2848485,1.0
1744693044.3045375,1.0
1744693044.3268056,1.0
1744693044.346449,1.0
1744693044.367114,1.0
1744693044.3866587,1.0
1744693044.406483,1.0
1744693044.4261987,1.0
1744693044.4458385,1.0
1744693044.4654758,1.0
1744693044.4851313,1.0
1744693044.5047688,1.0
1744693044.5244083,1.0
1744693044.544127,1.0
1744693044.5637424,1.0
1744693044.5834951,1.0
1744693044.6031117,1.0
1744693044.6227708,1.0
1744693044.6424365,1.0
1744693044.6620936,1.0
1744693044.6817238,1.0
1744693044.7013595,1.0
1744693044.7209826,1.0
1744693044.7407558,1.0
1744693044.760421,1.0
1744693044.780297,1.0
1744693044.8002791,1.0
1744693044.8199153,1.0
1744693044.83971,1.0
1744693044.8594093,1.0
1744693044.8791327,1.0
1744693044.898865,1.0
1744693044.9184797,1.0
1744693044.9381404,1.0
1744693044.9578238,1.0
1744693044.9775717,1.0
1744693044.997199,1.0
1744693045.0168576,1.0
1744693045.036679,1.0
1744693045.0563514,1.0
1744693045.0760376,1.0
1744693045.0957508,1.0
1744693045.1154087,1.0
1744693045.135043,1.0
1744693045.1546934,1.0
1744693045.1744523,1.0
