time,actuator,value
1738701079.8574843,Actuator(ptr=c_void_p(94126138450544)),78.0
1738701082.8682096,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701085.8760657,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701088.883654,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701091.8916848,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701094.9000828,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701097.9079266,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701100.9155784,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701103.9244816,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701106.9322264,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701109.9401624,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701112.947438,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701115.9549716,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701118.9646728,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701121.9716678,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701124.9791358,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701127.9876754,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701130.9946406,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701134.0020864,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701137.0093656,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701140.0173817,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701143.0246859,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701146.0321805,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701149.0392728,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701152.0465732,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701155.0539856,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701158.0622725,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701161.069828,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701164.0771682,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701167.0843809,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701170.0941913,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701173.1026764,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701176.1099958,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701179.1173015,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701182.1255064,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701185.1332946,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701188.1405437,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701191.148166,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701194.1558468,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701197.1636634,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701200.1718678,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701203.179326,Actuator(ptr=c_void_p(94126138450544)),130.0
1738701206.1878784,Actuator(ptr=c_void_p(94126138450544)),130.0
