time,scope,value
1738699785.2716045,nrm.extra.perf.PAPI_L3_TCA.48035,1842900211.0
1738699785.2716045,nrm.extra.perf.PAPI_TOT_INS.48035,39410100073.0
1738699785.2716045,nrm.extra.perf.PAPI_TOT_CYC.48035,202552063016.0
1738699785.2716045,nrm.extra.perf.PAPI_RES_STL.48035,165480121742.0
1738699785.2716045,nrm.extra.perf.PAPI_L3_TCM.48035,1626289770.0
1738699786.2737372,nrm.extra.perf.PAPI_L3_TCA.48035,3603929324.0
1738699786.2737372,nrm.extra.perf.PAPI_TOT_INS.48035,77397848602.0
1738699786.2737372,nrm.extra.perf.PAPI_TOT_CYC.48035,385120000548.0
1738699786.2737372,nrm.extra.perf.PAPI_RES_STL.48035,310653038142.0
1738699786.2737372,nrm.extra.perf.PAPI_L3_TCM.48035,3189561616.0
1738699787.271765,nrm.extra.perf.PAPI_L3_TCA.48035,5419541390.0
1738699787.271765,nrm.extra.perf.PAPI_TOT_INS.48035,116288264800.0
1738699787.271765,nrm.extra.perf.PAPI_TOT_CYC.48035,571770156059.0
1738699787.271765,nrm.extra.perf.PAPI_RES_STL.48035,460165144771.0
1738699787.271765,nrm.extra.perf.PAPI_L3_TCM.48035,4790510883.0
1738699788.2712367,nrm.extra.perf.PAPI_L3_TCA.48035,7601404648.0
1738699788.2712367,nrm.extra.perf.PAPI_TOT_INS.48035,161732543805.0
1738699788.2712367,nrm.extra.perf.PAPI_TOT_CYC.48035,810615714275.0
1738699788.2712367,nrm.extra.perf.PAPI_RES_STL.48035,663580936192.0
1738699788.2712367,nrm.extra.perf.PAPI_L3_TCM.48035,6717945682.0
1738699789.2723632,nrm.extra.perf.PAPI_L3_TCA.48035,9777070309.0
1738699789.2723632,nrm.extra.perf.PAPI_TOT_INS.48035,212461654054.0
1738699789.2723632,nrm.extra.perf.PAPI_TOT_CYC.48035,1053567731487.0
1738699789.2723632,nrm.extra.perf.PAPI_RES_STL.48035,869568708437.0
1738699789.2723632,nrm.extra.perf.PAPI_L3_TCM.48035,8646309133.0
1738699790.2699773,nrm.extra.perf.PAPI_L3_TCA.48035,11920957797.0
1738699790.2699773,nrm.extra.perf.PAPI_TOT_INS.48035,266557979477.0
1738699790.2699773,nrm.extra.perf.PAPI_TOT_CYC.48035,1300546481194.0
1738699790.2699773,nrm.extra.perf.PAPI_RES_STL.48035,1073612929943.0
1738699790.2699773,nrm.extra.perf.PAPI_L3_TCM.48035,10536372489.0
