time,scope,value
1744591541.3104196,0,123608.91583251953
1744591541.3104196,1,123608.9732055664
1744591542.3097286,0,123767.28588867188
1744591542.3097286,1,123767.79217529297
1744591543.309671,0,123932.2974243164
1744591543.309671,1,123932.96166992188
1744591544.3097968,0,124016.57305908203
1744591544.3097968,1,124017.12487792969
1744591545.3097231,0,124096.22534179688
1744591545.3097231,1,124096.80767822266
1744591546.3097384,0,124237.015625
1744591546.3097384,1,124237.58935546875
1744591547.3096826,0,124377.99072265625
1744591547.3096826,1,124378.48504638672
1744591548.309656,0,124536.90533447266
1744591548.309656,1,124537.06744384766
1744591549.3096893,0,124695.22399902344
1744591549.3096893,1,124695.70910644531
1744591550.3097348,0,124853.84466552734
1744591550.3097348,1,124854.46588134766
1744591551.3097231,0,125012.00939941406
1744591551.3097231,1,125012.6513671875
1744591552.3097544,0,125170.80969238281
1744591552.3097544,1,125171.45593261719
1744591553.3096292,0,125331.59533691406
1744591553.3096292,1,125332.23345947266
1744591554.3097289,0,125487.86627197266
1744591554.3097289,1,125488.5044555664
1744591555.3097663,0,125646.51763916016
1744591555.3097663,1,125647.00079345703
1744591556.3097272,0,125805.19708251953
1744591556.3097272,1,125805.8173828125
1744591557.3097382,0,125963.55078125
1744591557.3097382,1,125964.03094482422
1744591558.3097594,0,126121.98443603516
1744591558.3097594,1,126122.61737060547
1744591559.3096983,0,126280.37042236328
1744591559.3096983,1,126280.86950683594
1744591560.3097484,0,126439.12701416016
1744591560.3097484,1,126439.5961303711
1744591561.3097446,0,126597.45776367188
1744591561.3097446,1,126598.09344482422
1744591562.3097544,0,126756.29479980469
1744591562.3097544,1,126756.7802734375
1744591563.3097324,0,126914.77313232422
1744591563.3097324,1,126915.41687011719
1744591564.3097415,0,127073.2769165039
1744591564.3097415,1,127073.76397705078
1744591565.3097227,0,127231.94110107422
1744591565.3097227,1,127232.24719238281
1744591566.3097355,0,127390.45538330078
1744591566.3097355,1,127391.1069946289
1744591567.3097696,0,127548.80157470703
1744591567.3097696,1,127549.42663574219
1744591568.309723,0,127707.4692993164
1744591568.309723,1,127707.99011230469
1744591569.309743,0,127865.9428100586
1744591569.309743,1,127866.55560302734
1744591570.3097231,0,128024.59661865234
1744591570.3097231,1,128025.38458251953
1744591571.3097703,0,128183.05041503906
1744591571.3097703,1,128183.67529296875
1744591572.309712,0,128341.73559570312
1744591572.309712,1,128342.51641845703
1744591573.309691,0,128499.86096191406
1744591573.309691,1,128500.33367919922
1744591574.3097258,0,128658.86822509766
1744591574.3097258,1,128659.50384521484
1744591575.309749,0,128817.34777832031
1744591575.309749,1,128817.9956665039
1744591576.309751,0,128975.87585449219
1744591576.309751,1,128976.36267089844
1744591577.3097537,0,129134.3930053711
1744591577.3097537,1,129135.0463256836
1744591578.3097384,0,129292.99603271484
1744591578.3097384,1,129293.47570800781
1744591579.3097548,0,129451.50207519531
1744591579.3097548,1,129452.14349365234
1744591580.3097553,0,129609.98504638672
1744591580.3097553,1,129610.62219238281
1744591581.3097334,0,129768.66186523438
1744591581.3097334,1,129768.94525146484
1744591582.309716,0,129927.00103759766
1744591582.309716,1,129927.63604736328
1744591583.309731,0,130085.8423461914
1744591583.309731,1,130086.48193359375
1744591584.3097394,0,130244.34814453125
1744591584.3097394,1,130244.98852539062
1744591585.3097103,0,130402.90008544922
1744591585.3097103,1,130403.54815673828
1744591586.3097446,0,130561.25903320312
1744591586.3097446,1,130561.69110107422
1744591587.3097157,0,130719.78845214844
1744591587.3097157,1,130719.94555664062
1744591588.3097386,0,130878.4267578125
1744591588.3097386,1,130878.74853515625
1744591589.309744,0,131036.94445800781
1744591589.309744,1,131037.58532714844
1744591590.3097622,0,131195.5952758789
1744591590.3097622,1,131196.22174072266
1744591591.3097358,0,131354.09838867188
1744591591.3097358,1,131354.62396240234
1744591592.3096302,0,131507.54272460938
1744591592.3096302,1,131507.59844970703
