time,scope,value
1744595819.3096511,0,172.28774777497824
1744595819.3096511,1,170.205749243516
1744595820.3097365,0,170.78918435525088
1744595820.3097365,1,173.4703117185032
1744595821.3096595,0,79.01566026586947
1744595821.3096595,1,78.82046659447687
1744595822.3097315,0,77.60202785132348
1744595822.3097315,1,77.89707360613936
1744595823.3097236,0,96.02438593827179
1744595823.3097236,1,94.59251706587177
1744595824.3097823,0,95.16609795541248
1744595824.3097823,1,95.61531032042761
1744595825.3097417,0,146.88271462928827
1744595825.3097417,1,144.61231419852234
1744595826.3097534,0,145.65268355349272
1744595826.3097534,1,144.95383803690748
1744595827.3096905,0,152.30969178904266
1744595827.3096905,1,151.56637302896638
1744595828.3097634,0,150.73354887045153
1744595828.3097634,1,151.08093489772034
1744595829.309772,0,154.1000365597229
1744595829.309772,1,153.83716418941216
1744595830.309759,0,153.80821967342715
1744595830.309759,1,154.009695927985
1744595831.3097463,0,151.38225637494654
1744595831.3097463,1,151.6098196843235
1744595832.3097265,0,153.44711355316107
1744595832.3097265,1,151.4741239367698
1744595833.309751,0,150.94141149719408
1744595833.309751,1,151.3980619546568
1744595834.3097525,0,152.25205786880036
1744595834.3097525,1,153.15526736488752
1744595835.3097322,0,153.6151042575838
1744595835.3097322,1,153.23844428309854
1744595836.3097708,0,152.4370768107633
1744595836.3097708,1,151.2999604089946
1744595837.3097358,0,155.69968289865733
1744595837.3097358,1,151.44534440706775
1744595838.3097453,0,152.02849579623768
1744595838.3097453,1,154.02836956261078
1744595839.3097138,0,152.5550073234459
1744595839.3097138,1,153.83815203321683
1744595840.3097448,0,153.7244982578118
1744595840.3097448,1,153.56499369544733
1744595841.3097494,0,152.38838619743512
1744595841.3097494,1,151.4098219368713
1744595842.3097656,0,151.8398422891451
1744595842.3097656,1,151.82594624391737
1744595843.3096678,0,153.07612702755154
1744595843.3096678,1,152.33130744317734
1744595844.3097255,0,154.98619245676267
1744595844.3097255,1,153.53412839166896
1744595845.3097982,0,88.67184222855822
1744595845.3097982,1,88.71216096915666
1744595846.3097603,0,88.60485182342504
1744595846.3097603,1,89.54269359324061
1744595847.3097029,0,147.68642994335306
1744595847.3097029,1,145.94974863328525
1744595848.309785,0,147.51879590910673
1744595848.309785,1,146.2760879122051
1744595849.3097079,0,151.59249396216828
1744595849.3097079,1,154.3619577212217
1744595850.3096437,0,154.24397078463488
1744595850.3096437,1,151.3542399433464
1744595851.3096793,0,88.8006569424558
1744595851.3096793,1,88.07905807084028
1744595852.3097231,0,87.57108113647215
1744595852.3097231,1,88.7390638258736
1744595853.3097763,0,147.40457751963447
1744595853.3097763,1,148.67946726687973
1744595854.3097699,0,145.39301507806323
1744595854.3097699,1,147.86659205559218
1744595855.309727,0,151.20229820504574
1744595855.309727,1,154.57840583323886
1744595856.309749,0,153.55790478786278
1744595856.309749,1,151.05185279914178
