time,scope,value
1738891821.2046916,nrm.extra.perf.PAPI_L3_TCA.163644,307122788.0
1738891821.2046916,nrm.extra.perf.PAPI_TOT_INS.163644,108649263554.0
1738891821.2046916,nrm.extra.perf.PAPI_TOT_CYC.163644,219833060799.0
1738891821.2046916,nrm.extra.perf.PAPI_RES_STL.163644,91064684993.0
1738891821.2046916,nrm.extra.perf.PAPI_L3_TCM.163644,39543515.0
1738891822.2058337,nrm.extra.perf.PAPI_L3_TCA.163644,625118659.0
1738891822.2058337,nrm.extra.perf.PAPI_TOT_INS.163644,220762218400.0
1738891822.2058337,nrm.extra.perf.PAPI_TOT_CYC.163644,445400478345.0
1738891822.2058337,nrm.extra.perf.PAPI_RES_STL.163644,185715629108.0
1738891822.2058337,nrm.extra.perf.PAPI_L3_TCM.163644,81149642.0
1738891823.205343,nrm.extra.perf.PAPI_L3_TCA.163644,954824625.0
1738891823.205343,nrm.extra.perf.PAPI_TOT_INS.163644,337087855622.0
1738891823.205343,nrm.extra.perf.PAPI_TOT_CYC.163644,675075005490.0
1738891823.205343,nrm.extra.perf.PAPI_RES_STL.163644,281377865275.0
1738891823.205343,nrm.extra.perf.PAPI_L3_TCM.163644,122052183.0
1738891824.2052395,nrm.extra.perf.PAPI_L3_TCA.163644,1259972607.0
1738891824.2052395,nrm.extra.perf.PAPI_TOT_INS.163644,445882885848.0
1738891824.2052395,nrm.extra.perf.PAPI_TOT_CYC.163644,892867350677.0
1738891824.2052395,nrm.extra.perf.PAPI_RES_STL.163644,370393254132.0
1738891824.2052395,nrm.extra.perf.PAPI_L3_TCM.163644,163278336.0
1738891825.2053955,nrm.extra.perf.PAPI_L3_TCA.163644,1574313717.0
1738891825.2053955,nrm.extra.perf.PAPI_TOT_INS.163644,557798226490.0
1738891825.2053955,nrm.extra.perf.PAPI_TOT_CYC.163644,1115231859716.0
1738891825.2053955,nrm.extra.perf.PAPI_RES_STL.163644,461683697440.0
1738891825.2053955,nrm.extra.perf.PAPI_L3_TCM.163644,208507530.0
1738891826.2052293,nrm.extra.perf.PAPI_L3_TCA.163644,1903894179.0
1738891826.2052293,nrm.extra.perf.PAPI_TOT_INS.163644,674192533050.0
1738891826.2052293,nrm.extra.perf.PAPI_TOT_CYC.163644,1343093064052.0
1738891826.2052293,nrm.extra.perf.PAPI_RES_STL.163644,556559695365.0
1738891826.2052293,nrm.extra.perf.PAPI_L3_TCM.163644,248495765.0
1738891827.2053692,nrm.extra.perf.PAPI_L3_TCA.163644,2217580551.0
1738891827.2053692,nrm.extra.perf.PAPI_TOT_INS.163644,785421460534.0
1738891827.2053692,nrm.extra.perf.PAPI_TOT_CYC.163644,1566211430603.0
1738891827.2053692,nrm.extra.perf.PAPI_RES_STL.163644,647295713355.0
1738891827.2053692,nrm.extra.perf.PAPI_L3_TCM.163644,288201594.0
1738891828.2053466,nrm.extra.perf.PAPI_L3_TCA.163644,2550106394.0
1738891828.2053466,nrm.extra.perf.PAPI_TOT_INS.163644,902660787985.0
1738891828.2053466,nrm.extra.perf.PAPI_TOT_CYC.163644,1795673495333.0
1738891828.2053466,nrm.extra.perf.PAPI_RES_STL.163644,742879317937.0
1738891828.2053466,nrm.extra.perf.PAPI_L3_TCM.163644,329641839.0
1738891829.2054863,nrm.extra.perf.PAPI_L3_TCA.163644,2864406618.0
1738891829.2054863,nrm.extra.perf.PAPI_TOT_INS.163644,1014449338107.0
1738891829.2054863,nrm.extra.perf.PAPI_TOT_CYC.163644,2020564675573.0
1738891829.2054863,nrm.extra.perf.PAPI_RES_STL.163644,833437242274.0
1738891829.2054863,nrm.extra.perf.PAPI_L3_TCM.163644,369336228.0
1738891830.2054543,nrm.extra.perf.PAPI_L3_TCA.163644,3196248772.0
