time,scope,value
1747835294.8384447,0,49120.18682861328
1747835294.8384447,1,49120.295471191406
1747835295.8390892,0,49252.456481933594
1747835295.8390892,1,49252.54638671875
1747835296.8386686,0,49341.03125
1747835296.8386686,1,49341.160400390625
1747835297.8388934,0,49429.81268310547
1747835297.8388934,1,49429.89959716797
1747835298.8389404,0,49539.523010253906
1747835298.8389404,1,49539.79510498047
1747835299.8391368,0,49651.251708984375
1747835299.8391368,1,49651.561279296875
1747835300.8388941,0,49762.89172363281
1747835300.8388941,1,49763.153076171875
1747835301.8388622,0,49896.537170410156
1747835301.8388622,1,49896.89538574219
1747835302.839086,0,50028.21911621094
1747835302.839086,1,50028.40417480469
1747835303.8390312,0,50163.517822265625
1747835303.8390312,1,50163.64532470703
1747835304.839151,0,50250.220458984375
1747835304.839151,1,50250.29132080078
1747835305.8384578,0,50332.91619873047
1747835305.8384578,1,50332.98516845703
1747835306.8389492,0,50415.69152832031
1747835306.8389492,1,50415.834533691406
1747835307.8386302,0,50551.60791015625
1747835307.8386302,1,50551.7412109375
1747835308.838365,0,50692.19805908203
1747835308.838365,1,50692.308532714844
1747835309.8389819,0,50822.46374511719
1747835309.8389819,1,50822.603942871094
1747835310.8385382,0,50962.11993408203
1747835310.8385382,1,50962.21826171875
1747835311.8386414,0,51090.18298339844
1747835311.8386414,1,51090.31823730469
1747835312.8388195,0,51229.40869140625
1747835312.8388195,1,51229.620056152344
1747835313.8383627,0,51348.629333496094
1747835313.8383627,1,51348.83233642578
1747835314.838447,0,51466.361389160156
1747835314.838447,1,51466.54150390625
1747835315.8388035,0,51584.01629638672
1747835315.8388035,1,51584.101318359375
1747835316.8390245,0,51681.058837890625
1747835316.8390245,1,51681.13037109375
1747835317.8386724,0,51775.57043457031
1747835317.8386724,1,51775.70623779297
1747835318.8390248,0,51870.47479248047
1747835318.8390248,1,51870.570556640625
1747835319.8383968,0,52002.93212890625
1747835319.8383968,1,52003.052795410156
1747835320.8383496,0,52142.81231689453
1747835320.8383496,1,52143.20642089844
1747835321.8382418,0,52287.653076171875
1747835321.8382418,1,52287.75549316406
1747835322.838533,0,52399.85968017578
1747835322.838533,1,52399.93096923828
1747835323.8383958,0,52488.499084472656
1747835323.8383958,1,52488.73046875
1747835324.8390315,0,52577.360290527344
1747835324.8390315,1,52577.450927734375
1747835325.838697,0,52681.99267578125
1747835325.838697,1,52682.111755371094
1747835326.8384807,0,52788.64343261719
1747835326.8384807,1,52788.74328613281
1747835327.8382797,0,52895.34802246094
1747835327.8382797,1,52895.455078125
1747835328.838424,0,53016.99279785156
1747835328.838424,1,53017.10028076172
1747835329.8390977,0,53140.77117919922
1747835329.8390977,1,53140.886474609375
1747835330.838316,0,53263.8681640625
1747835330.838316,1,53264.056884765625
1747835331.8391185,0,53372.61242675781
1747835331.8391185,1,53372.849670410156
1747835332.838731,0,53479.408264160156
1747835332.838731,1,53479.49743652344
1747835333.8389645,0,53586.10363769531
1747835333.8389645,1,53586.19775390625
1747835334.8388562,0,53718.025329589844
1747835334.8388562,1,53718.169860839844
1747835335.8383136,0,53853.433349609375
1747835335.8383136,1,53853.67889404297
1747835336.8388329,0,53989.092834472656
1747835336.8388329,1,53989.257080078125
1747835337.838429,0,54109.070251464844
1747835337.838429,1,54109.223083496094
1747835338.8386483,0,54226.83770751953
