time,value
1742844615.9408753,3.0
1742844615.9515214,3.0
1742844615.962073,3.0
1742844615.9725933,3.0
1742844615.9831617,3.0
1742844615.9937177,3.0
1742844616.0043166,3.0
1742844616.014913,3.0
1742844616.025505,3.0
1742844616.0365684,3.0
1742844616.0471714,3.0
1742844616.0577424,3.0
1742844616.0683784,3.0
1742844616.0789194,3.0
1742844616.0894766,3.0
1742844616.1000338,3.0
1742844616.1106534,3.0
1742844616.121444,3.0
1742844616.1320066,3.0
1742844616.14257,3.0
1742844616.1531277,3.0
1742844616.1638346,3.0
1742844616.1744099,3.0
1742844616.1849651,3.0
1742844616.195535,3.0
1742844616.2060688,3.0
1742844616.2165956,3.0
1742844616.2271426,3.0
1742844616.2376833,3.0
1742844616.2481902,3.0
1742844616.2587361,3.0
1742844616.2693021,3.0
1742844616.2798538,3.0
1742844616.290399,3.0
1742844616.300923,3.0
1742844616.311792,3.0
1742844616.3234873,2.0
1742844616.33509,3.0
1742844616.355749,2.0
1742844616.3681068,1.0
1742844616.379699,2.0
1742844616.3911588,3.0
1742844616.4018672,3.0
1742844616.4125838,3.0
1742844616.4235873,3.0
1742844616.434188,3.0
1742844616.4450343,3.0
1742844616.455643,3.0
1742844616.466313,3.0
1742844616.476938,3.0
1742844616.4875534,3.0
1742844616.4981453,3.0
1742844616.5087817,3.0
1742844616.5193858,3.0
1742844616.529974,3.0
1742844616.5405374,3.0
1742844616.5530357,3.0
1742844616.5635843,3.0
1742844616.574197,3.0
1742844616.5847812,3.0
1742844616.5962062,3.0
1742844616.6068218,3.0
1742844616.6174524,3.0
1742844616.6280425,3.0
1742844616.63893,3.0
1742844616.6494894,3.0
1742844616.6601,3.0
1742844616.6707952,3.0
1742844616.6814117,3.0
1742844616.691992,3.0
1742844616.7025876,3.0
1742844616.7130585,3.0
1742844616.7235637,3.0
1742844616.7340565,3.0
1742844616.7445471,3.0
1742844616.7550542,3.0
1742844616.7658172,3.0
1742844616.776296,3.0
1742844616.7867966,3.0
1742844616.797278,3.0
1742844616.8084376,3.0
1742844616.819204,3.0
1742844616.8302872,3.0
1742844616.84129,3.0
1742844616.8523774,3.0
1742844616.8635218,3.0
1742844616.8746727,3.0
1742844616.8857803,3.0
1742844616.8982513,3.0
1742844616.9131577,2.0
1742844616.9238753,1.0
1742844616.9348204,3.0
1742844616.9458833,3.0
1742844616.9570227,3.0
1742844616.9682007,3.0
1742844616.979394,3.0
1742844616.9905841,3.0
1742844617.0017326,3.0
1742844617.012865,3.0
1742844617.02401,3.0
1742844617.0351849,3.0
1742844617.0462835,3.0
1742844617.0573716,3.0
1742844617.06857,3.0
1742844617.0796845,3.0
1742844617.0907762,3.0
1742844617.1018636,3.0
1742844617.1129205,3.0
1742844617.1242118,3.0
1742844617.1353102,3.0
1742844617.146432,3.0
1742844617.157497,3.0
1742844617.1686242,3.0
1742844617.1796932,3.0
1742844617.1907897,3.0
1742844617.2018447,3.0
1742844617.212967,3.0
1742844617.2240818,3.0
1742844617.2351494,3.0
1742844617.2462347,3.0
1742844617.2572665,3.0
1742844617.2684636,3.0
1742844617.279551,3.0
1742844617.2906468,3.0
1742844617.3017106,3.0
1742844617.3127787,3.0
1742844617.3238926,3.0
1742844617.3349497,3.0
1742844617.3460264,3.0
1742844617.357071,3.0
1742844617.3681474,3.0
1742844617.3792195,3.0
1742844617.3903227,3.0
1742844617.401401,3.0
1742844617.4124908,3.0
1742844617.4235928,3.0
1742844617.4346578,3.0
1742844617.4457405,3.0
1742844617.4569035,3.0
1742844617.4680474,3.0
1742844617.4791403,3.0
1742844617.4902833,3.0
1742844617.5013442,3.0
1742844617.5123956,3.0
1742844617.5234816,3.0
1742844617.5345688,3.0
1742844617.5489097,3.0
1742844617.5597742,3.0
1742844617.5708325,3.0
1742844617.5818946,3.0
1742844617.5941672,3.0
1742844617.605207,3.0
1742844617.616314,3.0
1742844617.627881,3.0
1742844617.63916,3.0
1742844617.6502407,3.0
1742844617.6613011,3.0
1742844617.6724458,3.0
1742844617.6835558,3.0
1742844617.69461,3.0
1742844617.7057574,3.0
1742844617.716782,3.0
1742844617.727878,3.0
1742844617.7389207,3.0
1742844617.7499878,3.0
1742844617.761156,3.0
1742844617.772114,3.0
1742844617.7831836,3.0
1742844617.7942455,3.0
1742844617.805273,3.0
1742844617.8163588,3.0
1742844617.8274453,3.0
1742844617.838503,3.0
1742844617.8495445,3.0
1742844617.8606312,3.0
1742844617.871776,3.0
1742844617.8828819,3.0
1742844617.8941422,3.0
1742844617.906664,3.0
1742844617.9177916,1.0
1742844617.9294682,1.0
1742844617.9403865,3.0
1742844617.9514399,3.0
1742844617.9626124,3.0
1742844617.9736311,3.0
1742844617.9846487,3.0
1742844617.9956808,3.0
1742844618.0067182,3.0
1742844618.017755,3.0
1742844618.0287766,3.0
1742844618.0398366,3.0
1742844618.0514905,3.0
1742844618.0625465,3.0
1742844618.0737736,3.0
1742844618.0847783,3.0
1742844618.0958436,3.0
1742844618.1069558,3.0
1742844618.118275,3.0
1742844618.1292772,3.0
1742844618.14035,3.0
1742844618.1513886,3.0
1742844618.1624408,3.0
1742844618.1734505,3.0
