time,scope,value
1743461438.2416384,0,259195.20428466797
1743461438.2416384,1,259195.53131103516
1743461439.241712,0,259341.55859375
1743461439.241712,1,259342.30242919922
1743461440.2416456,0,259488.31860351562
1743461440.2416456,1,259488.76428222656
1743461441.2417188,0,259634.83697509766
1743461441.2417188,1,259635.4503173828
1743461442.2417257,0,259781.69110107422
1743461442.2417257,1,259781.84497070312
1743461443.241667,0,259927.72045898438
1743461443.241667,1,259927.8526611328
1743461444.2416692,0,260012.16162109375
1743461444.2416692,1,260012.32067871094
1743461445.2417345,0,260089.86401367188
1743461445.2417345,1,260090.00469970703
1743461446.2417328,0,260167.67401123047
1743461446.2417328,1,260167.89447021484
1743461447.2417674,0,260245.48956298828
1743461447.2417674,1,260245.810546875
1743461448.2417502,0,260323.1651611328
1743461448.2417502,1,260323.5692138672
1743461449.2417228,0,260457.61334228516
1743461449.2417228,1,260458.0428466797
1743461450.241714,0,260597.97985839844
1743461450.241714,1,260598.11364746094
1743461451.2417197,0,260738.6997680664
1743461451.2417197,1,260739.2664794922
1743461452.2417214,0,260879.3681640625
1743461452.2417214,1,260879.95776367188
1743461453.2417257,0,261019.93872070312
1743461453.2417257,1,261020.0786743164
1743461454.2417305,0,261176.82318115234
1743461454.2417305,1,261177.46215820312
1743461455.241717,0,261335.46936035156
1743461455.241717,1,261336.11083984375
1743461456.2417128,0,261493.9605102539
1743461456.2417128,1,261494.4545288086
1743461457.24173,0,261652.59869384766
1743461457.24173,1,261652.9305419922
1743461458.2416375,0,261810.74951171875
1743461458.2416375,1,261811.21270751953
1743461459.2417283,0,261917.02313232422
1743461459.2417283,1,261917.20379638672
1743461460.2417266,0,262017.72650146484
1743461460.2417266,1,262018.1205444336
1743461461.241735,0,262118.4354248047
1743461461.241735,1,262118.85260009766
1743461462.2417433,0,75.10076904296875
1743461462.2417433,1,75.50213623046875
1743461463.2416408,0,175.4346923828125
1743461463.2416408,1,175.947998046875
1743461464.2417176,0,307.95782470703125
1743461464.2417176,1,308.65423583984375
1743461465.2417107,0,443.69537353515625
1743461465.2417107,1,443.84088134765625
1743461466.241643,0,579.5387573242188
1743461466.241643,1,579.778076171875
1743461467.2417119,0,714.978515625
1743461467.2417119,1,715.6412963867188
1743461468.2416651,0,850.5462646484375
1743461468.2416651,1,850.9964599609375
1743461469.2416558,0,934.5396118164062
1743461469.2416558,1,934.7703857421875
1743461470.2417388,0,1012.1966552734375
1743461470.2417388,1,1012.5070190429688
1743461471.2417526,0,1089.8547973632812
1743461471.2417526,1,1090.3356323242188
1743461472.2417066,0,1167.7765502929688
1743461472.2417066,1,1167.9955444335938
1743461473.2416692,0,1245.2598266601562
1743461473.2416692,1,1245.4225463867188
1743461474.2417588,0,1323.3056640625
1743461474.2417588,1,1323.773193359375
1743461475.2417705,0,1401.0138549804688
1743461475.2417705,1,1401.5658569335938
1743461476.2417462,0,1478.7676391601562
1743461476.2417462,1,1479.2418823242188
1743461477.241773,0,1556.539306640625
1743461477.241773,1,1556.8592529296875
1743461478.2419941,0,1634.7344360351562
1743461478.2419941,1,1634.9353637695312
1743461479.2417185,0,1761.8847045898438
1743461479.2417185,1,1762.4230346679688
1743461480.2417302,0,1897.581298828125
1743461480.2417302,1,1898.26123046875
1743461481.2417212,0,2033.0482788085938
1743461481.2417212,1,2033.611083984375
1743461482.2417212,0,2168.7374877929688
1743461482.2417212,1,2169.1292114257812
1743461483.2417026,0,2304.3302001953125
1743461483.2417026,1,2305.010986328125
1743461484.241734,0,2410.2718505859375
1743461484.241734,1,2410.6723022460938
1743461485.2417378,0,2511.1350708007812
1743461485.2417378,1,2511.556884765625
1743461486.241714,0,2611.8348388671875
1743461486.241714,1,2612.240478515625
1743461487.2417383,0,2712.6812133789062
1743461487.2417383,1,2713.0905151367188
1743461488.241727,0,2813.259033203125
1743461488.241727,1,2813.873779296875
1743461489.241718,0,2960.4281005859375
1743461489.241718,1,2961.212646484375
1743461490.2416463,0,3118.9410400390625
1743461490.2416463,1,3119.2987060546875
1743461491.24172,0,3277.0610961914062
1743461491.24172,1,3277.3466796875
1743461492.2417126,0,3435.7905883789062
1743461492.2417126,1,3436.4286499023438
1743461493.2417045,0,3594.370849609375
1743461493.2417045,1,3595.0152587890625
