time,actuator,value
1745874381.0973604,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874386.1059365,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874391.1140592,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874396.122356,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874401.1307373,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874406.1389053,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874411.1474378,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874416.1557074,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874421.1638098,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874426.1717637,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874431.1797998,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874436.187623,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874441.195738,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874446.2038407,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874451.2121727,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874456.2205198,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874461.2290683,Actuator(ptr=c_void_p(94457431880384)),89.0
1745874466.2371597,Actuator(ptr=c_void_p(94457431880384)),89.0
