time,value
1745904906.8860865,1.0
1745904906.9570189,1.0
1745904907.028614,1.0
1745904907.1031914,1.0
1745904907.2051919,1.0
1745904907.3196263,1.0
1745904907.4168684,1.0
1745904907.515217,1.0
1745904907.6152074,1.0
1745904907.7187445,1.0
1745904907.8169887,1.0
1745904907.9146667,1.0
1745904908.0116746,1.0
1745904908.1112108,1.0
1745904908.2112298,1.0
1745904908.308831,1.0
1745904908.4063401,1.0
1745904908.5040643,1.0
1745904908.6015716,1.0
1745904908.6992435,1.0
1745904908.7974064,1.0
1745904908.8945272,1.0
1745904908.9918387,1.0
1745904909.0890472,1.0
1745904909.1864283,1.0
1745904909.2837882,1.0
1745904909.3807268,1.0
1745904909.4778202,1.0
1745904909.5750508,1.0
1745904909.6721857,1.0
1745904909.7693353,1.0
1745904909.875196,1.0
1745904909.9717143,1.0
1745904910.0688097,1.0
1745904910.1655157,1.0
1745904910.266378,1.0
1745904910.3644137,1.0
1745904910.463973,1.0
1745904910.5603979,1.0
1745904910.6571307,1.0
1745904910.7539198,1.0
1745904910.85525,1.0
1745904910.9551983,1.0
1745904911.0517573,1.0
1745904911.1484256,1.0
1745904911.2450142,1.0
1745904911.3420892,1.0
1745904911.4383368,1.0
1745904911.5349479,1.0
1745904911.6313255,1.0
1745904911.7279432,1.0
1745904911.8248086,1.0
1745904911.9216328,1.0
1745904912.0183785,1.0
1745904912.115143,1.0
1745904912.2117763,1.0
1745904912.3085184,1.0
1745904912.404911,1.0
1745904912.5013607,1.0
1745904912.59798,1.0
1745904912.6946464,1.0
1745904912.7972765,1.0
1745904912.9010613,1.0
1745904913.0043604,1.0
1745904913.1008034,1.0
1745904913.1971843,1.0
1745904913.2936227,1.0
1745904913.3900428,1.0
1745904913.4924917,1.0
1745904913.5912123,1.0
1745904913.6938202,1.0
1745904913.7899935,1.0
1745904913.8864896,1.0
1745904913.9832118,1.0
1745904914.0797517,1.0
1745904914.176197,1.0
1745904914.2759829,1.0
1745904914.3752093,1.0
1745904914.4751937,1.0
1745904914.5751963,1.0
1745904914.6752298,1.0
1745904914.7715993,1.0
1745904914.8704922,1.0
1745904914.9667437,1.0
1745904915.067209,1.0
1745904915.1672091,1.0
1745904915.2636476,1.0
1745904915.3602643,1.0
1745904915.4576864,1.0
1745904915.554109,1.0
1745904915.6505692,1.0
1745904915.7470183,1.0
1745904915.8434324,1.0
1745904915.9432116,1.0
1745904916.0457497,1.0
1745904916.1594045,1.0
1745904916.2553928,1.0
1745904916.3552122,1.0
1745904916.4515033,1.0
1745904916.5480525,1.0
1745904916.6472318,1.0
1745904916.7435853,1.0
1745904916.843242,1.0
1745904916.9431958,1.0
1745904917.0396404,1.0
1745904917.1362529,1.0
1745904917.2325356,1.0
1745904917.331196,1.0
1745904917.4312158,1.0
1745904917.5273762,1.0
1745904917.6271975,1.0
1745904917.7271955,1.0
1745904917.823246,1.0
1745904917.9232,1.0
1745904918.023219,1.0
1745904918.123203,1.0
1745904918.2231998,1.0
1745904918.319416,1.0
1745904918.4156623,1.0
1745904918.5181508,1.0
1745904918.6142428,1.0
1745904918.7104208,1.0
1745904918.8068745,1.0
1745904918.9093401,1.0
1745904919.0071158,1.0
1745904919.1037521,1.0
1745904919.200317,1.0
1745904919.2992065,1.0
1745904919.3955123,1.0
1745904919.498077,1.0
1745904919.595208,1.0
1745904919.6974516,1.0
1745904919.7936256,1.0
1745904919.8912349,1.0
1745904919.991256,1.0
1745904920.0879788,1.0
1745904920.187209,1.0
1745904920.2872295,1.0
1745904920.3872075,1.0
1745904920.4892645,1.0
1745904920.5855453,1.0
1745904920.6832168,1.0
1745904920.7832108,1.0
1745904920.8832526,1.0
1745904920.9832215,1.0
1745904921.0831983,1.0
1745904921.1832047,1.0
1745904921.2832005,1.0
1745904921.3832078,1.0
1745904921.4831963,1.0
