time,scope,value
1745875606.2512126,0,164.77513001758055
1745875606.2512126,1,167.08109418003738
1745875607.2512138,0,103.23446271484674
1745875607.2512138,1,103.84030254765207
1745875608.251223,0,100.23525729447458
1745875608.251223,1,100.9667715931505
1745875609.2512612,0,102.40608497763728
1745875609.2512612,1,99.57545766988203
1745875610.2512162,0,102.11604714218132
1745875610.2512162,1,101.68698638389101
1745875611.2512167,0,102.21930169988906
1745875611.2512167,1,103.54674857412544
1745875612.2512095,0,99.83448463929413
1745875612.2512095,1,102.37100308997307
1745875613.2512126,0,101.86480322515973
1745875613.2512126,1,101.4398034835387
1745875614.2512174,0,104.7724866215308
1745875614.2512174,1,101.48682747640918
1745875615.2512102,0,103.34160040833785
1745875615.2512102,1,99.77122468748773
1745875616.2512069,0,101.44951032682789
1745875616.2512069,1,101.1187125163442
1745875617.2512128,0,103.52296335086959
1745875617.2512128,1,98.30653970712544
1745875618.2512093,0,100.41009186131576
1745875618.2512093,1,99.21271708831462
1745875619.251141,0,103.98495267619485
1745875619.251141,1,103.59404334828923
1745875620.2512057,0,103.9300652611859
1745875620.2512057,1,99.88579894268564
1745875621.2512157,0,103.08689254835818
1745875621.2512157,1,99.07998576018889
1745875622.2512064,0,103.62699363869991
1745875622.2512064,1,103.08471160913489
1745875623.2512126,0,100.86751702598893
1745875623.2512126,1,99.37402427124762
1745875624.2512226,0,102.2201225435943
1745875624.2512226,1,100.01095342274103
1745875625.2512143,0,100.77500483127547
1745875625.2512143,1,99.2834968441645
1745875626.251224,0,103.96626669053731
1745875626.251224,1,102.90795589145722
1745875627.2512064,0,100.08861029391078
1745875627.2512064,1,101.56853494978617
1745875628.2512066,0,102.58367337792144
1745875628.2512066,1,99.60540033169346
1745875629.2512136,0,103.63453443706882
1745875629.2512136,1,102.18713521015964
1745875630.2512057,0,100.04189433343473
1745875630.2512057,1,102.92926375872418
1745875631.2512128,0,103.27211501168811
1745875631.2512128,1,100.69383183046398
1745875632.2512126,0,102.46941177695412
1745875632.2512126,1,101.3008242049608
1745875633.251213,0,103.2422094094016
1745875633.251213,1,101.96054282732983
1745875634.2512128,0,102.33847352622931
1745875634.2512128,1,101.1825675397097
1745875635.251204,0,103.9057482428082
1745875635.251204,1,103.47137183927276
1745875636.25122,0,101.38947373113598
1745875636.25122,1,99.98931411372456
1745875637.2511983,0,101.9064613349351
1745875637.2511983,1,100.18904675469854
1745875638.2512155,0,103.18769583128078
1745875638.2512155,1,103.78395719541818
1745875639.2512114,0,103.9864531850076
1745875639.2512114,1,99.60927864488814
1745875640.2512043,0,101.57668709988063
1745875640.2512043,1,101.67074133674343
1745875641.251246,0,99.78628781438823
1745875641.251246,1,101.45530124174883
1745875642.251209,0,102.4545001225099
1745875642.251209,1,100.25691918389725
1745875643.2512307,0,103.4406065012931
1745875643.2512307,1,103.17493299500399
1745875644.2512538,0,98.80796876909105
1745875644.2512538,1,102.60468501019379
1745875645.251241,0,107.87990523763462
1745875645.251241,1,100.93618993972825
1745875646.25121,0,101.06515106726994
1745875646.25121,1,101.81458955437135
1745875647.2512455,0,99.01981753870778
1745875647.2512455,1,98.91961211591625
1745875648.2512307,0,98.66388816657613
1745875648.2512307,1,99.55497035982891
1745875649.251149,0,100.12588221061021
1745875649.251149,1,101.88376313505394
1745875650.251226,0,103.04431114265763
1745875650.251226,1,101.49466960090528
1745875651.2512205,0,102.55841315053465
1745875651.2512205,1,100.72254659196908
1745875652.2512217,0,103.9549678529371
1745875652.2512217,1,100.47544638671016
1745875653.2512107,0,101.79697088390174
1745875653.2512107,1,98.98763798871303
1745875654.2512174,0,99.46287372147683
1745875654.2512174,1,99.99504103892558
1745875655.2512825,0,99.67974660142474
1745875655.2512825,1,98.83787301102129
1745875656.251261,0,100.07905711546876
1745875656.251261,1,101.0497419887125
1745875657.2511785,0,103.59052504980536
1745875657.2511785,1,102.27918017340814
1745875658.2512233,0,99.51428242111523
1745875658.2512233,1,99.21485637189573
