time,scope,value
1745879000.2511947,0,1103.6845092773438
1745879000.2511947,1,1103.8602905273438
1745879001.251234,0,1265.6058959960938
1745879001.251234,1,1265.871826171875
1745879002.251179,0,1413.3547973632812
1745879002.251179,1,1413.6075439453125
1745879003.2512217,0,1553.9193115234375
1745879003.2512217,1,1554.044921875
1745879004.2512176,0,1694.61083984375
1745879004.2512176,1,1694.7372436523438
1745879005.2512252,0,1835.1458740234375
1745879005.2512252,1,1835.401123046875
1745879006.2512133,0,1975.8140869140625
1745879006.2512133,1,1976.0560302734375
1745879007.2512512,0,2116.4417724609375
1745879007.2512512,1,2116.5355834960938
1745879008.2512283,0,2257.0123291015625
1745879008.2512283,1,2257.1409912109375
1745879009.2512105,0,2397.5748901367188
1745879009.2512105,1,2397.6795043945312
1745879010.251272,0,2538.2896118164062
1745879010.251272,1,2538.53076171875
1745879011.2512126,0,2678.78759765625
1745879011.2512126,1,2678.91943359375
1745879012.2512207,0,2819.3855590820312
1745879012.2512207,1,2819.5177612304688
1745879013.2512162,0,2959.9658813476562
1745879013.2512162,1,2960.201171875
1745879014.2512257,0,3100.5093383789062
1745879014.2512257,1,3100.7650756835938
1745879015.2512283,0,3241.1948852539062
1745879015.2512283,1,3241.3274536132812
1745879016.2512214,0,3381.8016967773438
1745879016.2512214,1,3381.9252319335938
1745879017.2512178,0,3522.3532104492188
1745879017.2512178,1,3522.484375
1745879018.2512147,0,3662.9932861328125
1745879018.2512147,1,3663.1302490234375
1745879019.2512197,0,3803.4816284179688
1745879019.2512197,1,3803.7418212890625
1745879020.2512178,0,3944.177734375
1745879020.2512178,1,3944.3206176757812
1745879021.2512205,0,4084.7552490234375
1745879021.2512205,1,4084.883544921875
1745879022.2512155,0,4225.298828125
1745879022.2512155,1,4225.430236816406
1745879023.2512813,0,4365.967346191406
1745879023.2512813,1,4366.101013183594
1745879024.251223,0,4506.514404296875
1745879024.251223,1,4506.6141357421875
1745879025.2512217,0,4647.1837158203125
1745879025.2512217,1,4647.279846191406
1745879026.2512286,0,4787.733825683594
1745879026.2512286,1,4787.868347167969
1745879027.2512238,0,4928.312316894531
1745879027.2512238,1,4928.423583984375
1745879028.2512283,0,5069.061340332031
1745879028.2512283,1,5069.061340332031
1745879029.2512286,0,5209.510192871094
1745879029.2512286,1,5209.6324462890625
1745879030.2512183,0,5350.014892578125
1745879030.2512183,1,5350.280029296875
1745879031.2512302,0,5490.6241455078125
1745879031.2512302,1,5490.886962890625
1745879032.2512593,0,5631.308166503906
1745879032.2512593,1,5631.624206542969
1745879033.251212,0,5771.8779296875
1745879033.251212,1,5771.983154296875
1745879034.2512167,0,5912.388916015625
1745879034.2512167,1,5912.6517333984375
1745879035.2512143,0,6052.96142578125
1745879035.2512143,1,6053.23388671875
1745879036.2512136,0,6193.658935546875
1745879036.2512136,1,6193.798645019531
1745879037.2512138,0,6334.1795654296875
1745879037.2512138,1,6334.3106689453125
1745879038.251217,0,6474.8013916015625
1745879038.251217,1,6474.94580078125
1745879039.2512226,0,6615.357727050781
1745879039.2512226,1,6615.622375488281
1745879040.2512271,0,6756.044494628906
1745879040.2512271,1,6756.1771240234375
1745879041.2512188,0,6896.7122802734375
1745879041.2512188,1,6896.8416748046875
1745879042.251223,0,7037.226989746094
1745879042.251223,1,7037.353454589844
1745879043.251273,0,7177.9215087890625
1745879043.251273,1,7178.033996582031
1745879044.251212,0,7318.4345703125
1745879044.251212,1,7318.5546875
1745879045.2512581,0,7459.064697265625
1745879045.2512581,1,7459.250244140625
1745879046.2512112,0,7599.589416503906
1745879046.2512112,1,7599.716796875
1745879047.2512183,0,7740.1392822265625
1745879047.2512183,1,7740.28466796875
1745879048.2512224,0,7880.7071533203125
1745879048.2512224,1,7880.9742431640625
1745879049.2512658,0,8021.39501953125
1745879049.2512658,1,8021.629943847656
1745879050.2512152,0,8162.141845703125
1745879050.2512152,1,8162.303771972656
1745879051.2512178,0,8302.533081054688
1745879051.2512178,1,8302.782592773438
1745879052.251221,0,8443.206909179688
1745879052.251221,1,8443.331970214844
1745879053.2512136,0,8583.667053222656
1745879053.2512136,1,8583.922424316406
1745879054.2512138,0,8724.322082519531
1745879054.2512138,1,8724.572143554688
1745879055.2512133,0,8864.827270507812
1745879055.2512133,1,8865.089050292969
1745879056.2512114,0,9005.617492675781
1745879056.2512114,1,9005.738830566406
1745879057.2512152,0,9146.046875
1745879057.2512152,1,9146.336486816406
1745879058.251212,0,9286.671630859375
1745879058.251212,1,9286.79052734375
1745879059.2512138,0,9427.230224609375
1745879059.2512138,1,9427.498657226562
1745879060.2512155,0,9567.937622070312
1745879060.2512155,1,9568.0703125
1745879061.2512112,0,9708.62646484375
1745879061.2512112,1,9708.751159667969
1745879062.251211,0,9849.079956054688
1745879062.251211,1,9849.186706542969
1745879063.2512095,0,9989.606689453125
1745879063.2512095,1,9989.869262695312
1745879064.2511501,0,10130.276550292969
1745879064.2511501,1,10130.404052734375
1745879065.2512105,0,10270.852111816406
1745879065.2512105,1,10271.101867675781
1745879066.2512043,0,10411.545776367188
1745879066.2512043,1,10411.818054199219
1745879067.2512107,0,10552.015686035156
1745879067.2512107,1,10552.281311035156
1745879068.2512145,0,10692.638061523438
1745879068.2512145,1,10692.779235839844
1745879069.251219,0,10833.40380859375
1745879069.251219,1,10833.522094726562
1745879070.2512133,0,10973.861755371094
1745879070.2512133,1,10974.109130859375
1745879071.2512126,0,11114.413269042969
1745879071.2512126,1,11114.687438964844
1745879072.2512136,0,11255.102600097656
1745879072.2512136,1,11255.240661621094
1745879073.2512212,0,11395.631652832031
1745879073.2512212,1,11395.898620605469
1745879074.2512167,0,11536.213195800781
1745879074.2512167,1,11536.72705078125
1745879075.251213,0,11676.858520507812
1745879075.251213,1,11677.075622558594
1745879076.2512114,0,11817.515441894531
1745879076.2512114,1,11817.759765625
1745879077.251209,0,11957.963195800781
1745879077.251209,1,11958.273803710938
1745879078.2512026,0,12098.567016601562
1745879078.2512026,1,12099.054138183594
1745879079.2512238,0,12239.240295410156
1745879079.2512238,1,12239.472839355469
1745879080.251209,0,12379.8359375
1745879080.251209,1,12379.94970703125
1745879081.2512052,0,12520.439392089844
1745879081.2512052,1,12520.573547363281
1745879082.2512,0,12661.162658691406
1745879082.2512,1,12661.426940917969
1745879083.2512155,0,12801.863159179688
1745879083.2512155,1,12801.980773925781
1745879084.2512074,0,12942.088806152344
1745879084.2512074,1,12942.375427246094
1745879085.251211,0,13082.778625488281
1745879085.251211,1,13082.913024902344
1745879086.2512197,0,13223.334533691406
1745879086.2512197,1,13223.602844238281
1745879087.2512221,0,13364.0087890625
1745879087.2512221,1,13364.144653320312
1745879088.2512212,0,13504.569030761719
1745879088.2512212,1,13504.826782226562
1745879089.2512233,0,13645.176086425781
1745879089.2512233,1,13645.435424804688
1745879090.2512145,0,13785.822021484375
1745879090.2512145,1,13785.963989257812
1745879091.2512095,0,13926.384460449219
1745879091.2512095,1,13926.524597167969
1745879092.251207,0,14066.83251953125
1745879092.251207,1,14067.307922363281
1745879093.2512772,0,14207.746887207031
1745879093.2512772,1,14207.862243652344
1745879094.251221,0,14348.159301757812
1745879094.251221,1,14348.405456542969
1745879095.2512121,0,14488.789855957031
1745879095.2512121,1,14488.913757324219
1745879096.2512217,0,14629.304443359375
1745879096.2512217,1,14629.557373046875
1745879097.2512167,0,14769.972900390625
1745879097.2512167,1,14770.105102539062
1745879098.2512164,0,14910.615295410156
1745879098.2512164,1,14910.734436035156
1745879099.2512188,0,15051.189392089844
1745879099.2512188,1,15051.324584960938
1745879100.2512114,0,15191.722900390625
1745879100.2512114,1,15191.848205566406
1745879101.251218,0,15332.270751953125
1745879101.251218,1,15332.557800292969
1745879102.2512717,0,15473.093444824219
1745879102.2512717,1,15473.273376464844
1745879103.2512596,0,15613.635620117188
1745879103.2512596,1,15613.948669433594
1745879104.2512207,0,15754.1484375
1745879104.2512207,1,15754.381042480469
1745879105.2512188,0,15894.736999511719
1745879105.2512188,1,15894.872863769531
1745879106.251197,0,16035.440673828125
1745879106.251197,1,16035.553344726562
1745879107.2512183,0,16175.872436523438
1745879107.2512183,1,16176.025756835938
1745879108.2512143,0,16316.481628417969
1745879108.2512143,1,16316.762145996094
1745879109.2512193,0,16457.040100097656
1745879109.2512193,1,16457.168090820312
1745879110.2512722,0,16597.622619628906
1745879110.2512722,1,16597.7333984375
1745879111.2512133,0,16738.35205078125
1745879111.2512133,1,16738.591369628906
1745879112.25122,0,16878.899353027344
1745879112.25122,1,16879.050537109375
1745879113.2512178,0,17019.472106933594
1745879113.2512178,1,17019.601013183594
1745879114.2512758,0,17160.024658203125
1745879114.2512758,1,17160.24981689453
1745879115.2512074,0,17300.646240234375
1745879115.2512074,1,17300.898193359375
1745879116.2512724,0,17441.301696777344
1745879116.2512724,1,17441.423889160156
1745879117.2512312,0,17582.00994873047
1745879117.2512312,1,17582.1220703125
1745879118.251225,0,17722.507568359375
1745879118.251225,1,17722.642822265625
1745879119.25122,0,17862.97833251953
1745879119.25122,1,17863.240234375
1745879120.2512157,0,18003.56707763672
1745879120.2512157,1,18003.840698242188
1745879121.251219,0,18144.14862060547
1745879121.251219,1,18144.41082763672
1745879122.2512524,0,18284.835815429688
1745879122.2512524,1,18285.140258789062
