time,actuator,value
1745879927.146245,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879932.1565444,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879937.167526,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879942.1780076,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879947.1889997,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879952.1996214,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879957.2101448,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879962.2209632,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879967.234192,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879972.2449343,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879977.2549112,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879982.2646205,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879987.2750351,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879992.2854471,Actuator(ptr=c_void_p(94457431880384)),153.0
1745879997.2956676,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880002.3060246,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880007.3173406,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880012.3279595,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880017.3388846,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880022.3498068,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880027.3603945,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880032.3719964,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880037.3825505,Actuator(ptr=c_void_p(94457431880384)),153.0
1745880042.3938031,Actuator(ptr=c_void_p(94457431880384)),153.0
