time,value
1745884515.1657486,1.0
1745884515.2866173,1.0
1745884515.4339519,1.0
1745884515.5522182,1.0
1745884515.6749845,1.0
1745884515.8061845,1.0
1745884515.965479,1.0
1745884516.0922232,1.0
1745884516.2186706,1.0
1745884516.3495991,1.0
1745884516.475912,1.0
1745884516.6177258,1.0
1745884516.7448943,1.0
1745884516.8713908,1.0
1745884517.0046604,1.0
1745884517.130853,1.0
1745884517.2603903,1.0
1745884517.3876631,1.0
1745884517.513715,1.0
1745884517.63977,1.0
1745884517.7657728,1.0
1745884517.8916943,1.0
1745884518.0196805,1.0
1745884518.1458519,1.0
1745884518.2745397,1.0
1745884518.4017456,1.0
1745884518.527617,1.0
1745884518.6532447,1.0
1745884518.7792554,1.0
1745884518.905602,1.0
1745884519.0329301,1.0
1745884519.1586933,1.0
1745884519.2876768,1.0
1745884519.4149966,1.0
1745884519.5409572,1.0
1745884519.6668222,1.0
1745884519.792733,1.0
1745884519.9185858,1.0
1745884520.0466115,1.0
1745884520.1723957,1.0
1745884520.3030024,1.0
1745884520.4318666,1.0
1745884520.559072,1.0
1745884520.6853876,1.0
1745884520.811768,1.0
1745884520.9481452,1.0
1745884521.090264,1.0
1745884521.2180378,1.0
1745884521.3496943,1.0
1745884521.4770236,1.0
1745884521.6045003,1.0
1745884521.732309,1.0
1745884521.8596694,1.0
1745884521.9892561,1.0
1745884522.1163461,1.0
1745884522.2437446,1.0
1745884522.3756943,1.0
1745884522.503191,1.0
1745884522.6305902,1.0
1745884522.7582784,1.0
1745884522.885234,1.0
1745884523.0319211,1.0
1745884523.1601202,1.0
1745884523.2931595,1.0
1745884523.4206176,1.0
1745884523.5484211,1.0
1745884523.6762974,1.0
1745884523.803925,1.0
1745884523.9327893,1.0
1745884524.0611346,1.0
1745884524.1893299,1.0
1745884524.3207955,1.0
1745884524.4486167,1.0
1745884524.5764172,1.0
1745884524.704589,1.0
1745884524.8328435,1.0
1745884524.9681294,1.0
1745884525.0960453,1.0
1745884525.2246454,1.0
1745884525.3578699,1.0
1745884525.488644,1.0
1745884525.6162684,1.0
1745884525.7441444,1.0
1745884525.8721287,1.0
1745884526.0015213,1.0
1745884526.1292684,1.0
1745884526.259848,1.0
1745884526.3890853,1.0
1745884526.5169485,1.0
1745884526.6445541,1.0
1745884526.7721698,1.0
1745884526.9010236,1.0
1745884527.0303893,1.0
1745884527.1579568,1.0
1745884527.2888134,1.0
1745884527.4188895,1.0
1745884527.5473177,1.0
1745884527.6748497,1.0
1745884527.802751,1.0
1745884527.9318182,1.0
1745884528.0597386,1.0
1745884528.1875188,1.0
1745884528.3194582,1.0
1745884528.4473147,1.0
1745884528.5750375,1.0
1745884528.703228,1.0
1745884528.8310893,1.0
1745884528.960642,1.0
1745884529.0885506,1.0
1745884529.2165325,1.0
1745884529.3489707,1.0
1745884529.476875,1.0
1745884529.6047063,1.0
1745884529.732922,1.0
1745884529.8607693,1.0
1745884529.9899766,1.0
1745884530.1459405,1.0
1745884530.2786837,1.0
1745884530.4102244,1.0
1745884530.5403798,1.0
1745884530.6694276,1.0
1745884530.8002763,1.0
1745884530.9305382,1.0
1745884531.059715,1.0
1745884531.188697,1.0
1745884531.3210504,1.0
1745884531.4502885,1.0
1745884531.579301,1.0
1745884531.7081945,1.0
1745884531.837215,1.0
1745884531.9671981,1.0
1745884532.0965717,1.0
1745884532.226041,1.0
1745884532.358466,1.0
1745884532.4874976,1.0
1745884532.6164434,1.0
1745884532.7458022,1.0
1745884532.8751018,1.0
1745884533.0113301,1.0
1745884533.1405184,1.0
1745884533.272334,1.0
1745884533.402651,1.0
1745884533.5317607,1.0
1745884533.660662,1.0
1745884533.789659,1.0
1745884533.9187856,1.0
1745884534.049009,1.0
1745884534.2027853,1.0
1745884534.336172,1.0
1745884534.464676,1.0
1745884534.597373,1.0
1745884534.7262332,1.0
1745884534.8547912,1.0
1745884534.9845243,1.0
1745884535.11349,1.0
1745884535.2422428,1.0
