time,scope,value
1745884273.2513235,0,75569.74560546875
1745884273.2513235,1,75570.22943115234
1745884274.2512085,0,75688.48046875
1745884274.2512085,1,75688.59094238281
1745884275.2511785,0,75800.11938476562
1745884275.2511785,1,75800.23504638672
1745884276.2512631,0,75911.76245117188
1745884276.2512631,1,75912.13586425781
1745884277.2512522,0,76023.07940673828
1745884277.2512522,1,76023.75817871094
1745884278.2512815,0,76135.07928466797
1745884278.2512815,1,76135.52233886719
1745884279.2513063,0,76246.61358642578
1745884279.2513063,1,76247.16247558594
1745884280.251306,0,76358.4800415039
1745884280.251306,1,76358.92309570312
1745884281.251284,0,76470.09405517578
1745884281.251284,1,76470.6478881836
1745884282.2512822,0,76581.70489501953
1745884282.2512822,1,76582.1572265625
1745884283.251316,0,76693.47973632812
1745884283.251316,1,76693.79217529297
1745884284.2513142,0,76804.9750366211
1745884284.2513142,1,76805.64520263672
1745884285.2512953,0,76916.73425292969
1745884285.2512953,1,76917.2943725586
1745884286.2513142,0,77028.45288085938
1745884286.2513142,1,77028.65264892578
1745884287.2512934,0,77140.10028076172
1745884287.2512934,1,77140.55908203125
1745884288.2512536,0,77251.95678710938
1745884288.2512536,1,77252.16668701172
1745884289.2512898,0,77363.55010986328
1745884289.2512898,1,77363.99133300781
1745884290.2512805,0,77475.07550048828
1745884290.2512805,1,77475.51275634766
1745884291.251277,0,77586.67297363281
1745884291.251277,1,77587.25756835938
1745884292.2513025,0,77698.54022216797
1745884292.2513025,1,77698.97741699219
1745884293.2512763,0,77810.1978149414
1745884293.2512763,1,77810.71649169922
1745884294.2513008,0,77921.80297851562
1745884294.2513008,1,77922.23754882812
1745884295.2512834,0,78033.53723144531
1745884295.2512834,1,78033.95874023438
1745884296.2512996,0,78145.01818847656
1745884296.2512996,1,78145.5966796875
1745884297.2513065,0,78256.87200927734
1745884297.2513065,1,78257.32611083984
1745884298.2512572,0,78369.44909667969
1745884298.2512572,1,78369.78967285156
1745884299.2512095,0,78480.41650390625
1745884299.2512095,1,78480.64184570312
