time,scope,value
1745886691.2514367,0,47.833856295877354
1745886691.2514367,1,48.26895550123342
1745886692.2512069,0,170.97665216064507
1745886692.2512069,1,169.34210018407788
1745886693.2512844,0,142.2608544592067
1745886693.2512844,1,142.79867470998016
1745886694.2513313,0,139.88399838871513
1745886694.2513313,1,140.7469316783409
1745886695.2513256,0,141.7859619806088
1745886695.2513256,1,141.16217270558639
1745886696.25124,0,140.64053413047816
1745886696.25124,1,141.51673544010512
1745886697.251321,0,142.46798225633947
1745886697.251321,1,141.1210564890644
1745886698.251323,0,140.26043124820725
1745886698.251323,1,141.16776453444658
1745886699.251285,0,140.25359449698203
1745886699.251285,1,141.96372605606322
1745886700.2513032,0,141.17795748032447
1745886700.2513032,1,139.63955082153703
1745886701.2513015,0,139.50391714607767
1745886701.2513015,1,140.9447135915073
1745886702.2512996,0,141.72662072258296
1745886702.2512996,1,141.6086200689949
1745886703.2513392,0,143.39922495577147
1745886703.2513392,1,140.81023193902982
1745886704.2513108,0,140.60092904379735
1745886704.2513108,1,140.7446396948625
1745886705.2512903,0,143.08289636865624
1745886705.2512903,1,140.90432212026107
1745886706.2512968,0,142.91574390301827
1745886706.2512968,1,141.4623234058938
1745886707.2513273,0,139.78218880116398
1745886707.2513273,1,139.35897406297957
1745886708.2513201,0,141.01822715751334
1745886708.2513201,1,139.78454366767951
1745886709.2513247,0,140.67711336924367
1745886709.2513247,1,144.57046302132278
