time,scope,value
1745875742.984287,nrm.extra.perf.PAPI_L3_TCA.29544,2179235063.0
1745875742.984287,nrm.extra.perf.PAPI_TOT_INS.29544,45034304524.0
1745875742.984287,nrm.extra.perf.PAPI_TOT_CYC.29544,271316055836.0
1745875742.984287,nrm.extra.perf.PAPI_RES_STL.29544,229415482091.0
1745875742.984287,nrm.extra.perf.PAPI_L3_TCM.29544,2020791453.0
1745875743.982215,nrm.extra.perf.PAPI_L3_TCA.29544,4383377788.0
1745875743.982215,nrm.extra.perf.PAPI_TOT_INS.29544,89429751712.0
1745875743.982215,nrm.extra.perf.PAPI_TOT_CYC.29544,518073379449.0
1745875743.982215,nrm.extra.perf.PAPI_RES_STL.29544,441067271983.0
1745875743.982215,nrm.extra.perf.PAPI_L3_TCM.29544,4063854251.0
1745875744.9836907,nrm.extra.perf.PAPI_L3_TCA.29544,6617076539.0
1745875744.9836907,nrm.extra.perf.PAPI_TOT_INS.29544,134122708771.0
1745875744.9836907,nrm.extra.perf.PAPI_TOT_CYC.29544,765180450529.0
1745875744.9836907,nrm.extra.perf.PAPI_RES_STL.29544,655649778492.0
1745875744.9836907,nrm.extra.perf.PAPI_L3_TCM.29544,6141774215.0
1745875745.9859397,nrm.extra.perf.PAPI_L3_TCA.29544,8789790367.0
1745875745.9859397,nrm.extra.perf.PAPI_TOT_INS.29544,178481946995.0
1745875745.9859397,nrm.extra.perf.PAPI_TOT_CYC.29544,1013392623351.0
1745875745.9859397,nrm.extra.perf.PAPI_RES_STL.29544,865528836900.0
1745875745.9859397,nrm.extra.perf.PAPI_L3_TCM.29544,8164842990.0
1745875746.9832551,nrm.extra.perf.PAPI_L3_TCA.29544,11028255613.0
1745875746.9832551,nrm.extra.perf.PAPI_TOT_INS.29544,223363526249.0
1745875746.9832551,nrm.extra.perf.PAPI_TOT_CYC.29544,1262249099271.0
1745875746.9832551,nrm.extra.perf.PAPI_RES_STL.29544,1080152157707.0
1745875746.9832551,nrm.extra.perf.PAPI_L3_TCM.29544,10235476607.0
1745875747.9838023,nrm.extra.perf.PAPI_L3_TCA.29544,13262327017.0
1745875747.9838023,nrm.extra.perf.PAPI_TOT_INS.29544,268357202701.0
1745875747.9838023,nrm.extra.perf.PAPI_TOT_CYC.29544,1513674831489.0
1745875747.9838023,nrm.extra.perf.PAPI_RES_STL.29544,1296890400763.0
1745875747.9838023,nrm.extra.perf.PAPI_L3_TCM.29544,12313449936.0
1745875748.9833448,nrm.extra.perf.PAPI_L3_TCA.29544,15536812134.0
1745875748.9833448,nrm.extra.perf.PAPI_TOT_INS.29544,313508267287.0
1745875748.9833448,nrm.extra.perf.PAPI_TOT_CYC.29544,1764270254228.0
1745875748.9833448,nrm.extra.perf.PAPI_RES_STL.29544,1516501042533.0
1745875748.9833448,nrm.extra.perf.PAPI_L3_TCM.29544,14423358684.0
1745875749.983638,nrm.extra.perf.PAPI_L3_TCA.29544,17806056439.0
1745875749.983638,nrm.extra.perf.PAPI_TOT_INS.29544,358643255969.0
1745875749.983638,nrm.extra.perf.PAPI_TOT_CYC.29544,2015091168494.0
1745875749.983638,nrm.extra.perf.PAPI_RES_STL.29544,1736057924748.0
1745875749.983638,nrm.extra.perf.PAPI_L3_TCM.29544,16532919040.0
1745875750.9826715,nrm.extra.perf.PAPI_L3_TCA.29544,20030154624.0
1745875750.9826715,nrm.extra.perf.PAPI_TOT_INS.29544,403296846113.0
1745875750.9826715,nrm.extra.perf.PAPI_TOT_CYC.29544,2264212906207.0
1745875750.9826715,nrm.extra.perf.PAPI_RES_STL.29544,1950865435430.0
1745875750.9826715,nrm.extra.perf.PAPI_L3_TCM.29544,18595086791.0
1745875751.985871,nrm.extra.perf.PAPI_L3_TCA.29544,22194967300.0
1745875751.985871,nrm.extra.perf.PAPI_TOT_INS.29544,447952498277.0
1745875751.985871,nrm.extra.perf.PAPI_TOT_CYC.29544,2515896826249.0
1745875751.985871,nrm.extra.perf.PAPI_RES_STL.29544,2161716283002.0
1745875751.985871,nrm.extra.perf.PAPI_L3_TCM.29544,20614201456.0
1745875752.982241,nrm.extra.perf.PAPI_L3_TCA.29544,24434400757.0
1745875752.982241,nrm.extra.perf.PAPI_TOT_INS.29544,492684166100.0
1745875752.982241,nrm.extra.perf.PAPI_TOT_CYC.29544,2764036522688.0
1745875752.982241,nrm.extra.perf.PAPI_RES_STL.29544,2376700581676.0
1745875752.982241,nrm.extra.perf.PAPI_L3_TCM.29544,22685021657.0
1745875753.9837954,nrm.extra.perf.PAPI_L3_TCA.29544,26713342130.0
