time,value
1745888865.313092,1.0
1745888865.3302376,1.0
1745888865.3477578,1.0
1745888865.3648393,1.0
1745888865.381785,1.0
1745888865.398716,1.0
1745888865.4156578,1.0
1745888865.4325724,1.0
1745888865.4494784,1.0
1745888865.4663918,1.0
1745888865.483347,1.0
1745888865.5002859,1.0
1745888865.517199,1.0
1745888865.5341005,1.0
1745888865.5510435,1.0
1745888865.5682542,1.0
1745888865.58515,1.0
1745888865.6020308,1.0
1745888865.618939,1.0
1745888865.635842,1.0
1745888865.6527195,1.0
1745888865.6743624,1.0
1745888865.715085,1.0
1745888865.7333038,1.0
1745888865.7505677,1.0
1745888865.7677805,1.0
1745888865.785206,1.0
1745888865.8023968,1.0
1745888865.8196309,1.0
1745888865.8368,1.0
1745888865.8539953,1.0
1745888865.8712196,1.0
1745888865.8883998,1.0
1745888865.9055817,1.0
1745888865.9227757,1.0
1745888865.9399683,1.0
1745888865.957118,1.0
1745888865.9744937,1.0
1745888865.9916174,1.0
1745888866.0087736,1.0
1745888866.0259323,1.0
1745888866.0430844,1.0
1745888866.0602565,1.0
1745888866.0774543,1.0
1745888866.094615,1.0
1745888866.111773,1.0
1745888866.128924,1.0
1745888866.1460807,1.0
1745888866.1632423,1.0
1745888866.1804218,1.0
1745888866.1976407,1.0
1745888866.2148104,1.0
1745888866.2342129,1.0
1745888866.2602866,1.0
1745888866.3033326,1.0
1745888866.3269374,1.0
1745888866.3513236,1.0
1745888866.3756566,1.0
1745888866.39897,1.0
1745888866.4219031,1.0
1745888866.444546,1.0
1745888866.467311,1.0
1745888866.4897192,1.0
1745888866.5119593,1.0
1745888866.5343916,1.0
1745888866.5565472,1.0
1745888866.5787306,1.0
1745888866.601364,1.0
1745888866.6234171,1.0
1745888866.6456378,1.0
1745888866.667495,1.0
1745888866.6893911,1.0
1745888866.7114036,1.0
1745888866.733457,1.0
1745888866.7553465,1.0
1745888866.777258,1.0
1745888866.7990217,1.0
1745888866.8210883,1.0
1745888866.843068,1.0
1745888866.8649592,1.0
1745888866.8869877,1.0
1745888866.9090252,1.0
1745888866.930877,1.0
1745888866.9526532,1.0
1745888866.974593,1.0
1745888866.9964604,1.0
1745888867.0183218,1.0
1745888867.0402412,1.0
1745888867.0623896,1.0
1745888867.0842137,1.0
1745888867.1059613,1.0
1745888867.1279097,1.0
1745888867.1497498,1.0
1745888867.1715283,1.0
1745888867.1932652,1.0
1745888867.2151263,1.0
1745888867.237155,1.0
1745888867.2704074,1.0
1745888867.3060963,1.0
1745888867.3264363,1.0
1745888867.348613,1.0
1745888867.3706126,1.0
1745888867.392456,1.0
1745888867.4145365,1.0
1745888867.4363327,1.0
1745888867.4582365,1.0
1745888867.4801176,1.0
1745888867.5017686,1.0
1745888867.5234392,1.0
1745888867.5453675,1.0
1745888867.5668583,1.0
1745888867.5884721,1.0
1745888867.610211,1.0
1745888867.631925,1.0
1745888867.6536577,1.0
1745888867.675207,1.0
1745888867.6966298,1.0
1745888867.7183666,1.0
1745888867.740144,1.0
1745888867.7618258,1.0
1745888867.7836363,1.0
1745888867.8052409,1.0
1745888867.8270414,1.0
1745888867.8489187,1.0
1745888867.870836,1.0
1745888867.8926594,1.0
1745888867.9146013,1.0
1745888867.9361324,1.0
1745888867.9579043,1.0
1745888867.979842,1.0
1745888868.0015755,1.0
