time,scope,value
1745886244.251302,0,158.3341364605863
1745886244.251302,1,152.54064211114428
1745886245.25132,0,133.89606500702698
1745886245.25132,1,136.01905461252565
1745886246.2512555,0,135.99400364651348
1745886246.2512555,1,137.65765402961765
1745886247.2512674,0,134.78778736786109
1745886247.2512674,1,136.1607161836921
1745886248.251321,0,134.3356713391428
1745886248.251321,1,135.0736617536292
1745886249.2512782,0,134.38239235118544
1745886249.2512782,1,135.23737997312077
1745886250.251323,0,135.1260785942518
1745886250.251323,1,134.83941937468003
1745886251.2513022,0,135.32119291946879
1745886251.2513022,1,135.54561112892944
1745886252.2513027,0,134.39930836173937
1745886252.2513027,1,133.95600143064414
1745886253.251292,0,137.0216390094062
1745886253.251292,1,136.2190031721336
1745886254.2513034,0,134.44828999473376
1745886254.2513034,1,135.29174257548712
1745886255.2512832,0,134.93443150889382
1745886255.2512832,1,136.73030762127783
1745886256.2512937,0,137.12205522431654
1745886256.2512937,1,136.4178912739454
1745886257.2513077,0,135.35181796400371
1745886257.2513077,1,136.11129535162638
1745886258.2512126,0,134.77604954755458
1745886258.2512126,1,134.34082580770772
1745886259.251279,0,136.12414717351632
1745886259.251279,1,134.6228639992251
1745886260.2512884,0,134.8951972172225
1745886260.2512884,1,137.0579668034333
1745886261.2513137,0,136.84422362245326
1745886261.2513137,1,137.10599633676458
1745886262.2512,0,50.81284637512103
