time,scope,value
1745897548.846479,nrm.extra.perf.PAPI_L3_TCA.70275,1966261098.0
1745897548.846479,nrm.extra.perf.PAPI_TOT_INS.70275,50429531934.0
1745897548.846479,nrm.extra.perf.PAPI_TOT_CYC.70275,229713131506.0
1745897548.846479,nrm.extra.perf.PAPI_RES_STL.70275,184329145236.0
1745897548.846479,nrm.extra.perf.PAPI_L3_TCM.70275,1735701870.0
1745897549.8461428,nrm.extra.perf.PAPI_L3_TCA.70275,3952769638.0
1745897549.8461428,nrm.extra.perf.PAPI_TOT_INS.70275,99984598270.0
1745897549.8461428,nrm.extra.perf.PAPI_TOT_CYC.70275,430749967918.0
1745897549.8461428,nrm.extra.perf.PAPI_RES_STL.70275,349552203992.0
1745897549.8461428,nrm.extra.perf.PAPI_L3_TCM.70275,3491793799.0
1745897550.8472192,nrm.extra.perf.PAPI_L3_TCA.70275,5953740992.0
1745897550.8472192,nrm.extra.perf.PAPI_TOT_INS.70275,149685005683.0
1745897550.8472192,nrm.extra.perf.PAPI_TOT_CYC.70275,631898979401.0
1745897550.8472192,nrm.extra.perf.PAPI_RES_STL.70275,516500789227.0
1745897550.8472192,nrm.extra.perf.PAPI_L3_TCM.70275,5261847151.0
1745897551.8471527,nrm.extra.perf.PAPI_L3_TCA.70275,7991283225.0
1745897551.8471527,nrm.extra.perf.PAPI_TOT_INS.70275,199989639936.0
1745897551.8471527,nrm.extra.perf.PAPI_TOT_CYC.70275,834623795602.0
1745897551.8471527,nrm.extra.perf.PAPI_RES_STL.70275,686243791526.0
1745897551.8471527,nrm.extra.perf.PAPI_L3_TCM.70275,7061750266.0
1745897552.8472576,nrm.extra.perf.PAPI_L3_TCA.70275,10019371640.0
1745897552.8472576,nrm.extra.perf.PAPI_TOT_INS.70275,250193431745.0
1745897552.8472576,nrm.extra.perf.PAPI_TOT_CYC.70275,1037678747338.0
1745897552.8472576,nrm.extra.perf.PAPI_RES_STL.70275,855591371544.0
1745897552.8472576,nrm.extra.perf.PAPI_L3_TCM.70275,8853685435.0
1745897553.8485813,nrm.extra.perf.PAPI_L3_TCA.70275,12036482223.0
1745897553.8485813,nrm.extra.perf.PAPI_TOT_INS.70275,300316090287.0
1745897553.8485813,nrm.extra.perf.PAPI_TOT_CYC.70275,1241016096018.0
1745897553.8485813,nrm.extra.perf.PAPI_RES_STL.70275,1024151239293.0
1745897553.8485813,nrm.extra.perf.PAPI_L3_TCM.70275,10638543692.0
1745897554.8461437,nrm.extra.perf.PAPI_L3_TCA.70275,14070838617.0
1745897554.8461437,nrm.extra.perf.PAPI_TOT_INS.70275,350436163664.0
1745897554.8461437,nrm.extra.perf.PAPI_TOT_CYC.70275,1443095336006.0
1745897554.8461437,nrm.extra.perf.PAPI_RES_STL.70275,1193509782380.0
1745897554.8461437,nrm.extra.perf.PAPI_L3_TCM.70275,12431337029.0
1745897555.846485,nrm.extra.perf.PAPI_L3_TCA.70275,16073616559.0
1745897555.846485,nrm.extra.perf.PAPI_TOT_INS.70275,400118191327.0
1745897555.846485,nrm.extra.perf.PAPI_TOT_CYC.70275,1644042494258.0
1745897555.846485,nrm.extra.perf.PAPI_RES_STL.70275,1360362107161.0
1745897555.846485,nrm.extra.perf.PAPI_L3_TCM.70275,14202002586.0
1745897556.8472898,nrm.extra.perf.PAPI_L3_TCA.70275,18101281382.0
1745897556.8472898,nrm.extra.perf.PAPI_TOT_INS.70275,450313216476.0
1745897556.8472898,nrm.extra.perf.PAPI_TOT_CYC.70275,1846985671681.0
1745897556.8472898,nrm.extra.perf.PAPI_RES_STL.70275,1529647000627.0
1745897556.8472898,nrm.extra.perf.PAPI_L3_TCM.70275,15994068448.0
1745897557.8488858,nrm.extra.perf.PAPI_L3_TCA.70275,20090577333.0
1745897557.8488858,nrm.extra.perf.PAPI_TOT_INS.70275,499791542739.0
1745897557.8488858,nrm.extra.perf.PAPI_TOT_CYC.70275,2048168243816.0
1745897557.8488858,nrm.extra.perf.PAPI_RES_STL.70275,1696291889252.0
1745897557.8488858,nrm.extra.perf.PAPI_L3_TCM.70275,17756352275.0
1745897558.847455,nrm.extra.perf.PAPI_L3_TCA.70275,22100506308.0
1745897558.847455,nrm.extra.perf.PAPI_TOT_INS.70275,549775790226.0
1745897558.847455,nrm.extra.perf.PAPI_TOT_CYC.70275,2251133908862.0
1745897558.847455,nrm.extra.perf.PAPI_RES_STL.70275,1863621379490.0
1745897558.847455,nrm.extra.perf.PAPI_L3_TCM.70275,19526828646.0
1745897559.845956,nrm.extra.perf.PAPI_L3_TCA.70275,24121509515.0
1745897559.845956,nrm.extra.perf.PAPI_TOT_INS.70275,599830318457.0
1745897559.845956,nrm.extra.perf.PAPI_TOT_CYC.70275,2453745651242.0
1745897559.845956,nrm.extra.perf.PAPI_RES_STL.70275,2032321618004.0
1745897559.845956,nrm.extra.perf.PAPI_L3_TCM.70275,21311727117.0
1745897560.8479877,nrm.extra.perf.PAPI_L3_TCA.70275,26148308644.0
1745897560.8479877,nrm.extra.perf.PAPI_TOT_INS.70275,650076197381.0
1745897560.8479877,nrm.extra.perf.PAPI_TOT_CYC.70275,2657024133999.0
1745897560.8479877,nrm.extra.perf.PAPI_RES_STL.70275,2201576711029.0
1745897560.8479877,nrm.extra.perf.PAPI_L3_TCM.70275,23104165438.0
1745897561.84679,nrm.extra.perf.PAPI_L3_TCA.70275,28170496107.0
1745897561.84679,nrm.extra.perf.PAPI_TOT_INS.70275,700148400593.0
1745897561.84679,nrm.extra.perf.PAPI_TOT_CYC.70275,2859796297450.0
1745897561.84679,nrm.extra.perf.PAPI_RES_STL.70275,2370223989296.0
1745897561.84679,nrm.extra.perf.PAPI_L3_TCM.70275,24888898065.0
1745897562.848869,nrm.extra.perf.PAPI_L3_TCA.70275,30185873894.0
1745897562.848869,nrm.extra.perf.PAPI_TOT_INS.70275,750287041265.0
1745897562.848869,nrm.extra.perf.PAPI_TOT_CYC.70275,3063485343188.0
1745897562.848869,nrm.extra.perf.PAPI_RES_STL.70275,2538988876278.0
1745897562.848869,nrm.extra.perf.PAPI_L3_TCM.70275,26673241736.0
1745897563.847118,nrm.extra.perf.PAPI_L3_TCA.70275,32126413565.0
1745897563.847118,nrm.extra.perf.PAPI_TOT_INS.70275,799278167598.0
1745897563.847118,nrm.extra.perf.PAPI_TOT_CYC.70275,3265398306797.0
1745897563.847118,nrm.extra.perf.PAPI_RES_STL.70275,2701191074587.0
1745897563.847118,nrm.extra.perf.PAPI_L3_TCM.70275,28383916420.0
1745897564.848447,nrm.extra.perf.PAPI_L3_TCA.70275,34099538930.0
1745897564.848447,nrm.extra.perf.PAPI_TOT_INS.70275,848637306713.0
1745897564.848447,nrm.extra.perf.PAPI_TOT_CYC.70275,3467080539285.0
1745897564.848447,nrm.extra.perf.PAPI_RES_STL.70275,2866648667119.0
1745897564.848447,nrm.extra.perf.PAPI_L3_TCM.70275,30130957941.0
1745897565.8470187,nrm.extra.perf.PAPI_L3_TCA.70275,36107321941.0
1745897565.8470187,nrm.extra.perf.PAPI_TOT_INS.70275,898557772879.0
1745897565.8470187,nrm.extra.perf.PAPI_TOT_CYC.70275,3669757425741.0
1745897565.8470187,nrm.extra.perf.PAPI_RES_STL.70275,3033897327765.0
1745897565.8470187,nrm.extra.perf.PAPI_L3_TCM.70275,31900532296.0
1745897566.849609,nrm.extra.perf.PAPI_L3_TCA.70275,38121725784.0
1745897566.849609,nrm.extra.perf.PAPI_TOT_INS.70275,948653704874.0
1745897566.849609,nrm.extra.perf.PAPI_TOT_CYC.70275,3873219574068.0
1745897566.849609,nrm.extra.perf.PAPI_RES_STL.70275,3202618567052.0
1745897566.849609,nrm.extra.perf.PAPI_L3_TCM.70275,33684913370.0
1745897567.8469877,nrm.extra.perf.PAPI_L3_TCA.70275,40114555409.0
1745897567.8469877,nrm.extra.perf.PAPI_TOT_INS.70275,998453279569.0
1745897567.8469877,nrm.extra.perf.PAPI_TOT_CYC.70275,4076930399165.0
1745897567.8469877,nrm.extra.perf.PAPI_RES_STL.70275,3369177709188.0
1745897567.8469877,nrm.extra.perf.PAPI_L3_TCM.70275,35439222560.0
1745897568.8464265,nrm.extra.perf.PAPI_L3_TCA.70275,42101692959.0
1745897568.8464265,nrm.extra.perf.PAPI_TOT_INS.70275,1048240142037.0
1745897568.8464265,nrm.extra.perf.PAPI_TOT_CYC.70275,4281201157722.0
1745897568.8464265,nrm.extra.perf.PAPI_RES_STL.70275,3535826749896.0
1745897568.8464265,nrm.extra.perf.PAPI_L3_TCM.70275,37193142217.0
1745897568.8897767,nrm.extra.perf.PAPI_L3_TCA.70275,42101698216.0
1745897568.8897767,nrm.extra.perf.PAPI_TOT_INS.70275,1048304384282.0
1745897568.8897767,nrm.extra.perf.PAPI_TOT_CYC.70275,4281621014757.0
1745897568.8897767,nrm.extra.perf.PAPI_RES_STL.70275,3535826907157.0
1745897568.8897767,nrm.extra.perf.PAPI_L3_TCM.70275,37193144857.0
