time,value
1745909501.194933,3.0
1745909501.2056897,3.0
1745909501.216518,3.0
1745909501.227087,3.0
1745909501.2376285,3.0
1745909501.2481675,3.0
1745909501.26093,3.0
1745909501.2713878,3.0
1745909501.2819083,3.0
1745909501.2924416,3.0
1745909501.3037202,3.0
1745909501.3142076,3.0
1745909501.3247244,3.0
1745909501.335243,3.0
1745909501.3459694,3.0
1745909501.3564353,3.0
1745909501.3669178,3.0
1745909501.3775485,3.0
1745909501.3880453,3.0
1745909501.3985305,3.0
1745909501.4090207,3.0
1745909501.4203684,3.0
1745909501.4308388,3.0
1745909501.4413161,3.0
1745909501.451818,3.0
1745909501.4623044,3.0
1745909501.47286,3.0
1745909501.48337,3.0
1745909501.493838,3.0
1745909501.5043187,3.0
1745909501.514799,3.0
1745909501.5252879,3.0
1745909501.5357969,3.0
1745909501.5462697,3.0
1745909501.5567477,3.0
1745909501.5674014,3.0
1745909501.5817945,3.0
1745909501.5922756,3.0
1745909501.6131682,2.0
1745909501.6250937,1.0
1745909501.63569,1.0
1745909501.6461754,2.0
1745909501.6569924,3.0
1745909501.6680865,3.0
1745909501.6788485,3.0
1745909501.689579,3.0
1745909501.700308,3.0
1745909501.7112632,3.0
1745909501.7224605,3.0
1745909501.733232,3.0
1745909501.7439513,3.0
1745909501.7546477,3.0
1745909501.7653785,3.0
1745909501.7761185,3.0
1745909501.786832,3.0
1745909501.7975645,3.0
1745909501.8082917,3.0
1745909501.8190022,3.0
1745909501.8297746,3.0
1745909501.8404217,3.0
1745909501.8510597,3.0
1745909501.8616946,3.0
1745909501.8723392,3.0
1745909501.8829808,3.0
1745909501.893785,3.0
1745909501.904414,3.0
1745909501.915038,3.0
1745909501.9256732,3.0
1745909501.9363558,3.0
1745909501.9469724,3.0
1745909501.957599,3.0
1745909501.968246,3.0
1745909501.978982,3.0
1745909501.9897544,3.0
1745909502.0004096,3.0
1745909502.0110245,3.0
1745909502.021666,3.0
1745909502.0323362,3.0
1745909502.0429497,3.0
1745909502.053589,3.0
1745909502.06422,3.0
1745909502.0748389,3.0
1745909502.0854824,3.0
1745909502.0961137,3.0
1745909502.106738,3.0
1745909502.11737,3.0
1745909502.127999,3.0
1745909502.138608,3.0
1745909502.1503506,3.0
1745909502.1676214,3.0
1745909502.1796992,1.0
1745909502.1903305,3.0
1745909502.2009802,3.0
1745909502.2116213,3.0
1745909502.22239,3.0
1745909502.2338512,3.0
1745909502.2447898,3.0
1745909502.2577162,3.0
1745909502.2688498,3.0
1745909502.2797506,3.0
1745909502.2916868,3.0
1745909502.303402,3.0
1745909502.3142633,3.0
1745909502.3251503,3.0
1745909502.3361468,3.0
1745909502.347515,3.0
1745909502.3584723,3.0
1745909502.3694646,3.0
1745909502.380471,3.0
1745909502.3915272,3.0
1745909502.402458,3.0
1745909502.413418,3.0
1745909502.424413,3.0
1745909502.4354067,3.0
1745909502.4464,3.0
1745909502.4574032,3.0
1745909502.468401,3.0
1745909502.4793773,3.0
1745909502.4903636,3.0
1745909502.5013793,3.0
1745909502.512392,3.0
1745909502.5233552,3.0
1745909502.5343769,3.0
1745909502.54537,3.0
1745909502.5563428,3.0
1745909502.5673075,3.0
1745909502.5784247,3.0
1745909502.5894003,3.0
1745909502.600386,3.0
1745909502.616756,2.0
1745909502.6279051,3.0
1745909502.6391454,3.0
1745909502.6503847,3.0
1745909502.6616566,3.0
1745909502.6729019,3.0
1745909502.6841757,3.0
1745909502.6954281,3.0
1745909502.7066514,3.0
1745909502.7179317,3.0
1745909502.7291996,3.0
1745909502.740469,3.0
1745909502.7517395,3.0
1745909502.762969,3.0
1745909502.7742138,3.0
1745909502.7854414,3.0
1745909502.796698,3.0
1745909502.808008,3.0
1745909502.8192482,3.0
1745909502.8304408,3.0
1745909502.841922,3.0
1745909502.853147,3.0
1745909502.8643825,3.0
1745909502.8756652,3.0
1745909502.8869262,3.0
1745909502.8983257,3.0
1745909502.9095953,3.0
1745909502.9208357,3.0
1745909502.9321513,3.0
1745909502.9434187,3.0
1745909502.954639,3.0
1745909502.9659152,3.0
1745909502.977526,3.0
1745909502.9889293,3.0
1745909503.0021377,2.0
1745909503.0132654,3.0
1745909503.0244725,3.0
1745909503.0357344,3.0
1745909503.0469744,3.0
1745909503.0581768,3.0
1745909503.0693703,3.0
1745909503.080593,3.0
1745909503.0918245,3.0
1745909503.1030452,3.0
1745909503.1142297,3.0
1745909503.1254563,3.0
1745909503.1366448,3.0
1745909503.1478713,3.0
1745909503.1601603,3.0
1745909503.1710708,1.0
1745909503.185326,1.0
1745909503.1962228,3.0
1745909503.2072458,3.0
1745909503.2185493,3.0
1745909503.2296438,3.0
1745909503.2407029,3.0
1745909503.252147,3.0
1745909503.262575,2.0
1745909503.2735362,3.0
1745909503.2846103,3.0
1745909503.296068,3.0
1745909503.3077135,3.0
1745909503.3187523,3.0
1745909503.3298576,3.0
1745909503.3414414,3.0
1745909503.3524127,3.0
1745909503.363377,3.0
1745909503.3743947,3.0
1745909503.385428,3.0
1745909503.3965006,3.0
1745909503.4074965,3.0
1745909503.4184783,3.0
1745909503.4294827,3.0
1745909503.4405074,3.0
1745909503.4515038,3.0
1745909503.4625065,3.0
1745909503.4748163,3.0
1745909503.485807,3.0
1745909503.4968007,3.0
1745909503.507805,3.0
1745909503.5187786,3.0
1745909503.5298107,3.0
1745909503.5408401,3.0
1745909503.5518746,3.0
1745909503.5628855,3.0
1745909503.5739055,3.0
1745909503.5849116,3.0
1745909503.5958972,3.0
1745909503.6069055,3.0
1745909503.6179187,3.0
1745909503.6289468,3.0
1745909503.6399674,3.0
1745909503.6513028,3.0
1745909503.6622937,3.0
1745909503.6733003,3.0
1745909503.6842828,3.0
1745909503.6952903,3.0
1745909503.7062857,3.0
1745909503.71727,3.0
1745909503.728274,3.0
1745909503.7392735,3.0
1745909503.7502599,3.0
1745909503.7612545,3.0
1745909503.7722752,3.0
1745909503.7832973,3.0
1745909503.7942643,3.0
1745909503.8052464,3.0
1745909503.816255,3.0
1745909503.827228,3.0
1745909503.8382075,3.0
1745909503.8491857,3.0
1745909503.8602295,3.0
1745909503.8712714,3.0
1745909503.8822353,3.0
1745909503.8935626,3.0
1745909503.9045138,3.0
1745909503.9154966,3.0
1745909503.9264748,3.0
1745909503.9374802,3.0
1745909503.948492,3.0
1745909503.9594743,3.0
1745909503.970451,3.0
1745909503.9816563,3.0
