time,scope,value
1745879379.2512798,0,54957.398681640625
1745879379.2512798,1,54957.91906738281
1745879380.2512884,0,55125.18591308594
1745879380.2512884,1,55125.619384765625
1745879381.2512887,0,55271.49182128906
1745879381.2512887,1,55272.08563232422
1745879382.2512863,0,55417.97473144531
1745879382.2512863,1,55418.70477294922
1745879383.2512822,0,55564.60821533203
1745879383.2512822,1,55565.21520996094
1745879384.2512677,0,55711.321533203125
1745879384.2512677,1,55711.61047363281
1745879385.2512763,0,55857.70440673828
1745879385.2512763,1,55858.31414794922
1745879386.2512398,0,56004.18811035156
1745879386.2512398,1,56004.78405761719
1745879387.2513034,0,56150.88952636719
1745879387.2513034,1,56151.48571777344
1745879388.2512894,0,56297.25915527344
1745879388.2512894,1,56297.85137939453
1745879389.251269,0,56447.75720214844
1745879389.251269,1,56448.32940673828
1745879390.2513225,0,56590.732666015625
1745879390.2513225,1,56590.876403808594
1745879391.2512896,0,56737.398681640625
1745879391.2512896,1,56737.851318359375
1745879392.2513015,0,56883.808166503906
1745879392.2513015,1,56884.24285888672
1745879393.2512736,0,57030.48291015625
1745879393.2512736,1,57030.93994140625
1745879394.2512538,0,57179.0537109375
1745879394.2512538,1,57179.336853027344
1745879395.2512808,0,57323.68817138672
1745879395.2512808,1,57323.98876953125
1745879396.2512734,0,57470.20959472656
1745879396.2512734,1,57470.470947265625
1745879397.2513206,0,57616.85314941406
1745879397.2513206,1,57617.13928222656
1745879398.251292,0,57763.37219238281
1745879398.251292,1,57763.79724121094
1745879399.2513,0,57909.903076171875
1745879399.2513,1,57910.205322265625
1745879400.2512612,0,58056.41979980469
1745879400.2512612,1,58056.59442138672
1745879401.251303,0,58202.888916015625
1745879401.251303,1,58203.493713378906
1745879402.2512205,0,58349.262634277344
1745879402.2512205,1,58349.865234375
1745879403.2512991,0,58496.061767578125
1745879403.2512991,1,58496.49530029297
1745879404.25129,0,58642.69909667969
1745879404.25129,1,58643.287353515625
1745879405.2512867,0,58789.25048828125
1745879405.2512867,1,58789.81427001953
1745879406.2512796,0,58936.01477050781
1745879406.2512796,1,58936.61474609375
1745879407.2512784,0,59082.69445800781
1745879407.2512784,1,59083.13293457031
1745879408.2512803,0,59229.058166503906
1745879408.2512803,1,59229.649475097656
1745879409.2512367,0,59375.896423339844
1745879409.2512367,1,59376.330627441406
1745879410.2512922,0,59522.37683105469
1745879410.2512922,1,59522.97479248047
1745879411.2512758,0,59669.04113769531
1745879411.2512758,1,59669.48840332031
1745879412.2512693,0,59815.55419921875
1745879412.2512693,1,59816.126892089844
1745879413.2513185,0,59961.98663330078
1745879413.2513185,1,59962.44110107422
1745879414.2513006,0,60108.73046875
1745879414.2513006,1,60109.03192138672
1745879415.2512944,0,60255.11737060547
1745879415.2512944,1,60255.702209472656
1745879416.2512958,0,60401.74786376953
1745879416.2512958,1,60402.163818359375
1745879417.251322,0,60548.09558105469
1745879417.251322,1,60548.69079589844
1745879418.251241,0,60694.78729248047
1745879418.251241,1,60695.393615722656
1745879419.2512808,0,60841.62078857422
1745879419.2512808,1,60841.90771484375
1745879420.251279,0,60988.086364746094
1745879420.251279,1,60988.55090332031
1745879421.2513084,0,61134.75341796875
1745879421.2513084,1,61135.342346191406
1745879422.251268,0,61281.29821777344
1745879422.251268,1,61281.854431152344
1745879423.2512727,0,61427.95080566406
1745879423.2512727,1,61428.379455566406
1745879424.2512646,0,61574.44842529297
1745879424.2512646,1,61574.91955566406
1745879425.2512794,0,61721.11212158203
1745879425.2512794,1,61721.696228027344
1745879426.251276,0,61867.742431640625
1745879426.251276,1,61868.176818847656
1745879427.2512758,0,62014.290100097656
1745879427.2512758,1,62014.685791015625
1745879428.2513022,0,62160.64440917969
1745879428.2513022,1,62161.21545410156
1745879429.2512848,0,62307.41125488281
1745879429.2512848,1,62307.86248779297
1745879430.2513049,0,62453.83154296875
1745879430.2513049,1,62454.43127441406
1745879431.2513008,0,62600.507385253906
1745879431.2513008,1,62601.20928955078
1745879432.2512987,0,62747.140686035156
1745879432.2512987,1,62747.72723388672
1745879433.2512734,0,62893.5126953125
1745879433.2512734,1,62894.0908203125
1745879434.2512877,0,63040.2783203125
1745879434.2512877,1,63040.883850097656
1745879435.2513125,0,63186.66094970703
1745879435.2513125,1,63187.2548828125
1745879436.2513216,0,63333.35900878906
1745879436.2513216,1,63333.942626953125
1745879437.2512972,0,63479.87219238281
1745879437.2512972,1,63480.59521484375
1745879438.2512827,0,63626.52520751953
1745879438.2512827,1,63627.25402832031
1745879439.2513115,0,63773.190368652344
1745879439.2513115,1,63773.32989501953
1745879440.2512927,0,63919.57482910156
1745879440.2512927,1,63920.1357421875
1745879441.2513177,0,64066.22686767578
1745879441.2513177,1,64066.94934082031
1745879442.251228,0,64213.02227783203
1745879442.251228,1,64213.59783935547
1745879443.251279,0,64359.53826904297
1745879443.251279,1,64360.125915527344
1745879444.2512956,0,64506.086669921875
1745879444.2512956,1,64506.52716064453
1745879445.251279,0,64652.55078125
1745879445.251279,1,64653.30242919922
1745879446.2513072,0,64799.196716308594
1745879446.2513072,1,64799.53253173828
1745879447.251297,0,64945.78698730469
1745879447.251297,1,64946.05712890625
1745879448.2512927,0,65092.25622558594
1745879448.2512927,1,65092.738342285156
1745879449.2512836,0,65238.955627441406
1745879449.2512836,1,65239.52087402344
1745879450.2512844,0,65385.47570800781
1745879450.2512844,1,65386.07012939453
1745879451.2512903,0,65532.035400390625
1745879451.2512903,1,65532.5888671875
1745879452.2513106,0,65678.71166992188
1745879452.2513106,1,65678.9976196289
1745879453.251321,0,65825.21923828125
1745879453.251321,1,65825.51885986328
1745879454.2513156,0,65971.90753173828
1745879454.2513156,1,65972.5033569336
1745879455.2512991,0,66118.38861083984
1745879455.2512991,1,66118.96771240234
1745879456.2512822,0,66265.05364990234
1745879456.2512822,1,66265.51098632812
1745879457.2513194,0,66411.55480957031
1745879457.2513194,1,66411.99377441406
1745879458.251303,0,66558.05712890625
1745879458.251303,1,66558.63885498047
1745879459.2512796,0,66704.63165283203
1745879459.2512796,1,66705.1947631836
1745879460.2512922,0,66851.23944091797
1745879460.2512922,1,66851.68829345703
1745879461.2512865,0,66998.06658935547
1745879461.2512865,1,66998.21478271484
1745879462.2512803,0,67144.41247558594
1745879462.2512803,1,67145.00134277344
1745879463.2512841,0,67290.96783447266
1745879463.2512841,1,67291.5521850586
1745879464.2513204,0,67437.45886230469
1745879464.2513204,1,67437.93395996094
1745879465.2511947,0,67575.46307373047
1745879465.2511947,1,67575.5181274414
