time,scope,value
1745903563.7075677,nrm.extra.perf.PAPI_L3_TCA.81054,2193634868.0
1745903563.7075677,nrm.extra.perf.PAPI_TOT_INS.81054,47479073478.0
1745903563.7075677,nrm.extra.perf.PAPI_TOT_CYC.81054,293646092286.0
1745903563.7075677,nrm.extra.perf.PAPI_RES_STL.81054,246567422681.0
1745903563.7075677,nrm.extra.perf.PAPI_L3_TCM.81054,1938176205.0
1745903564.707637,nrm.extra.perf.PAPI_L3_TCA.81054,4492165985.0
1745903564.707637,nrm.extra.perf.PAPI_TOT_INS.81054,96390634586.0
1745903564.707637,nrm.extra.perf.PAPI_TOT_CYC.81054,594477685862.0
1745903564.707637,nrm.extra.perf.PAPI_RES_STL.81054,503873617908.0
1745903564.707637,nrm.extra.perf.PAPI_L3_TCM.81054,3968359668.0
1745903565.7073522,nrm.extra.perf.PAPI_L3_TCA.81054,6816916718.0
1745903565.7073522,nrm.extra.perf.PAPI_TOT_INS.81054,144954209831.0
1745903565.7073522,nrm.extra.perf.PAPI_TOT_CYC.81054,891430700991.0
1745903565.7073522,nrm.extra.perf.PAPI_RES_STL.81054,763004505081.0
1745903565.7073522,nrm.extra.perf.PAPI_L3_TCM.81054,6020098374.0
1745903566.7063677,nrm.extra.perf.PAPI_L3_TCA.81054,9116488208.0
1745903566.7063677,nrm.extra.perf.PAPI_TOT_INS.81054,195541256091.0
1745903566.7063677,nrm.extra.perf.PAPI_TOT_CYC.81054,1184649342611.0
1745903566.7063677,nrm.extra.perf.PAPI_RES_STL.81054,1018319252966.0
1745903566.7063677,nrm.extra.perf.PAPI_L3_TCM.81054,8051852926.0
1745903567.7057862,nrm.extra.perf.PAPI_L3_TCA.81054,11466069660.0
1745903567.7057862,nrm.extra.perf.PAPI_TOT_INS.81054,253920400516.0
1745903567.7057862,nrm.extra.perf.PAPI_TOT_CYC.81054,1485702737773.0
1745903567.7057862,nrm.extra.perf.PAPI_RES_STL.81054,1279389459583.0
1745903567.7057862,nrm.extra.perf.PAPI_L3_TCM.81054,10126162651.0
1745903568.7067473,nrm.extra.perf.PAPI_L3_TCA.81054,13789218342.0
1745903568.7067473,nrm.extra.perf.PAPI_TOT_INS.81054,312194640228.0
1745903568.7067473,nrm.extra.perf.PAPI_TOT_CYC.81054,1786964272149.0
1745903568.7067473,nrm.extra.perf.PAPI_RES_STL.81054,1537348741892.0
1745903568.7067473,nrm.extra.perf.PAPI_L3_TCM.81054,12178624408.0
1745903569.706437,nrm.extra.perf.PAPI_L3_TCA.81054,16129982753.0
