time,scope,value
1738715378.4410503,0,6554.459899902344
1738715378.4410503,1,6554.569030761719
1738715379.4403179,0,6657.458435058594
1738715379.4403179,1,6657.5455322265625
1738715380.4407876,0,6758.255676269531
1738715380.4407876,1,6758.372985839844
1738715381.4406824,0,6858.999938964844
1738715381.4406824,1,6859.059265136719
1738715382.4410765,0,6959.7127685546875
1738715382.4410765,1,6959.7860107421875
1738715383.440414,0,7060.344055175781
1738715383.440414,1,7060.512451171875
1738715384.44077,0,7161.0794677734375
1738715384.44077,1,7161.174072265625
1738715385.4405262,0,7261.838439941406
1738715385.4405262,1,7261.984375
1738715386.4406917,0,7362.560119628906
1738715386.4406917,1,7362.679260253906
1738715387.4402578,0,7463.249755859375
1738715387.4402578,1,7463.350402832031
1738715388.440181,0,7563.9271240234375
1738715388.440181,1,7564.012756347656
1738715389.4410284,0,7664.732421875
1738715389.4410284,1,7664.989074707031
1738715390.4407961,0,7765.4322509765625
1738715390.4407961,1,7765.551086425781
1738715391.4409976,0,7866.0509033203125
1738715391.4409976,1,7866.352600097656
1738715392.4407096,0,7966.848388671875
1738715392.4407096,1,7967.059875488281
1738715393.4405901,0,8067.4581298828125
1738715393.4405901,1,8067.6793212890625
1738715394.4403038,0,8168.205627441406
1738715394.4403038,1,8168.291015625
1738715395.440658,0,8268.930114746094
1738715395.440658,1,8269.091979980469
1738715396.4411488,0,8369.636779785156
1738715396.4411488,1,8369.851196289062
1738715397.4403327,0,8470.348815917969
1738715397.4403327,1,8470.416381835938
1738715398.4408143,0,8570.989135742188
1738715398.4408143,1,8571.194274902344
1738715399.4402018,0,8671.693603515625
1738715399.4402018,1,8671.886840820312
1738715400.4407718,0,8772.458374023438
1738715400.4407718,1,8772.548034667969
1738715401.4408123,0,8873.180358886719
1738715401.4408123,1,8873.409729003906
1738715402.4402447,0,8973.81689453125
1738715402.4402447,1,8973.903381347656
1738715403.4407575,0,9074.657958984375
1738715403.4407575,1,9074.739501953125
1738715404.440859,0,9175.331481933594
1738715404.440859,1,9175.423522949219
1738715405.4410052,0,9276.370971679688
1738715405.4410052,1,9276.633239746094
1738715406.4403892,0,9376.681640625
1738715406.4403892,1,9376.832702636719
1738715407.4408116,0,9477.476318359375
1738715407.4408116,1,9477.547241210938
1738715408.441049,0,9578.201477050781
1738715408.441049,1,9578.267211914062
