time,scope,value
1738729463.4405193,1,48.70696355713112
1738729464.4411197,0,106.93545026635773
1738729464.4411197,1,106.24825158122921
1738729465.4407845,0,107.12202317746195
1738729465.4407845,1,106.48964738741883
1738729466.4410949,0,105.33653852264595
1738729466.4410949,1,106.31418587703332
1738729467.4410212,0,106.29243780053561
1738729467.4410212,1,105.96545105797541
1738729468.4407868,0,104.78698545600787
1738729468.4407868,1,104.87089059785058
1738729469.4406905,0,106.58106310935084
1738729469.4406905,1,106.2431382945485
1738729470.440264,0,110.59447752774061
1738729470.440264,1,106.91448716553514
1738729471.441005,0,107.91308068487692
1738729471.441005,1,107.07906035120844
1738729472.4412792,0,107.56603920480549
1738729472.4412792,1,106.13525849869025
1738729473.4405863,0,108.21099597227231
1738729473.4405863,1,105.08414792999551
1738729474.4410417,0,107.9525081182409
1738729474.4410417,1,105.94368710671777
1738729475.4404268,0,106.52335985804493
1738729475.4404268,1,107.57006463801136
1738729476.440547,0,107.41360803985702
1738729476.440547,1,105.94788456110857
1738729477.4402184,0,107.24672112382784
1738729477.4402184,1,106.55902038111063
1738729478.4408069,0,107.4402703546252
1738729478.4408069,1,106.57455611371577
1738729479.4403245,0,106.1701447014887
1738729479.4403245,1,108.82876604403862
1738729480.4407883,0,106.83539002426114
1738729480.4407883,1,106.97768593988921
1738729481.4408104,0,106.03751875063269
1738729481.4408104,1,106.97124809199718
1738729482.4405172,0,108.14010087578039
1738729482.4405172,1,107.6579727580941
1738729483.4409852,0,107.29477559495876
1738729483.4409852,1,108.04018964593756
1738729484.440928,0,105.56777463565754
1738729484.440928,1,107.27322411585888
1738729485.440733,0,105.9035208616204
1738729485.440733,1,105.64821876420044
1738729486.4408317,0,106.78794114413226
1738729486.4408317,1,106.28460032933351
1738729487.4410646,0,107.26132702065703
1738729487.4410646,1,105.64322232924344
1738729488.441244,0,106.73234522539042
1738729488.441244,1,106.78974099347992
1738729489.4406872,0,106.22857362506441
1738729489.4406872,1,108.03318024755235
1738729490.4406435,0,109.8832812107423
1738729490.4406435,1,106.177155397788
1738729491.4407516,0,106.92603173999251
1738729491.4407516,1,107.10691019796947
1738729492.4410856,0,106.8001978011349
1738729492.4410856,1,107.0889258065394
1738729493.4404953,0,105.79410560281728
1738729493.4404953,1,106.07274040508064
1738729494.4410226,0,108.39983344011515
1738729494.4410226,1,106.06154707442197
1738729495.4411628,0,106.60334215717663
1738729495.4411628,1,107.44504467300736
1738729496.4408422,0,106.16995226250731
1738729496.4408422,1,107.11888859123653
1738729497.4409907,0,107.41929312911488
1738729497.4409907,1,106.31819416153591
1738729498.4408748,0,106.68916130123162
1738729498.4408748,1,108.39308293957978
1738729499.4405777,0,105.32754802407625
1738729499.4405777,1,107.64111132394456
1738729500.4407527,0,108.31843881625947
1738729500.4407527,1,105.76695668822767
1738729501.4407444,0,108.43281452154108
1738729501.4407444,1,106.7541917164973
1738729502.4405658,0,105.65099741041476
1738729502.4405658,1,107.75911752586542
