time,value
1738717654.3400292,1.0
1738717654.4780455,1.0
1738717654.6141114,1.0
1738717654.7474198,1.0
1738717654.880919,1.0
1738717655.0142343,1.0
1738717655.174164,1.0
1738717655.3065383,1.0
1738717655.438212,1.0
1738717655.5980086,1.0
1738717655.7426364,1.0
1738717655.8741193,1.0
1738717656.0052762,1.0
1738717656.1429205,1.0
1738717656.2741573,1.0
1738717656.407034,1.0
1738717656.5417616,1.0
1738717656.6740785,1.0
1738717656.805279,1.0
1738717656.9378133,1.0
1738717657.0914686,1.0
1738717657.2236657,1.0
1738717657.355644,1.0
1738717657.4900258,1.0
1738717657.6221194,1.0
1738717657.753746,1.0
1738717657.8854094,1.0
1738717658.0165675,1.0
1738717658.149635,1.0
1738717658.2811387,1.0
1738717658.413019,1.0
1738717658.57051,1.0
1738717658.702595,1.0
1738717658.8338792,1.0
1738717658.9656549,1.0
1738717659.1001122,1.0
1738717659.232599,1.0
1738717659.364324,1.0
1738717659.4980648,1.0
1738717659.6297886,1.0
1738717659.7672763,1.0
1738717659.8994043,1.0
1738717660.0307548,1.0
1738717660.2018023,1.0
1738717660.332909,1.0
1738717660.4673982,1.0
1738717660.6001995,1.0
1738717660.7310784,1.0
1738717660.862411,1.0
1738717660.993293,1.0
1738717661.1254067,1.0
1738717661.2563076,1.0
1738717661.387854,1.0
1738717661.5227375,1.0
1738717661.679347,1.0
1738717661.8104258,1.0
1738717661.9424121,1.0
1738717662.0734494,1.0
1738717662.2221289,1.0
1738717662.3536162,1.0
1738717662.4901924,1.0
1738717662.6221724,1.0
1738717662.7532194,1.0
1738717662.8847337,1.0
1738717663.0158815,1.0
1738717663.1788254,1.0
1738717663.3106904,1.0
1738717663.4453473,1.0
1738717663.5780163,1.0
1738717663.7092483,1.0
1738717663.8406363,1.0
1738717663.9722857,1.0
1738717664.1063619,1.0
1738717664.242266,1.0
1738717664.3737795,1.0
1738717664.5090098,1.0
1738717664.6411862,1.0
1738717664.805409,1.0
1738717664.9372525,1.0
1738717665.0684063,1.0
1738717665.2006257,1.0
1738717665.3323202,1.0
1738717665.467815,1.0
1738717665.601686,1.0
1738717665.7330458,1.0
1738717665.865973,1.0
1738717665.9974172,1.0
1738717666.1310215,1.0
1738717666.293775,1.0
1738717666.4255564,1.0
1738717666.5628402,1.0
1738717666.6944032,1.0
1738717666.8255188,1.0
1738717666.9574594,1.0
1738717667.090114,1.0
1738717667.221793,1.0
1738717667.352897,1.0
1738717667.4894571,1.0
1738717667.621381,1.0
1738717667.7834117,1.0
1738717667.914892,1.0
1738717668.0459259,1.0
1738717668.1786308,1.0
1738717668.3102424,1.0
1738717668.452052,1.0
1738717668.6463535,1.0
1738717668.779092,1.0
1738717668.9121616,1.0
1738717669.0450788,1.0
1738717669.1802008,1.0
1738717669.3325357,1.0
1738717669.4679801,1.0
1738717669.6027963,1.0
1738717669.7411075,1.0
1738717669.8739753,1.0
1738717670.0067542,1.0
1738717670.1402206,1.0
1738717670.2727568,1.0
1738717670.4068565,1.0
1738717670.5431905,1.0
1738717670.676692,1.0
1738717670.8153539,1.0
1738717670.9676626,1.0
1738717671.1018145,1.0
1738717671.2343545,1.0
1738717671.3671734,1.0
1738717671.5029101,1.0
1738717671.6359558,1.0
1738717671.768642,1.0
1738717671.9013832,1.0
1738717672.0339484,1.0
1738717672.1671007,1.0
1738717672.2998693,1.0
1738717672.457448,1.0
1738717672.613017,1.0
1738717672.7447019,1.0
1738717672.8767729,1.0
1738717673.0083637,1.0
1738717673.141535,1.0
1738717673.2727456,1.0
1738717673.4048157,1.0
1738717673.5386832,1.0
1738717673.6759279,1.0
1738717673.807171,1.0
1738717673.9642227,1.0
1738717674.1003454,1.0
1738717674.2317955,1.0
1738717674.3638723,1.0
1738717674.4988375,1.0
1738717674.6319103,1.0
1738717674.7642632,1.0
1738717674.8962457,1.0
1738717675.027933,1.0
1738717675.1612148,1.0
1738717675.2927144,1.0
1738717675.4405146,1.0
1738717675.5827062,1.0
1738717675.7153952,1.0
1738717675.8470144,1.0
1738717675.9793272,1.0
