time,scope,value
1738776220.1711698,nrm.extra.perf.PAPI_L3_TCA.125798,866853260.0
1738776220.1711698,nrm.extra.perf.PAPI_TOT_INS.125798,39603139882.0
1738776220.1711698,nrm.extra.perf.PAPI_TOT_CYC.125798,285138473666.0
1738776220.1711698,nrm.extra.perf.PAPI_RES_STL.125798,91379125074.0
1738776220.1711698,nrm.extra.perf.PAPI_L3_TCM.125798,807733808.0
1738776221.1712098,nrm.extra.perf.PAPI_L3_TCA.125798,1762638232.0
1738776221.1712098,nrm.extra.perf.PAPI_TOT_INS.125798,79647064029.0
1738776221.1712098,nrm.extra.perf.PAPI_TOT_CYC.125798,574372172553.0
1738776221.1712098,nrm.extra.perf.PAPI_RES_STL.125798,186589059188.0
1738776221.1712098,nrm.extra.perf.PAPI_L3_TCM.125798,1652900054.0
1738776222.1712036,nrm.extra.perf.PAPI_L3_TCA.125798,2670861943.0
1738776222.1712036,nrm.extra.perf.PAPI_TOT_INS.125798,119440626973.0
1738776222.1712036,nrm.extra.perf.PAPI_TOT_CYC.125798,863594050255.0
1738776222.1712036,nrm.extra.perf.PAPI_RES_STL.125798,284866349424.0
1738776222.1712036,nrm.extra.perf.PAPI_L3_TCM.125798,2508316513.0
1738776223.1711617,nrm.extra.perf.PAPI_L3_TCA.125798,3541471313.0
1738776223.1711617,nrm.extra.perf.PAPI_TOT_INS.125798,158936825401.0
1738776223.1711617,nrm.extra.perf.PAPI_TOT_CYC.125798,1151546098864.0
1738776223.1711617,nrm.extra.perf.PAPI_RES_STL.125798,379911897203.0
1738776223.1711617,nrm.extra.perf.PAPI_L3_TCM.125798,3328605067.0
1738776224.1711366,nrm.extra.perf.PAPI_L3_TCA.125798,4474980063.0
1738776224.1711366,nrm.extra.perf.PAPI_TOT_INS.125798,198821824440.0
1738776224.1711366,nrm.extra.perf.PAPI_TOT_CYC.125798,1442675540584.0
1738776224.1711366,nrm.extra.perf.PAPI_RES_STL.125798,482280352125.0
1738776224.1711366,nrm.extra.perf.PAPI_L3_TCM.125798,4209443667.0
1738776225.1714935,nrm.extra.perf.PAPI_L3_TCA.125798,5370187196.0
1738776225.1714935,nrm.extra.perf.PAPI_TOT_INS.125798,238221652450.0
1738776225.1714935,nrm.extra.perf.PAPI_TOT_CYC.125798,1731667164120.0
1738776225.1714935,nrm.extra.perf.PAPI_RES_STL.125798,581888554994.0
1738776225.1714935,nrm.extra.perf.PAPI_L3_TCM.125798,5054426931.0
1738776226.1712081,nrm.extra.perf.PAPI_L3_TCA.125798,6266360569.0
1738776226.1712081,nrm.extra.perf.PAPI_TOT_INS.125798,278387226879.0
1738776226.1712081,nrm.extra.perf.PAPI_TOT_CYC.125798,2020370176503.0
1738776226.1712081,nrm.extra.perf.PAPI_RES_STL.125798,675817181183.0
1738776226.1712081,nrm.extra.perf.PAPI_L3_TCM.125798,5900238497.0
1738776227.1720662,nrm.extra.perf.PAPI_L3_TCA.125798,7185864413.0
1738776227.1720662,nrm.extra.perf.PAPI_TOT_INS.125798,318488266346.0
1738776227.1720662,nrm.extra.perf.PAPI_TOT_CYC.125798,2307572399814.0
1738776227.1720662,nrm.extra.perf.PAPI_RES_STL.125798,771248970327.0
1738776227.1720662,nrm.extra.perf.PAPI_L3_TCM.125798,6769837277.0
1738776228.1710987,nrm.extra.perf.PAPI_L3_TCA.125798,8057556922.0
1738776228.1710987,nrm.extra.perf.PAPI_TOT_INS.125798,358730239505.0
1738776228.1710987,nrm.extra.perf.PAPI_TOT_CYC.125798,2594966443084.0
1738776228.1710987,nrm.extra.perf.PAPI_RES_STL.125798,860544144027.0
1738776228.1710987,nrm.extra.perf.PAPI_L3_TCM.125798,7592713604.0
1738776229.1711693,nrm.extra.perf.PAPI_L3_TCA.125798,8978466246.0
1738776229.1711693,nrm.extra.perf.PAPI_TOT_INS.125798,399082503546.0
1738776229.1711693,nrm.extra.perf.PAPI_TOT_CYC.125798,2883765371820.0
1738776229.1711693,nrm.extra.perf.PAPI_RES_STL.125798,955933826313.0
1738776229.1711693,nrm.extra.perf.PAPI_L3_TCM.125798,8462349795.0
1738776230.173501,nrm.extra.perf.PAPI_L3_TCA.125798,9881166916.0
1738776230.173501,nrm.extra.perf.PAPI_TOT_INS.125798,439404375017.0
1738776230.173501,nrm.extra.perf.PAPI_TOT_CYC.125798,3172568261016.0
1738776230.173501,nrm.extra.perf.PAPI_RES_STL.125798,1049931770064.0
1738776230.173501,nrm.extra.perf.PAPI_L3_TCM.125798,9320273609.0
1738776231.174583,nrm.extra.perf.PAPI_L3_TCA.125798,10772522928.0
1738776231.174583,nrm.extra.perf.PAPI_TOT_INS.125798,479314169729.0
1738776231.174583,nrm.extra.perf.PAPI_TOT_CYC.125798,3456957216330.0
1738776231.174583,nrm.extra.perf.PAPI_RES_STL.125798,1141012472001.0
1738776231.174583,nrm.extra.perf.PAPI_L3_TCM.125798,10165780482.0
1738776232.1735353,nrm.extra.perf.PAPI_L3_TCA.125798,11697156004.0
1738776232.1735353,nrm.extra.perf.PAPI_TOT_INS.125798,519785039398.0
1738776232.1735353,nrm.extra.perf.PAPI_TOT_CYC.125798,3745626135759.0
1738776232.1735353,nrm.extra.perf.PAPI_RES_STL.125798,1235617525558.0
1738776232.1735353,nrm.extra.perf.PAPI_L3_TCM.125798,11036576986.0
1738776233.1712003,nrm.extra.perf.PAPI_L3_TCA.125798,12598845741.0
1738776233.1712003,nrm.extra.perf.PAPI_TOT_INS.125798,560269153884.0
1738776233.1712003,nrm.extra.perf.PAPI_TOT_CYC.125798,4034817470354.0
1738776233.1712003,nrm.extra.perf.PAPI_RES_STL.125798,1327884773479.0
1738776233.1712003,nrm.extra.perf.PAPI_L3_TCM.125798,11883660327.0
1738776234.171081,nrm.extra.perf.PAPI_L3_TCA.125798,13545262013.0
1738776234.171081,nrm.extra.perf.PAPI_TOT_INS.125798,600965393377.0
1738776234.171081,nrm.extra.perf.PAPI_TOT_CYC.125798,4325333890421.0
1738776234.171081,nrm.extra.perf.PAPI_RES_STL.125798,1425232394520.0
1738776234.171081,nrm.extra.perf.PAPI_L3_TCM.125798,12777875520.0
1738776235.1711628,nrm.extra.perf.PAPI_L3_TCA.125798,14453379873.0
1738776235.1711628,nrm.extra.perf.PAPI_TOT_INS.125798,641395247943.0
1738776235.1711628,nrm.extra.perf.PAPI_TOT_CYC.125798,4613233025495.0
1738776235.1711628,nrm.extra.perf.PAPI_RES_STL.125798,1517707743641.0
1738776235.1711628,nrm.extra.perf.PAPI_L3_TCM.125798,13636558810.0
1738776236.1736085,nrm.extra.perf.PAPI_L3_TCA.125798,15342812471.0
1738776236.1736085,nrm.extra.perf.PAPI_TOT_INS.125798,681409639343.0
1738776236.1736085,nrm.extra.perf.PAPI_TOT_CYC.125798,4900388875557.0
1738776236.1736085,nrm.extra.perf.PAPI_RES_STL.125798,1610955653684.0
1738776236.1736085,nrm.extra.perf.PAPI_L3_TCM.125798,14482336546.0
1738776237.1711705,nrm.extra.perf.PAPI_L3_TCA.125798,16232429411.0
1738776237.1711705,nrm.extra.perf.PAPI_TOT_INS.125798,721360029222.0
1738776237.1711705,nrm.extra.perf.PAPI_TOT_CYC.125798,5186952335996.0
1738776237.1711705,nrm.extra.perf.PAPI_RES_STL.125798,1703137858467.0
1738776237.1711705,nrm.extra.perf.PAPI_L3_TCM.125798,15316229674.0
1738776238.1712053,nrm.extra.perf.PAPI_L3_TCA.125798,17140550555.0
1738776238.1712053,nrm.extra.perf.PAPI_TOT_INS.125798,761892188633.0
1738776238.1712053,nrm.extra.perf.PAPI_TOT_CYC.125798,5475776778408.0
1738776238.1712053,nrm.extra.perf.PAPI_RES_STL.125798,1795816720525.0
1738776238.1712053,nrm.extra.perf.PAPI_L3_TCM.125798,16175270536.0
1738776239.1711903,nrm.extra.perf.PAPI_L3_TCA.125798,18073980858.0
1738776239.1711903,nrm.extra.perf.PAPI_TOT_INS.125798,802495950990.0
1738776239.1711903,nrm.extra.perf.PAPI_TOT_CYC.125798,5765067531378.0
1738776239.1711903,nrm.extra.perf.PAPI_RES_STL.125798,1891180653823.0
1738776239.1711903,nrm.extra.perf.PAPI_L3_TCM.125798,17058354589.0
1738776240.174288,nrm.extra.perf.PAPI_L3_TCA.125798,18973947078.0
1738776240.174288,nrm.extra.perf.PAPI_TOT_INS.125798,843255028551.0
1738776240.174288,nrm.extra.perf.PAPI_TOT_CYC.125798,6057040996178.0
1738776240.174288,nrm.extra.perf.PAPI_RES_STL.125798,1984997038841.0
1738776240.174288,nrm.extra.perf.PAPI_L3_TCM.125798,17917851256.0
1738776241.1710749,nrm.extra.perf.PAPI_L3_TCA.125798,19865655525.0
1738776241.1710749,nrm.extra.perf.PAPI_TOT_INS.125798,883222520161.0
1738776241.1710749,nrm.extra.perf.PAPI_TOT_CYC.125798,6343776685533.0
1738776241.1710749,nrm.extra.perf.PAPI_RES_STL.125798,2077371476278.0
1738776241.1710749,nrm.extra.perf.PAPI_L3_TCM.125798,18753016059.0
1738776242.1712308,nrm.extra.perf.PAPI_L3_TCA.125798,20811777058.0
1738776242.1712308,nrm.extra.perf.PAPI_TOT_INS.125798,923518345785.0
1738776242.1712308,nrm.extra.perf.PAPI_TOT_CYC.125798,6632452429851.0
1738776242.1712308,nrm.extra.perf.PAPI_RES_STL.125798,2175755452959.0
1738776242.1712308,nrm.extra.perf.PAPI_L3_TCM.125798,19648277596.0
1738776243.17105,nrm.extra.perf.PAPI_L3_TCA.125798,21695047417.0
1738776243.17105,nrm.extra.perf.PAPI_TOT_INS.125798,963649898177.0
1738776243.17105,nrm.extra.perf.PAPI_TOT_CYC.125798,6918588291504.0
1738776243.17105,nrm.extra.perf.PAPI_RES_STL.125798,2265856956060.0
1738776243.17105,nrm.extra.perf.PAPI_L3_TCM.125798,20485321669.0
1738776244.1748369,nrm.extra.perf.PAPI_L3_TCA.125798,22580257106.0
1738776244.1748369,nrm.extra.perf.PAPI_TOT_INS.125798,1003647810509.0
1738776244.1748369,nrm.extra.perf.PAPI_TOT_CYC.125798,7203707594738.0
1738776244.1748369,nrm.extra.perf.PAPI_RES_STL.125798,2356809112292.0
1738776244.1748369,nrm.extra.perf.PAPI_L3_TCM.125798,21334131909.0
1738776245.1712224,nrm.extra.perf.PAPI_L3_TCA.125798,23486546623.0
1738776245.1712224,nrm.extra.perf.PAPI_TOT_INS.125798,1044400736868.0
1738776245.1712224,nrm.extra.perf.PAPI_TOT_CYC.125798,7495101595157.0
1738776245.1712224,nrm.extra.perf.PAPI_RES_STL.125798,2449620104428.0
1738776245.1712224,nrm.extra.perf.PAPI_L3_TCM.125798,22182881768.0
1738776246.1727269,nrm.extra.perf.PAPI_L3_TCA.125798,24417186124.0
1738776246.1727269,nrm.extra.perf.PAPI_TOT_INS.125798,1085279880286.0
1738776246.1727269,nrm.extra.perf.PAPI_TOT_CYC.125798,7787728004236.0
1738776246.1727269,nrm.extra.perf.PAPI_RES_STL.125798,2546237276125.0
1738776246.1727269,nrm.extra.perf.PAPI_L3_TCM.125798,23066099846.0
1738776247.1711767,nrm.extra.perf.PAPI_L3_TCA.125798,25316202518.0
1738776247.1711767,nrm.extra.perf.PAPI_TOT_INS.125798,1126023136766.0
1738776247.1711767,nrm.extra.perf.PAPI_TOT_CYC.125798,8079500163731.0
1738776247.1711767,nrm.extra.perf.PAPI_RES_STL.125798,2638907677640.0
1738776247.1711767,nrm.extra.perf.PAPI_L3_TCM.125798,23914587709.0
1738776248.1748264,nrm.extra.perf.PAPI_L3_TCA.125798,26504891963.0
1738776248.1748264,nrm.extra.perf.PAPI_TOT_INS.125798,1166850040973.0
1738776248.1748264,nrm.extra.perf.PAPI_TOT_CYC.125798,8370464487643.0
1738776248.1748264,nrm.extra.perf.PAPI_RES_STL.125798,2762721588665.0
1738776248.1748264,nrm.extra.perf.PAPI_L3_TCM.125798,25047483695.0
1738776249.1725636,nrm.extra.perf.PAPI_L3_TCA.125798,28934427255.0
1738776249.1725636,nrm.extra.perf.PAPI_TOT_INS.125798,1208195168133.0
1738776249.1725636,nrm.extra.perf.PAPI_TOT_CYC.125798,8657240759622.0
1738776249.1725636,nrm.extra.perf.PAPI_RES_STL.125798,3013172427701.0
1738776249.1725636,nrm.extra.perf.PAPI_L3_TCM.125798,27325907057.0
1738776250.17376,nrm.extra.perf.PAPI_L3_TCA.125798,30444329695.0
1738776250.17376,nrm.extra.perf.PAPI_TOT_INS.125798,1248687665953.0
1738776250.17376,nrm.extra.perf.PAPI_TOT_CYC.125798,8943280863070.0
1738776250.17376,nrm.extra.perf.PAPI_RES_STL.125798,3169237638875.0
1738776250.17376,nrm.extra.perf.PAPI_L3_TCM.125798,28753770387.0
1738776251.1716702,nrm.extra.perf.PAPI_L3_TCA.125798,32834448599.0
1738776251.1716702,nrm.extra.perf.PAPI_TOT_INS.125798,1289715757033.0
1738776251.1716702,nrm.extra.perf.PAPI_TOT_CYC.125798,9227410941599.0
1738776251.1716702,nrm.extra.perf.PAPI_RES_STL.125798,3414883549636.0
1738776251.1716702,nrm.extra.perf.PAPI_L3_TCM.125798,30996662062.0
1738776252.1712186,nrm.extra.perf.PAPI_L3_TCA.125798,34259737362.0
1738776252.1712186,nrm.extra.perf.PAPI_TOT_INS.125798,1329729993796.0
1738776252.1712186,nrm.extra.perf.PAPI_TOT_CYC.125798,9510100038179.0
1738776252.1712186,nrm.extra.perf.PAPI_RES_STL.125798,3561620846296.0
1738776252.1712186,nrm.extra.perf.PAPI_L3_TCM.125798,32344610506.0
1738776253.174144,nrm.extra.perf.PAPI_L3_TCA.125798,36258522378.0
1738776253.174144,nrm.extra.perf.PAPI_TOT_INS.125798,1370559994686.0
1738776253.174144,nrm.extra.perf.PAPI_TOT_CYC.125798,9796291167107.0
1738776253.174144,nrm.extra.perf.PAPI_RES_STL.125798,3769055319037.0
1738776253.174144,nrm.extra.perf.PAPI_L3_TCM.125798,34237505605.0
1738776254.1721869,nrm.extra.perf.PAPI_L3_TCA.125798,38724889684.0
1738776254.1721869,nrm.extra.perf.PAPI_TOT_INS.125798,1411887234749.0
1738776254.1721869,nrm.extra.perf.PAPI_TOT_CYC.125798,10082888231946.0
1738776254.1721869,nrm.extra.perf.PAPI_RES_STL.125798,4023285635154.0
1738776254.1721869,nrm.extra.perf.PAPI_L3_TCM.125798,36553652431.0
1738776255.17436,nrm.extra.perf.PAPI_L3_TCA.125798,41013840431.0
1738776255.17436,nrm.extra.perf.PAPI_TOT_INS.125798,1453153985940.0
1738776255.17436,nrm.extra.perf.PAPI_TOT_CYC.125798,10370953189157.0
1738776255.17436,nrm.extra.perf.PAPI_RES_STL.125798,4260889914603.0
1738776255.17436,nrm.extra.perf.PAPI_L3_TCM.125798,38715196427.0
1738776256.1739616,nrm.extra.perf.PAPI_L3_TCA.125798,43159716416.0
1738776256.1739616,nrm.extra.perf.PAPI_TOT_INS.125798,1494095378841.0
1738776256.1739616,nrm.extra.perf.PAPI_TOT_CYC.125798,10657173450467.0
1738776256.1739616,nrm.extra.perf.PAPI_RES_STL.125798,4482996801526.0
1738776256.1739616,nrm.extra.perf.PAPI_L3_TCM.125798,40735446969.0
1738776257.1712291,nrm.extra.perf.PAPI_L3_TCA.125798,44453195988.0
1738776257.1712291,nrm.extra.perf.PAPI_TOT_INS.125798,1533768048849.0
1738776257.1712291,nrm.extra.perf.PAPI_TOT_CYC.125798,10937644902876.0
1738776257.1712291,nrm.extra.perf.PAPI_RES_STL.125798,4615231647244.0
1738776257.1712291,nrm.extra.perf.PAPI_L3_TCM.125798,41956275335.0
1738776258.1750925,nrm.extra.perf.PAPI_L3_TCA.125798,46713374875.0
