time,actuator,value
1738776972.403171,Actuator(ptr=c_void_p(94282427277200)),78.0
1738776977.4216146,Actuator(ptr=c_void_p(94282427277200)),78.0
1738776982.4435806,Actuator(ptr=c_void_p(94282427277200)),78.0
1738776987.4665413,Actuator(ptr=c_void_p(94282427277200)),78.0
1738776992.4870906,Actuator(ptr=c_void_p(94282427277200)),78.0
1738776997.5129278,Actuator(ptr=c_void_p(94282427277200)),78.0
1738777002.5366077,Actuator(ptr=c_void_p(94282427277200)),78.0
1738777007.5583417,Actuator(ptr=c_void_p(94282427277200)),78.0
1738777012.580137,Actuator(ptr=c_void_p(94282427277200)),78.0
1738777017.6013896,Actuator(ptr=c_void_p(94282427277200)),78.0
