time,scope,value
1746096816.9719267,0,61.73127911729513
1746096816.9719267,1,101.50631410416898
1746096817.971208,0,143.43779040142272
1746096817.971208,1,145.47687694621533
1746096818.9711926,0,160.0223677530927
1746096818.9711926,1,161.74976452875018
1746096819.9712024,0,158.67769991501464
1746096819.9712024,1,152.66823156290616
1746096820.971199,0,142.39834942285827
1746096820.971199,1,149.54163724728565
1746096821.9711955,0,147.09789097552436
1746096821.9711955,1,148.0725324461736
1746096822.9711926,0,146.21065265611836
1746096822.9711926,1,145.00170791773078
1746096823.9711974,0,147.38405635331515
1746096823.9711974,1,143.756248601346
1746096824.9711971,0,142.36956188204366
1746096824.9711971,1,145.31953439238112
1746096825.9716713,0,150.3403241956975
1746096825.9716713,1,145.381363901989
1746096826.9711964,0,95.18325710010392
1746096826.9711964,1,140.60864621788153
1746096827.971197,0,147.62724434538126
1746096827.971197,1,143.5548106287558
1746096828.9711926,0,144.5508288454467
1746096828.9711926,1,141.9181382517105
1746096829.9711988,0,144.1754314598147
1746096829.9711988,1,142.32777094933826
1746096830.9711957,0,77.52874839526675
1746096830.9711957,1,143.75101712796368
1746096831.9711936,0,142.13303751112642
1746096831.9711936,1,141.03321943383241
1746096832.9711952,0,144.86739692951878
1746096832.9711952,1,143.45326901149687
1746096833.9711835,0,142.80883941497558
1746096833.9711835,1,141.7677022919327
1746096834.9711936,0,140.66309486052478
1746096834.9711936,1,143.40968720946145
1746096835.9711897,0,145.3710979235116
1746096835.9711897,1,146.31940004374175
1746096836.9712057,0,144.892450843686
1746096836.9712057,1,146.2519632544408
1746096837.9712007,0,142.3353228655617
1746096837.9712007,1,142.44026133296583
1746096838.9711905,0,142.98724181112294
1746096838.9711905,1,143.61385602784677
1746096839.9711957,0,139.82942465434004
1746096839.9711957,1,144.03043001046663
1746096840.9711933,0,142.0516384059556
1746096840.9711933,1,147.12157200062666
1746096841.9711366,0,147.90133359777997
1746096841.9711366,1,140.59807215781117
1746096842.9711897,0,146.86334148767995
1746096842.9711897,1,149.92779838347752
1746096843.9711952,0,144.80291079716244
1746096843.9711952,1,143.99792332607714
1746096844.9711833,0,144.52209397408376
1746096844.9711833,1,150.2601976857683
1746096845.9711936,0,140.76240302923574
1746096845.9711936,1,149.23998238457528
1746096846.9712753,0,140.6569295346193
1746096846.9712753,1,141.72703972659926
1746096847.9711943,0,144.6544303936059
1746096847.9711943,1,148.48142085252337
1746096848.9711838,0,146.81050359024994
1746096848.9711838,1,141.24059504382245
1746096849.9711943,0,141.80574706797992
1746096849.9711943,1,148.2958286777916
1746096850.971193,0,144.65360561652258
1746096850.971193,1,143.4108352950666
1746096851.9711943,0,147.4410233764476
1746096851.9711943,1,144.96414871390766
1746096852.9711902,0,144.05320763276993
1746096852.9711902,1,145.1111609236611
1746096853.9711895,0,144.21706535575623
1746096853.9711895,1,143.2253951479725
1746096854.9711933,0,142.2092144978714
1746096854.9711933,1,139.82339297200383
1746096855.971195,0,144.09729736922924
1746096855.971195,1,141.2804741606844
1746096856.9711955,0,147.76529188889208
1746096856.9711955,1,138.24045065311154
1746096857.9711945,0,141.49378278834104
1746096857.9711945,1,140.97934367259103
1746096858.9711916,0,141.32637628504693
1746096858.9711916,1,141.07576523540584
1746096859.9711928,0,147.06982796614216
1746096859.9711928,1,145.9233239964976
1746096860.9711928,0,140.45419441779734
1746096860.9711928,1,143.29273506650438
1746096861.9711936,0,146.62614716720364
1746096861.9711936,1,144.55833561555846
1746096862.971184,0,141.62775569766364
1746096862.971184,1,141.31120974252687
1746096863.9711936,0,142.75972937434034
1746096863.9711936,1,142.70595272260002
1746096864.9712396,0,141.9784005436497
1746096864.9712396,1,143.5847870482765
1746096865.971192,0,138.56768419742625
1746096865.971192,1,141.20977775408235
1746096866.9711914,0,139.44048613755473
1746096866.9711914,1,142.97248564673276
1746096867.9711921,0,143.29134375168616
1746096867.9711921,1,141.61989146119646
1746096868.9711232,0,141.53999113427662
1746096868.9711232,1,149.97288742206126
1746096869.9711955,0,142.9743628174861
1746096869.9711955,1,143.7215884708112
1746096870.971199,0,140.5022567817206
1746096870.971199,1,147.245951741628
1746096871.9711952,0,150.48573174999004
1746096871.9711952,1,142.22602566371376
1746096872.971192,0,140.29917642727074
1746096872.971192,1,142.45212219259807
1746096873.971193,0,144.35805773394506
1746096873.971193,1,142.44429063337904
1746096874.971197,0,142.1120280954476
1746096874.971197,1,139.2235882666323
1746096875.9711933,0,150.4426877357423
1746096875.9711933,1,143.9636252902268
1746096876.9711964,0,138.808872067535
1746096876.9711964,1,144.7560594905147
1746096877.9711964,0,148.08929481143247
1746096877.9711964,1,141.26458577047103
1746096878.9711962,0,142.81220146736715
1746096878.9711962,1,145.1119747551718
1746096879.9711964,0,144.5929884366487
1746096879.9711964,1,144.8645882352473
1746096880.971194,0,140.56001652019688
1746096880.971194,1,144.38092872928686
1746096881.9711955,0,146.28114473134528
1746096881.9711955,1,144.17226481924175
1746096882.9711955,0,140.18125004629235
1746096882.9711955,1,148.47503210159363
1746096883.9711993,0,145.28832574629345
1746096883.9711993,1,139.20582526969454
1746096884.9711962,0,142.41451273520715
1746096884.9711962,1,142.74633965998584
1746096885.9711988,0,150.36663276377666
1746096885.9711988,1,145.28916358611315
