time,value
1746108791.0446417,1.0
1746108791.113373,1.0
1746108791.1826937,1.0
1746108791.2520533,1.0
1746108791.326213,1.0
1746108791.4152095,1.0
1746108791.4844677,1.0
1746108791.5541856,1.0
1746108791.6232164,1.0
1746108791.7030745,1.0
1746108791.7849457,1.0
1746108791.8664238,1.0
1746108791.9512904,1.0
1746108792.0376713,1.0
1746108792.1192076,1.0
1746108792.1994338,1.0
1746108792.2796893,1.0
1746108792.3597374,1.0
1746108792.4432197,1.0
1746108792.5236063,1.0
1746108792.603812,1.0
1746108792.687201,1.0
1746108792.7673728,1.0
1746108792.8476686,1.0
1746108792.92809,1.0
1746108793.0149698,1.0
1746108793.094723,1.0
1746108793.175072,1.0
1746108793.2553988,1.0
1746108793.3356462,1.0
1746108793.415732,1.0
1746108793.4959383,1.0
1746108793.5792234,1.0
1746108793.6593199,1.0
1746108793.7391953,1.0
1746108793.8192809,1.0
1746108793.8995843,1.0
1746108793.9848843,1.0
1746108794.066133,1.0
1746108794.1460288,1.0
1746108794.2259233,1.0
1746108794.3060057,1.0
1746108794.3861063,1.0
1746108794.4663055,1.0
1746108794.5462923,1.0
1746108794.626265,1.0
1746108794.7062662,1.0
1746108794.7872136,1.0
1746108794.8669772,1.0
1746108794.946799,1.0
1746108795.0318625,1.0
1746108795.1114192,1.0
1746108795.191243,1.0
1746108795.2712073,1.0
1746108795.3510342,1.0
1746108795.4309788,1.0
1746108795.5107024,1.0
1746108795.5905724,1.0
1746108795.670263,1.0
1746108795.7502904,1.0
1746108795.8301768,1.0
1746108795.9100592,1.0
1746108795.9898746,1.0
1746108796.071166,1.0
1746108796.1509058,1.0
1746108796.2308621,1.0
1746108796.3108237,1.0
1746108796.3908708,1.0
1746108796.4705417,1.0
1746108796.5502684,1.0
1746108796.6301572,1.0
1746108796.7100163,1.0
1746108796.7899344,1.0
1746108796.8698554,1.0
1746108796.9497762,1.0
1746108797.0599146,1.0
1746108797.1356926,1.0
1746108797.2160885,1.0
1746108797.296065,1.0
1746108797.375694,1.0
1746108797.455322,1.0
1746108797.5350904,1.0
1746108797.6146653,1.0
1746108797.6948073,1.0
1746108797.7744818,1.0
1746108797.8541265,1.0
1746108797.933817,1.0
1746108798.01726,1.0
1746108798.0971153,1.0
1746108798.176752,1.0
1746108798.256238,1.0
1746108798.335889,1.0
1746108798.4154608,1.0
1746108798.4951768,1.0
1746108798.5747108,1.0
1746108798.6542456,1.0
1746108798.7336626,1.0
1746108798.8133314,1.0
1746108798.8928146,1.0
1746108798.9727774,1.0
1746108799.0549536,1.0
1746108799.1342733,1.0
1746108799.2151465,1.0
1746108799.294699,1.0
1746108799.3742974,1.0
1746108799.4538813,1.0
1746108799.5336115,1.0
1746108799.6130283,1.0
1746108799.6927066,1.0
1746108799.772303,1.0
1746108799.8516638,1.0
1746108799.9314775,1.0
1746108800.0184152,1.0
1746108800.1427443,1.0
1746108800.2590835,1.0
1746108800.3327534,1.0
1746108800.4139948,1.0
1746108800.4944153,1.0
1746108800.5745173,1.0
1746108800.6549435,1.0
1746108800.7348728,1.0
1746108800.8147314,1.0
1746108800.8948092,1.0
1746108800.9751837,1.0
1746108801.0749145,1.0
1746108801.1552043,1.0
1746108801.2355032,1.0
1746108801.315373,1.0
1746108801.395201,1.0
1746108801.4746888,1.0
1746108801.5541832,1.0
1746108801.633667,1.0
1746108801.7130737,1.0
1746108801.7926362,1.0
1746108801.8744476,1.0
1746108801.9547682,1.0
1746108802.0427692,1.0
1746108802.1211658,1.0
1746108802.2010713,1.0
1746108802.2807846,1.0
1746108802.3632078,1.0
1746108802.4427667,1.0
1746108802.523169,1.0
1746108802.6036549,1.0
1746108802.683212,1.0
1746108802.7636418,1.0
1746108802.843614,1.0
1746108802.927202,1.0
1746108803.011883,1.0
1746108803.0914865,1.0
1746108803.1712294,1.0
1746108803.251173,1.0
1746108803.331116,1.0
1746108803.410995,1.0
1746108803.4909348,1.0
1746108803.5710104,1.0
1746108803.650976,1.0
1746108803.730397,1.0
1746108803.8100328,1.0
1746108803.8911948,1.0
1746108803.9706337,1.0
1746108804.055967,1.0
1746108804.1348174,1.0
1746108804.2146318,1.0
1746108804.2941594,1.0
1746108804.3752313,1.0
1746108804.4546509,1.0
1746108804.534148,1.0
1746108804.6137047,1.0
1746108804.6954598,1.0
1746108804.7749527,1.0
1746108804.8546069,1.0
1746108804.93443,1.0
1746108805.0184746,1.0
1746108805.0975127,1.0
1746108805.177312,1.0
1746108805.2568798,1.0
1746108805.33668,1.0
1746108805.4161294,1.0
1746108805.4956167,1.0
1746108805.5752487,1.0
1746108805.654686,1.0
1746108805.7341723,1.0
1746108805.813532,1.0
1746108805.8931093,1.0
1746108805.9727788,1.0
1746108806.0532024,1.0
1746108806.1327207,1.0
1746108806.2123258,1.0
1746108806.2916868,1.0
1746108806.371271,1.0
1746108806.4519813,1.0
1746108806.5312352,1.0
1746108806.6108334,1.0
1746108806.6903892,1.0
1746108806.76964,1.0
1746108806.8493192,1.0
1746108806.9295034,1.0
1746108807.0122385,1.0
1746108807.0911787,1.0
1746108807.1718512,1.0
1746108807.2508152,1.0
1746108807.3337252,1.0
1746108807.4127967,1.0
1746108807.492041,1.0
1746108807.571485,1.0
1746108807.6507564,1.0
1746108807.7302735,1.0
1746108807.8095784,1.0
1746108807.8888679,1.0
1746108807.968068,1.0
1746108808.0488203,1.0
1746108808.1280067,1.0
1746108808.2070997,1.0
1746108808.286359,1.0
1746108808.3656454,1.0
1746108808.4451385,1.0
1746108808.526874,1.0
1746108808.6062288,1.0
1746108808.6858935,1.0
1746108808.7655067,1.0
1746108808.8448906,1.0
1746108808.9250565,1.0
1746108809.004625,1.0
1746108809.0848129,1.0
1746108809.1652668,1.0
1746108809.244745,1.0
1746108809.3243077,1.0
1746108809.4094427,1.0
1746108809.509296,1.0
1746108809.586808,1.0
1746108809.6663716,1.0
1746108809.745988,1.0
1746108809.8257334,1.0
1746108809.9072046,1.0
1746108809.9865925,1.0
1746108810.0666592,1.0
1746108810.1457915,1.0
1746108810.2253556,1.0
1746108810.3047113,1.0
1746108810.3840656,1.0
1746108810.4635127,1.0
1746108810.542832,1.0
1746108810.6221273,1.0
1746108810.7014997,1.0
1746108810.7810476,1.0
1746108810.860607,1.0
1746108810.9401267,1.0
1746108811.0196342,1.0
1746108811.0987852,1.0
1746108811.1791062,1.0
1746108811.258361,1.0
1746108811.337707,1.0
1746108811.4172513,1.0
1746108811.4969172,1.0
1746108811.576271,1.0
1746108811.6557379,1.0
1746108811.7352192,1.0
1746108811.814615,1.0
1746108811.894078,1.0
1746108811.9736776,1.0
1746108812.0532947,1.0
1746108812.132802,1.0
1746108812.2123344,1.0
1746108812.2918856,1.0
1746108812.3713195,1.0
1746108812.4509327,1.0
1746108812.530616,1.0
1746108812.6101933,1.0
1746108812.690035,1.0
1746108812.771229,1.0
1746108812.8508139,1.0
1746108812.930805,1.0
1746108813.0152194,1.0
1746108813.0972452,1.0
1746108813.1808217,1.0
1746108813.2604241,1.0
1746108813.3432183,1.0
1746108813.4226673,1.0
1746108813.5022094,1.0
1746108813.581771,1.0
1746108813.6612782,1.0
1746108813.7409825,1.0
1746108813.8207083,1.0
1746108813.900417,1.0
1746108813.981043,1.0
1746108814.0607083,1.0
1746108814.140092,1.0
1746108814.2194312,1.0
1746108814.298758,1.0
1746108814.3779743,1.0
1746108814.4573922,1.0
1746108814.5367694,1.0
1746108814.616225,1.0
1746108814.6955683,1.0
1746108814.7747018,1.0
1746108814.8541286,1.0
1746108814.9336138,1.0
1746108815.014335,1.0
1746108815.093442,1.0
1746108815.172916,1.0
1746108815.252126,1.0
1746108815.3313558,1.0
1746108815.4107008,1.0
1746108815.4898176,1.0
1746108815.5712118,1.0
1746108815.6503317,1.0
1746108815.7297375,1.0
1746108815.8089116,1.0
1746108815.8912017,1.0
1746108815.970646,1.0
1746108816.0529497,1.0
1746108816.132292,1.0
1746108816.2116985,1.0
1746108816.2911813,1.0
1746108816.370477,1.0
