time,scope,value
1746109309.9711955,0,208671.72259521484
1746109309.9711955,1,208671.83404541016
1746109310.9711916,0,208800.28826904297
1746109310.9711916,1,208800.3540649414
1746109311.9711928,0,208906.82208251953
1746109311.9711928,1,208906.97729492188
1746109312.9711847,0,209013.53021240234
1746109312.9711847,1,209013.63311767578
1746109313.9711928,0,209120.19775390625
1746109313.9711928,1,209120.44970703125
1746109314.9711914,0,209226.96423339844
1746109314.9711914,1,209227.06121826172
1746109315.971194,0,209333.61529541016
1746109315.971194,1,209333.79571533203
1746109316.9715056,0,209440.271484375
1746109316.9715056,1,209440.56408691406
1746109317.9712596,0,209546.974609375
1746109317.9712596,1,209547.0591430664
1746109318.971654,0,209653.7989501953
1746109318.971654,1,209653.8966064453
1746109319.9711893,0,209760.3765258789
1746109319.9711893,1,209760.48181152344
1746109320.9711714,0,209867.01373291016
1746109320.9711714,1,209867.25787353516
1746109321.9711962,0,209973.77435302734
1746109321.9711962,1,209973.92138671875
1746109322.9711962,0,210080.42932128906
1746109322.9711962,1,210080.60760498047
1746109323.971194,0,210187.12426757812
1746109323.971194,1,210187.20989990234
1746109324.9711883,0,210293.77911376953
1746109324.9711883,1,210293.91204833984
1746109325.9711874,0,210400.49774169922
1746109325.9711874,1,210400.58911132812
1746109326.9711933,0,210507.2469482422
1746109326.9711933,1,210507.34423828125
1746109327.9711921,0,210613.79522705078
1746109327.9711921,1,210614.0635986328
1746109328.9711933,0,210720.57250976562
1746109328.9711933,1,210720.74487304688
1746109329.9711921,0,210827.33209228516
1746109329.9711921,1,210827.41802978516
1746109330.9711921,0,210934.04193115234
1746109330.9711921,1,210934.12420654297
1746109331.9716327,0,211040.76135253906
1746109331.9716327,1,211040.86138916016
1746109332.971194,0,211147.3285522461
1746109332.971194,1,211147.56256103516
1746109333.9712555,0,211254.0010986328
1746109333.9712555,1,211254.109375
1746109334.9711852,0,211360.69549560547
1746109334.9711852,1,211360.8695678711
1746109335.9711902,0,211467.4447631836
1746109335.9711902,1,211467.5294189453
1746109336.9711845,0,211574.0977783203
1746109336.9711845,1,211574.26165771484
1746109337.971184,0,211680.83892822266
1746109337.971184,1,211680.9288330078
1746109338.9711878,0,211787.4995727539
1746109338.9711878,1,211787.61163330078
1746109339.9711273,0,211894.16619873047
1746109339.9711273,1,211894.2589111328
1746109340.971186,0,212000.84423828125
1746109340.971186,1,212000.94360351562
1746109341.97119,0,212107.66986083984
1746109341.97119,1,212107.75732421875
1746109342.9711072,0,212213.13983154297
1746109342.9711072,1,212213.3837890625
1746109343.9711907,0,212320.94525146484
1746109343.9711907,1,212321.17205810547
1746109344.9711857,0,212427.64288330078
1746109344.9711857,1,212427.79620361328
1746109345.971184,0,212534.33135986328
1746109345.971184,1,212534.44555664062
1746109346.9711878,0,212641.07110595703
1746109346.9711878,1,212641.15112304688
1746109347.9711397,0,212747.67669677734
1746109347.9711397,1,212747.84057617188
1746109348.9711978,0,212854.38903808594
1746109348.9711978,1,212854.5704345703
1746109349.9711902,0,212961.11181640625
1746109349.9711902,1,212961.19134521484
1746109350.9713242,0,213067.8900756836
1746109350.9713242,1,213067.8900756836
1746109351.9711924,0,213174.55474853516
1746109351.9711924,1,213174.62335205078
1746109352.9711819,0,213281.12927246094
1746109352.9711819,1,213281.3106689453
1746109353.9711835,0,213387.83239746094
1746109353.9711835,1,213388.0050048828
1746109354.9706368,0,213494.51953125
1746109354.9706368,1,213494.60192871094
1746109355.971334,0,213601.34216308594
1746109355.971334,1,213601.4165649414
1746109356.9711902,0,213707.95544433594
1746109356.9711902,1,213708.04095458984
1746109357.9711874,0,213814.68951416016
1746109357.9711874,1,213814.77209472656
1746109358.9711888,0,213921.26959228516
1746109358.9711888,1,213921.4473876953
1746109359.9711819,0,214027.9253540039
1746109359.9711819,1,214028.2322998047
1746109360.9711869,0,214134.6884765625
1746109360.9711869,1,214134.88458251953
1746109361.9711833,0,214241.3461303711
1746109361.9711833,1,214241.4839477539
1746109362.9711971,0,214348.1441040039
1746109362.9711971,1,214348.24084472656
1746109363.9711914,0,214454.7706298828
1746109363.9711914,1,214454.9326171875
1746109364.9711826,0,214561.42254638672
1746109364.9711826,1,214561.51177978516
1746109365.9711475,0,214667.25659179688
1746109365.9711475,1,214667.33203125
1746109366.9718957,0,214774.9819946289
1746109366.9718957,1,214775.07403564453
1746109367.9711847,0,214880.6704711914
1746109367.9711847,1,214880.8631591797
1746109368.9711902,0,214988.2066040039
1746109368.9711902,1,214988.30407714844
1746109369.9711943,0,215094.8387451172
1746109369.9711943,1,215095.14727783203
1746109370.9711854,0,215201.56512451172
1746109370.9711854,1,215201.65106201172
1746109371.9713724,0,215308.39422607422
1746109371.9713724,1,215308.49182128906
1746109372.9711866,0,215415.0076904297
1746109372.9711866,1,215415.1050415039
1746109373.9716794,0,215521.67669677734
1746109373.9716794,1,215521.92010498047
1746109374.9719436,0,215628.3715209961
1746109374.9719436,1,215628.64422607422
1746109375.9711862,0,215735.0015258789
1746109375.9711862,1,215735.25982666016
1746109376.9711752,0,215841.65606689453
1746109376.9711752,1,215841.94940185547
1746109377.9711838,0,215948.41119384766
1746109377.9711838,1,215948.67053222656
1746109378.971183,0,216055.0946044922
1746109378.971183,1,216055.3536376953
1746109379.9711976,0,216162.31024169922
1746109379.9711976,1,216162.4285888672
1746109380.9711866,0,216268.5352783203
1746109380.9711866,1,216268.6431274414
1746109381.9711962,0,216375.21032714844
1746109381.9711962,1,216375.37396240234
1746109382.9711866,0,216481.78100585938
1746109382.9711866,1,216481.9129638672
1746109383.9711897,0,216588.5936279297
1746109383.9711897,1,216588.67462158203
1746109384.9711916,0,216695.19665527344
1746109384.9711916,1,216695.48236083984
1746109385.9711866,0,216801.91241455078
1746109385.9711866,1,216802.01684570312
1746109386.9711928,0,216908.58203125
1746109386.9711928,1,216908.85705566406
1746109387.971277,0,217015.31713867188
1746109387.971277,1,217015.41625976562
