time,value
1746090452.109113,1.0
1746090452.2270427,1.0
1746090452.3742518,1.0
1746090452.4942648,1.0
1746090452.6132278,1.0
1746090452.731024,1.0
1746090452.8491557,1.0
1746090452.9998636,1.0
1746090453.1190777,1.0
1746090453.2536087,1.0
1746090453.369816,1.0
1746090453.485999,1.0
1746090453.6067894,1.0
1746090453.7229326,1.0
1746090453.8394961,1.0
1746090453.9577842,1.0
1746090454.0787992,1.0
1746090454.1946568,1.0
1746090454.3107646,1.0
1746090454.427592,1.0
1746090454.5439572,1.0
1746090454.6601572,1.0
1746090454.7760594,1.0
1746090454.8942747,1.0
1746090455.0133,1.0
1746090455.1293716,1.0
1746090455.2452295,1.0
1746090455.3618495,1.0
1746090455.4779465,1.0
1746090455.5944753,1.0
1746090455.7104561,1.0
1746090455.8443065,1.0
1746090455.9611607,1.0
1746090456.0799088,1.0
1746090456.1967232,1.0
1746090456.312361,1.0
1746090456.4281323,1.0
1746090456.5436149,1.0
1746090456.6596112,1.0
1746090456.7756195,1.0
1746090456.8917358,1.0
1746090457.0097258,1.0
1746090457.1266549,1.0
1746090457.242362,1.0
1746090457.3622735,1.0
1746090457.4779325,1.0
1746090457.5933793,1.0
1746090457.709131,1.0
1746090457.832462,1.0
1746090457.956492,1.0
1746090458.0753787,1.0
1746090458.1927338,1.0
1746090458.3133717,1.0
1746090458.4301012,1.0
1746090458.5465453,1.0
1746090458.6630828,1.0
1746090458.7805412,1.0
1746090458.8983204,1.0
1746090459.018598,1.0
1746090459.1351721,1.0
1746090459.2517676,1.0
1746090459.368428,1.0
1746090459.4846475,1.0
1746090459.600715,1.0
1746090459.71723,1.0
1746090459.8336134,1.0
1746090459.9508996,1.0
1746090460.0706198,1.0
1746090460.1875234,1.0
1746090460.3042057,1.0
1746090460.4204328,1.0
1746090460.5368428,1.0
1746090460.6533413,1.0
1746090460.790899,1.0
1746090460.9094448,1.0
1746090461.0290735,1.0
1746090461.146065,1.0
1746090461.2628303,1.0
1746090461.379512,1.0
1746090461.4959128,1.0
1746090461.612474,1.0
1746090461.728598,1.0
1746090461.845636,1.0
1746090461.963401,1.0
1746090462.0832138,1.0
1746090462.2001421,1.0
1746090462.3167453,1.0
1746090462.435054,1.0
1746090462.5514302,1.0
1746090462.6679351,1.0
1746090462.7846968,1.0
1746090462.9024723,1.0
1746090463.0261068,1.0
1746090463.1435213,1.0
1746090463.2602282,1.0
1746090463.377101,1.0
1746090463.4935021,1.0
1746090463.6095822,1.0
1746090463.7263267,1.0
1746090463.8428593,1.0
1746090463.960618,1.0
1746090464.0803015,1.0
1746090464.1975882,1.0
1746090464.3145175,1.0
1746090464.431325,1.0
1746090464.5482752,1.0
1746090464.6644108,1.0
1746090464.7983866,1.0
1746090464.9160032,1.0
1746090465.0360167,1.0
1746090465.152812,1.0
1746090465.2738857,1.0
1746090465.3903441,1.0
1746090465.5067437,1.0
1746090465.6236198,1.0
1746090465.740459,1.0
1746090465.8571565,1.0
1746090465.9759357,1.0
1746090466.095013,1.0
1746090466.212157,1.0
1746090466.328965,1.0
1746090466.445642,1.0
1746090466.5624895,1.0
1746090466.6797845,1.0
1746090466.796615,1.0
1746090466.9135923,1.0
1746090467.033038,1.0
1746090467.1499648,1.0
1746090467.266314,1.0
1746090467.3859165,1.0
1746090467.502688,1.0
1746090467.6196022,1.0
1746090467.736339,1.0
1746090467.8533294,1.0
1746090467.971058,1.0
1746090468.0912116,1.0
1746090468.2079923,1.0
1746090468.3248649,1.0
1746090468.4421616,1.0
1746090468.5587213,1.0
1746090468.675447,1.0
1746090468.8150487,1.0
1746090468.9349475,1.0
1746090469.0565014,1.0
1746090469.1749985,1.0
1746090469.2935495,1.0
1746090469.4123821,1.0
1746090469.5309045,1.0
1746090469.649683,1.0
1746090469.7679412,1.0
1746090469.8877385,1.0
1746090470.0089624,1.0
1746090470.1289175,1.0
1746090470.2479231,1.0
1746090470.3667786,1.0
1746090470.4862773,1.0
1746090470.6049936,1.0
1746090470.7240157,1.0
1746090470.8430257,1.0
1746090470.9628515,1.0
1746090471.0855188,1.0
1746090471.2035928,1.0
1746090471.3222501,1.0
1746090471.4409907,1.0
1746090471.5592256,1.0
1746090471.67812,1.0
1746090471.7977269,1.0
1746090471.916981,1.0
1746090472.0404794,1.0
1746090472.1593359,1.0
1746090472.2778785,1.0
1746090472.3989618,1.0
1746090472.5174227,1.0
1746090472.6361227,1.0
1746090472.7548912,1.0
1746090472.874824,1.0
1746090473.0006368,1.0
1746090473.1204336,1.0
1746090473.2389615,1.0
1746090473.357475,1.0
1746090473.476388,1.0
1746090473.5944812,1.0
1746090473.7131612,1.0
1746090473.8316014,1.0
1746090473.9515002,1.0
1746090474.0722182,1.0
1746090474.1906962,1.0
1746090474.3103168,1.0
1746090474.4290867,1.0
