time,scope,value
1746095095.5501075,nrm.extra.perf.PAPI_L3_TCA.203578,1351864521.0
1746095095.5501075,nrm.extra.perf.PAPI_TOT_INS.203578,140309948189.0
1746095095.5501075,nrm.extra.perf.PAPI_TOT_CYC.203578,285424995058.0
1746095095.5501075,nrm.extra.perf.PAPI_RES_STL.203578,189326120662.0
1746095095.5501075,nrm.extra.perf.PAPI_L3_TCM.203578,1159579016.0
1746095096.5495734,nrm.extra.perf.PAPI_L3_TCA.203578,2771215150.0
1746095096.5495734,nrm.extra.perf.PAPI_TOT_INS.203578,272219772855.0
1746095096.5495734,nrm.extra.perf.PAPI_TOT_CYC.203578,535704345860.0
1746095096.5495734,nrm.extra.perf.PAPI_RES_STL.203578,356649508010.0
1746095096.5495734,nrm.extra.perf.PAPI_L3_TCM.203578,2374195613.0
1746095097.5500379,nrm.extra.perf.PAPI_L3_TCA.203578,4247697883.0
1746095097.5500379,nrm.extra.perf.PAPI_TOT_INS.203578,409300351655.0
1746095097.5500379,nrm.extra.perf.PAPI_TOT_CYC.203578,793212920064.0
1746095097.5500379,nrm.extra.perf.PAPI_RES_STL.203578,530710624559.0
1746095097.5500379,nrm.extra.perf.PAPI_L3_TCM.203578,3638233367.0
1746095098.550614,nrm.extra.perf.PAPI_L3_TCA.203578,5733289453.0
1746095098.550614,nrm.extra.perf.PAPI_TOT_INS.203578,546963037635.0
1746095098.550614,nrm.extra.perf.PAPI_TOT_CYC.203578,1051266965328.0
1746095098.550614,nrm.extra.perf.PAPI_RES_STL.203578,706514924715.0
1746095098.550614,nrm.extra.perf.PAPI_L3_TCM.203578,4910062156.0
1746095099.5500183,nrm.extra.perf.PAPI_L3_TCA.203578,7220353227.0
1746095099.5500183,nrm.extra.perf.PAPI_TOT_INS.203578,684808399387.0
1746095099.5500183,nrm.extra.perf.PAPI_TOT_CYC.203578,1309023679867.0
1746095099.5500183,nrm.extra.perf.PAPI_RES_STL.203578,881514189273.0
1746095099.5500183,nrm.extra.perf.PAPI_L3_TCM.203578,6182530697.0
1746095100.550676,nrm.extra.perf.PAPI_L3_TCA.203578,8700008393.0
1746095100.550676,nrm.extra.perf.PAPI_TOT_INS.203578,822107243269.0
1746095100.550676,nrm.extra.perf.PAPI_TOT_CYC.203578,1567162844023.0
1746095100.550676,nrm.extra.perf.PAPI_RES_STL.203578,1056461904699.0
1746095100.550676,nrm.extra.perf.PAPI_L3_TCM.203578,7449623371.0
1746095101.5502975,nrm.extra.perf.PAPI_L3_TCA.203578,10160514830.0
1746095101.5502975,nrm.extra.perf.PAPI_TOT_INS.203578,957642996048.0
1746095101.5502975,nrm.extra.perf.PAPI_TOT_CYC.203578,1822373074221.0
1746095101.5502975,nrm.extra.perf.PAPI_RES_STL.203578,1229299063137.0
1746095101.5502975,nrm.extra.perf.PAPI_L3_TCM.203578,8699751912.0
1746095102.5500052,nrm.extra.perf.PAPI_L3_TCA.203578,11648851070.0
1746095102.5500052,nrm.extra.perf.PAPI_TOT_INS.203578,1095540595217.0
1746095102.5500052,nrm.extra.perf.PAPI_TOT_CYC.203578,2080297747758.0
1746095102.5500052,nrm.extra.perf.PAPI_RES_STL.203578,1404949923026.0
1746095102.5500052,nrm.extra.perf.PAPI_L3_TCM.203578,9974936662.0
1746095103.5506077,nrm.extra.perf.PAPI_L3_TCA.203578,13098369766.0
1746095103.5506077,nrm.extra.perf.PAPI_TOT_INS.203578,1230441606363.0
1746095103.5506077,nrm.extra.perf.PAPI_TOT_CYC.203578,2336817853865.0
1746095103.5506077,nrm.extra.perf.PAPI_RES_STL.203578,1577248715872.0
1746095103.5506077,nrm.extra.perf.PAPI_L3_TCM.203578,11214938262.0
1746095104.5501978,nrm.extra.perf.PAPI_L3_TCA.203578,14586994811.0
1746095104.5501978,nrm.extra.perf.PAPI_TOT_INS.203578,1368372193981.0
1746095104.5501978,nrm.extra.perf.PAPI_TOT_CYC.203578,2594616113728.0
1746095104.5501978,nrm.extra.perf.PAPI_RES_STL.203578,1752633706674.0
1746095104.5501978,nrm.extra.perf.PAPI_L3_TCM.203578,12488825380.0
1746095105.5498517,nrm.extra.perf.PAPI_L3_TCA.203578,16065909068.0
1746095105.5498517,nrm.extra.perf.PAPI_TOT_INS.203578,1505565265450.0
1746095105.5498517,nrm.extra.perf.PAPI_TOT_CYC.203578,2851834688280.0
1746095105.5498517,nrm.extra.perf.PAPI_RES_STL.203578,1926745277795.0
1746095105.5498517,nrm.extra.perf.PAPI_L3_TCM.203578,13753593427.0
1746095106.5504668,nrm.extra.perf.PAPI_L3_TCA.203578,17559506138.0
1746095106.5504668,nrm.extra.perf.PAPI_TOT_INS.203578,1643871539058.0
1746095106.5504668,nrm.extra.perf.PAPI_TOT_CYC.203578,3109868421764.0
1746095106.5504668,nrm.extra.perf.PAPI_RES_STL.203578,2102604377760.0
1746095106.5504668,nrm.extra.perf.PAPI_L3_TCM.203578,15030805396.0
1746095107.5514584,nrm.extra.perf.PAPI_L3_TCA.203578,19047246033.0
1746095107.5514584,nrm.extra.perf.PAPI_TOT_INS.203578,1781769194256.0
1746095107.5514584,nrm.extra.perf.PAPI_TOT_CYC.203578,3368036230515.0
1746095107.5514584,nrm.extra.perf.PAPI_RES_STL.203578,2278566980746.0
1746095107.5514584,nrm.extra.perf.PAPI_L3_TCM.203578,16304669003.0
1746095108.5501304,nrm.extra.perf.PAPI_L3_TCA.203578,20535394229.0
1746095108.5501304,nrm.extra.perf.PAPI_TOT_INS.203578,1919643542683.0
1746095108.5501304,nrm.extra.perf.PAPI_TOT_CYC.203578,3625685499283.0
1746095108.5501304,nrm.extra.perf.PAPI_RES_STL.203578,2453357904825.0
1746095108.5501304,nrm.extra.perf.PAPI_L3_TCM.203578,17575195725.0
1746095109.5507152,nrm.extra.perf.PAPI_L3_TCA.203578,22021213950.0
1746095109.5507152,nrm.extra.perf.PAPI_TOT_INS.203578,2057387050800.0
1746095109.5507152,nrm.extra.perf.PAPI_TOT_CYC.203578,3883959696507.0
1746095109.5507152,nrm.extra.perf.PAPI_RES_STL.203578,2628914833210.0
1746095109.5507152,nrm.extra.perf.PAPI_L3_TCM.203578,18846708763.0
1746095110.5503745,nrm.extra.perf.PAPI_L3_TCA.203578,23472599157.0
1746095110.5503745,nrm.extra.perf.PAPI_TOT_INS.203578,2192092894405.0
1746095110.5503745,nrm.extra.perf.PAPI_TOT_CYC.203578,4137378531317.0
1746095110.5503745,nrm.extra.perf.PAPI_RES_STL.203578,2799551612250.0
1746095110.5503745,nrm.extra.perf.PAPI_L3_TCM.203578,20087152187.0
1746095111.5499797,nrm.extra.perf.PAPI_L3_TCA.203578,24948105442.0
1746095111.5499797,nrm.extra.perf.PAPI_TOT_INS.203578,2329354017513.0
1746095111.5499797,nrm.extra.perf.PAPI_TOT_CYC.203578,4395177161402.0
1746095111.5499797,nrm.extra.perf.PAPI_RES_STL.203578,2973402841311.0
1746095111.5499797,nrm.extra.perf.PAPI_L3_TCM.203578,21351576380.0
1746095112.5505648,nrm.extra.perf.PAPI_L3_TCA.203578,26424267387.0
1746095112.5505648,nrm.extra.perf.PAPI_TOT_INS.203578,2466676947121.0
1746095112.5505648,nrm.extra.perf.PAPI_TOT_CYC.203578,4653265267241.0
1746095112.5505648,nrm.extra.perf.PAPI_RES_STL.203578,3147530507485.0
1746095112.5505648,nrm.extra.perf.PAPI_L3_TCM.203578,22616653273.0
1746095113.550174,nrm.extra.perf.PAPI_L3_TCA.203578,27893088156.0
1746095113.550174,nrm.extra.perf.PAPI_TOT_INS.203578,2603523266368.0
1746095113.550174,nrm.extra.perf.PAPI_TOT_CYC.203578,4911035287036.0
1746095113.550174,nrm.extra.perf.PAPI_RES_STL.203578,3320011652099.0
1746095113.550174,nrm.extra.perf.PAPI_L3_TCM.203578,23874880527.0
1746095114.549627,nrm.extra.perf.PAPI_L3_TCA.203578,29336249707.0
1746095114.549627,nrm.extra.perf.PAPI_TOT_INS.203578,2738113087746.0
1746095114.549627,nrm.extra.perf.PAPI_TOT_CYC.203578,5166146640717.0
1746095114.549627,nrm.extra.perf.PAPI_RES_STL.203578,3490374153963.0
1746095114.549627,nrm.extra.perf.PAPI_L3_TCM.203578,25110729110.0
1746095115.5502434,nrm.extra.perf.PAPI_L3_TCA.203578,30806023304.0
1746095115.5502434,nrm.extra.perf.PAPI_TOT_INS.203578,2875148648662.0
1746095115.5502434,nrm.extra.perf.PAPI_TOT_CYC.203578,5423969965220.0
1746095115.5502434,nrm.extra.perf.PAPI_RES_STL.203578,3662457637221.0
1746095115.5502434,nrm.extra.perf.PAPI_L3_TCM.203578,26370547340.0
1746095116.550413,nrm.extra.perf.PAPI_L3_TCA.203578,32288689233.0
1746095116.550413,nrm.extra.perf.PAPI_TOT_INS.203578,3013018555972.0
1746095116.550413,nrm.extra.perf.PAPI_TOT_CYC.203578,5681992306842.0
1746095116.550413,nrm.extra.perf.PAPI_RES_STL.203578,3836363075396.0
1746095116.550413,nrm.extra.perf.PAPI_L3_TCM.203578,27640532361.0
1746095117.5500393,nrm.extra.perf.PAPI_L3_TCA.203578,33771418026.0
1746095117.5500393,nrm.extra.perf.PAPI_TOT_INS.203578,3150952919337.0
1746095117.5500393,nrm.extra.perf.PAPI_TOT_CYC.203578,5939762435752.0
1746095117.5500393,nrm.extra.perf.PAPI_RES_STL.203578,4009758974621.0
