time,scope,value
1746092876.0032048,nrm.extra.perf.PAPI_L3_TCA.199019,2291586132.0
1746092876.0032048,nrm.extra.perf.PAPI_TOT_INS.199019,39658365143.0
1746092876.0032048,nrm.extra.perf.PAPI_TOT_CYC.199019,270023850820.0
1746092876.0032048,nrm.extra.perf.PAPI_RES_STL.199019,231658601565.0
1746092876.0032048,nrm.extra.perf.PAPI_L3_TCM.199019,2132075589.0
1746092877.0047991,nrm.extra.perf.PAPI_L3_TCA.199019,4605407539.0
1746092877.0047991,nrm.extra.perf.PAPI_TOT_INS.199019,78537733788.0
1746092877.0047991,nrm.extra.perf.PAPI_TOT_CYC.199019,510210977840.0
1746092877.0047991,nrm.extra.perf.PAPI_RES_STL.199019,441564683919.0
1746092877.0047991,nrm.extra.perf.PAPI_L3_TCM.199019,4298435200.0
1746092878.005913,nrm.extra.perf.PAPI_L3_TCA.199019,6924640491.0
1746092878.005913,nrm.extra.perf.PAPI_TOT_INS.199019,117339834374.0
1746092878.005913,nrm.extra.perf.PAPI_TOT_CYC.199019,749897870552.0
1746092878.005913,nrm.extra.perf.PAPI_RES_STL.199019,651752913208.0
1746092878.005913,nrm.extra.perf.PAPI_L3_TCM.199019,6464186941.0
1746092879.0038083,nrm.extra.perf.PAPI_L3_TCA.199019,9265224617.0
1746092879.0038083,nrm.extra.perf.PAPI_TOT_INS.199019,156166664531.0
1746092879.0038083,nrm.extra.perf.PAPI_TOT_CYC.199019,989179431881.0
1746092879.0038083,nrm.extra.perf.PAPI_RES_STL.199019,863369293436.0
1746092879.0038083,nrm.extra.perf.PAPI_L3_TCM.199019,8641865343.0
1746092880.0054631,nrm.extra.perf.PAPI_L3_TCA.199019,11631155392.0
1746092880.0054631,nrm.extra.perf.PAPI_TOT_INS.199019,195361799567.0
1746092880.0054631,nrm.extra.perf.PAPI_TOT_CYC.199019,1231312698004.0
1746092880.0054631,nrm.extra.perf.PAPI_RES_STL.199019,1078549215730.0
1746092880.0054631,nrm.extra.perf.PAPI_L3_TCM.199019,10855003915.0
1746092881.0054865,nrm.extra.perf.PAPI_L3_TCA.199019,13988569132.0
1746092881.0054865,nrm.extra.perf.PAPI_TOT_INS.199019,234535225073.0
1746092881.0054865,nrm.extra.perf.PAPI_TOT_CYC.199019,1473417776877.0
1746092881.0054865,nrm.extra.perf.PAPI_RES_STL.199019,1292621149755.0
1746092881.0054865,nrm.extra.perf.PAPI_L3_TCM.199019,13056376343.0
1746092882.0052595,nrm.extra.perf.PAPI_L3_TCA.199019,16361191929.0
1746092882.0052595,nrm.extra.perf.PAPI_TOT_INS.199019,273742807807.0
1746092882.0052595,nrm.extra.perf.PAPI_TOT_CYC.199019,1715345161698.0
1746092882.0052595,nrm.extra.perf.PAPI_RES_STL.199019,1507907138187.0
1746092882.0052595,nrm.extra.perf.PAPI_L3_TCM.199019,15269974040.0
1746092883.004842,nrm.extra.perf.PAPI_L3_TCA.199019,18720714016.0
1746092883.004842,nrm.extra.perf.PAPI_TOT_INS.199019,312912177599.0
1746092883.004842,nrm.extra.perf.PAPI_TOT_CYC.199019,1957272168287.0
1746092883.004842,nrm.extra.perf.PAPI_RES_STL.199019,1722024909627.0
1746092883.004842,nrm.extra.perf.PAPI_L3_TCM.199019,17471618182.0
1746092884.0026598,nrm.extra.perf.PAPI_L3_TCA.199019,21062344462.0
1746092884.0026598,nrm.extra.perf.PAPI_TOT_INS.199019,351794883267.0
1746092884.0026598,nrm.extra.perf.PAPI_TOT_CYC.199019,2196748551973.0
1746092884.0026598,nrm.extra.perf.PAPI_RES_STL.199019,1933304063804.0
