time,value
1746102303.628773,2.0
1746102303.6387784,2.0
1746102303.6535013,3.0
1746102303.668149,3.0
1746102303.682743,3.0
1746102303.6973524,3.0
1746102303.7119424,3.0
1746102303.7264984,3.0
1746102303.741101,3.0
1746102303.7556539,3.0
1746102303.770405,3.0
1746102303.784996,3.0
1746102303.7995574,3.0
1746102303.814089,3.0
1746102303.828743,3.0
1746102303.8433084,3.0
1746102303.8578668,3.0
1746102303.8724742,3.0
1746102303.8870144,3.0
1746102303.9015799,3.0
1746102303.9161782,3.0
1746102303.9307003,3.0
1746102303.9453006,3.0
1746102303.9599063,3.0
1746102303.9755573,3.0
1746102303.9860883,2.0
1746102304.0005984,3.0
1746102304.015581,3.0
1746102304.03831,2.0
1746102304.0515842,1.0
1746102304.0647936,1.0
1746102304.0791092,2.0
1746102304.0938294,3.0
1746102304.1040125,2.0
1746102304.1187043,3.0
1746102304.1289666,2.0
1746102304.1436672,3.0
1746102304.1583788,3.0
1746102304.173146,3.0
1746102304.1878226,3.0
1746102304.2024965,3.0
1746102304.2171645,3.0
1746102304.2318413,3.0
1746102304.246497,3.0
1746102304.2611778,3.0
1746102304.2758706,3.0
1746102304.2905424,3.0
1746102304.305215,3.0
1746102304.3198974,3.0
1746102304.3345768,3.0
1746102304.3492513,3.0
1746102304.3639927,3.0
1746102304.378695,3.0
1746102304.39337,3.0
1746102304.408044,3.0
1746102304.422702,3.0
1746102304.4373994,3.0
1746102304.4520788,3.0
1746102304.4667628,3.0
1746102304.481577,3.0
1746102304.4917703,2.0
1746102304.5021133,2.0
1746102304.512589,2.0
1746102304.5229368,2.0
1746102304.533274,2.0
1746102304.54359,2.0
1746102304.5539203,2.0
1746102304.5642574,2.0
1746102304.575957,2.0
1746102304.592656,2.0
1746102304.605853,1.0
1746102304.6160862,2.0
1746102304.6263313,2.0
1746102304.636662,2.0
1746102304.6469724,2.0
1746102304.657327,2.0
1746102304.6677086,2.0
1746102304.678015,2.0
1746102304.6883376,2.0
1746102304.6986263,2.0
1746102304.7089355,2.0
1746102304.7192574,2.0
1746102304.7295687,2.0
1746102304.73986,2.0
1746102304.7501721,2.0
1746102304.7604315,2.0
1746102304.7707713,2.0
1746102304.7810812,2.0
1746102304.79139,2.0
1746102304.801676,2.0
1746102304.81199,2.0
1746102304.8222404,2.0
1746102304.8325524,2.0
1746102304.8428648,2.0
1746102304.8531759,2.0
1746102304.8634763,2.0
1746102304.87377,2.0
1746102304.8840458,2.0
1746102304.8943183,2.0
1746102304.904643,2.0
1746102304.914925,2.0
