time,scope,value
1746106063.9713018,0,150.90389716391462
1746106063.9713018,1,155.43461641639115
1746106064.971214,0,158.54149986933183
1746106064.971214,1,159.10209190257007
1746106065.9712195,0,158.88375694460004
1746106065.9712195,1,159.7152431345376
1746106066.9712217,0,159.3284457270827
1746106066.9712217,1,159.921718911033
1746106067.971291,0,158.30207616974346
1746106067.971291,1,159.77265071132547
1746106068.971263,0,158.87808893021372
1746106068.971263,1,160.53687430768795
1746106069.9712892,0,159.00904230894736
1746106069.9712892,1,158.26460913527038
1746106070.971301,0,160.36199567375962
1746106070.971301,1,160.93520832765233
1746106071.9712179,0,160.1910985343557
1746106071.9712179,1,159.2049259359334
1746106072.9711916,0,144.5127045350206
1746106072.9711916,1,145.94958988679767
1746106073.971188,0,153.3160363334575
1746106073.971188,1,157.65076331472372
1746106074.971277,0,159.91803827730865
1746106074.971277,1,159.07978981914474
1746106075.9713104,0,159.3249358202463
1746106075.9713104,1,160.1241329084328
1746106076.9713027,0,160.65577888151245
1746106076.9713027,1,160.82781160439416
1746106077.9713116,0,159.52872040313196
1746106077.9713116,1,160.14863790729694
1746106078.9712646,0,158.9534466059972
1746106078.9712646,1,159.24042292257158
1746106079.9712493,0,160.37515819534727
1746106079.9712493,1,160.64146072544963
1746106080.9712942,0,159.0940775307099
1746106080.9712942,1,159.4395003676012
1746106081.9712968,0,160.09354596898055
1746106081.9712968,1,161.21489013309827
1746106082.9712803,0,154.03110857824515
1746106082.9712803,1,146.60805521011352
1746106083.9712682,0,161.77480687842612
1746106083.9712682,1,161.78696481326622
1746106084.9712946,0,159.0668050990395
1746106084.9712946,1,160.73540600713608
1746106085.971307,0,157.7863960380868
1746106085.971307,1,159.58936553927543
1746106086.971239,0,160.05518298415336
1746106086.971239,1,158.9668843680814
1746106087.971268,0,159.13134639535508
1746106087.971268,1,160.4827330608154
1746106088.9712622,0,53.409094575245945
1746106088.9712622,1,52.7191036313099
