time,scope,value
1746111205.9712775,0,165902.9310913086
1746111205.9712775,1,165903.55889892578
1746111206.9712791,0,166047.5122680664
1746111206.9712791,1,166047.8934326172
1746111207.9712927,0,166177.07257080078
1746111207.9712927,1,166177.59399414062
1746111208.971274,0,166306.67510986328
1746111208.971274,1,166307.2071533203
1746111209.971279,0,166436.34704589844
1746111209.971279,1,166436.86950683594
1746111210.9712722,0,166566.05865478516
1746111210.9712722,1,166566.57446289062
1746111211.9712784,0,166695.6395263672
1746111211.9712784,1,166696.16595458984
1746111212.9712677,0,166825.1016845703
1746111212.9712677,1,166825.6328125
1746111213.9712787,0,166954.82049560547
1746111213.9712787,1,166955.20013427734
1746111214.971281,0,167084.56994628906
1746111214.971281,1,167085.0477294922
1746111215.9712749,0,167214.11126708984
1746111215.9712749,1,167214.6713256836
1746111216.9712775,0,167343.9536743164
1746111216.9712775,1,167344.20666503906
1746111217.971199,0,167473.53643798828
1746111217.971199,1,167473.67108154297
1746111218.971283,0,167602.9940185547
1746111218.971283,1,167603.61212158203
1746111219.9712625,0,167732.67236328125
1746111219.9712625,1,167733.05932617188
1746111220.9712703,0,167862.2758178711
1746111220.9712703,1,167862.67095947266
1746111221.9712653,0,167991.86712646484
1746111221.9712653,1,167992.51763916016
1746111222.971266,0,168121.54718017578
1746111222.971266,1,168122.19757080078
1746111223.9712803,0,168250.9927368164
1746111223.9712803,1,168251.51092529297
1746111224.9712753,0,168380.58624267578
1746111224.9712753,1,168381.09930419922
1746111225.971284,0,168510.69134521484
1746111225.971284,1,168510.95349121094
1746111226.9712048,0,168640.12280273438
1746111226.9712048,1,168640.52661132812
1746111227.9712703,0,168769.82635498047
1746111227.9712703,1,168770.22247314453
1746111228.9712079,0,168899.37927246094
1746111228.9712079,1,168899.5146484375
1746111229.9712753,0,169029.07470703125
1746111229.9712753,1,169029.32159423828
1746111230.9712615,0,169158.529296875
1746111230.9712615,1,169158.92303466797
