time,scope,value
1746117071.9712043,0,104.70367879012142
1746117071.9712043,1,104.8001806351917
1746117072.9712749,0,106.33970840904318
1746117072.9712749,1,108.81972046195908
1746117073.9707668,0,107.25012644343373
1746117073.9707668,1,106.65551605954165
1746117074.9717772,0,107.14022023564146
1746117074.9717772,1,105.17522366508913
1746117075.9712517,0,106.36583073570269
1746117075.9712517,1,106.9473791363906
1746117076.971287,0,106.65759205562615
1746117076.971287,1,106.88418110241263
1746117077.9712958,0,108.06269987937175
1746117077.9712958,1,107.21549606615761
1746117078.971303,0,107.95131632710574
1746117078.971303,1,106.79024524198073
1746117079.971295,0,108.86574942637398
1746117079.971295,1,106.22047861648268
1746117080.971288,0,106.9623296841484
1746117080.971288,1,107.23525751246729
1746117081.971203,0,107.14219674592094
1746117081.971203,1,108.04234152662316
1746117082.971291,0,106.81464571463128
1746117082.971291,1,106.33804080810263
1746117083.971295,0,107.4013683734914
1746117083.971295,1,107.21723321356355
1746117084.9713004,0,108.73612409609468
1746117084.9713004,1,106.96343696274613
1746117085.9712772,0,107.30422339965313
1746117085.9712772,1,107.62018466962543
1746117086.9713004,0,106.20135213972159
1746117086.9713004,1,105.90034878781987
1746117087.9712906,0,106.26764353197211
1746117087.9712906,1,107.51485701234218
1746117088.971306,0,107.10991110781586
1746117088.971306,1,106.80711338173649
1746117089.9712903,0,107.68742995516526
1746117089.9712903,1,106.55611319019401
1746117090.9712875,0,107.86116838784723
1746117090.9712875,1,108.51611249911545
1746117091.9712791,0,106.87415103353194
1746117091.9712791,1,106.56361557458774
1746117092.971281,0,107.97092322898297
1746117092.971281,1,108.15505467800337
1746117093.9712853,0,107.99048929039263
1746117093.9712853,1,107.12198082862417
1746117094.971285,0,107.82207473615223
1746117094.971285,1,106.87633779992723
1746117095.971296,0,107.3780048801057
1746117095.971296,1,107.59309223619127
1746117096.9712934,0,108.40926960799565
1746117096.9712934,1,106.93245613674155
1746117097.971223,0,107.32054901819195
1746117097.971223,1,106.1567779138547
1746117098.9712963,0,107.40500226036269
1746117098.9712963,1,106.91997433647539
1746117099.9712896,0,108.32808364630556
1746117099.9712896,1,106.43734934013487
1746117100.9712956,0,108.8228011751864
1746117100.9712956,1,106.71695176319768
1746117101.971194,0,108.04785980552751
1746117101.971194,1,106.10941788633191
1746117102.9713006,0,106.34228871411156
1746117102.9713006,1,107.59484177421977
1746117103.9713008,0,108.32550964434284
1746117103.9713008,1,106.33243079536909
1746117104.9712958,0,107.47802814576444
1746117104.9712958,1,106.83947370155282
1746117105.9711955,0,106.56288709026468
1746117105.9711955,1,107.58350122325021
1746117106.9711945,0,108.71916333443029
1746117106.9711945,1,106.84827431912068
1746117107.9712858,0,107.29088076290756
1746117107.9712858,1,107.0700536709161
1746117108.9712927,0,107.22486911341258
1746117108.9712927,1,107.37481754451991
1746117109.9713068,0,106.969668820336
1746117109.9713068,1,107.2247902500271
1746117110.971261,0,107.02115331760295
1746117110.971261,1,106.88651040126076
1746117111.97124,0,106.303899663466
1746117111.97124,1,105.56770649099842
1746117112.9712806,0,106.77364019594854
1746117112.9712806,1,107.91654295531055
1746117113.971254,0,107.21341378433553
1746117113.971254,1,107.04309874112337
1746117114.9712956,0,105.63445957019269
1746117114.9712956,1,106.82809770362279
1746117115.9712236,0,107.52895167553385
1746117115.9712236,1,106.93822248593516
1746117116.9712765,0,106.5417780922723
1746117116.9712765,1,107.26899322471822
1746117117.9712763,0,104.11274564309788
1746117117.9712763,1,106.52985776661843
1746117118.9712994,0,107.05905753334905
1746117118.9712994,1,106.99208840242828
1746117119.971263,0,106.99214187583011
1746117119.971263,1,107.27234250876295
1746117120.9712975,0,107.64070721106154
1746117120.9712975,1,107.97295771018563
1746117121.9713082,0,107.8332107145751
1746117121.9713082,1,106.51368398807723
1746117122.9712896,0,107.31244044949224
1746117122.9712896,1,106.88681432128111
1746117123.9713035,0,108.69608992965549
1746117123.9713035,1,108.14621617293736
1746117124.9712803,0,106.08377543951515
1746117124.9712803,1,107.41759141615691
1746117125.9712653,0,107.39570527010284
1746117125.9712653,1,107.8020607794306
1746117126.9713,0,108.08860984323528
1746117126.9713,1,108.08279257915054
1746117127.9712677,0,108.23821046127605
1746117127.9712677,1,105.93140179195636
1746117128.9713268,0,107.92705105695511
1746117128.9713268,1,107.303898689543
1746117129.971234,0,107.05723385496007
1746117129.971234,1,107.34233903957922
1746117130.9712763,0,106.64266537517263
1746117130.9712763,1,107.0144652316001
1746117131.971312,0,108.14391557830147
1746117131.971312,1,106.37939708936526
1746117132.9712567,0,106.73576420859887
1746117132.9712567,1,107.30645183254342
1746117133.9712799,0,108.29413492457938
1746117133.9712799,1,107.5393509641246
1746117134.971273,0,107.53844822737564
1746117134.971273,1,106.90435924800519
1746117135.9712868,0,106.77871009574447
1746117135.9712868,1,106.2939742662953
1746117136.9712002,0,107.37131919272504
1746117136.9712002,1,105.92664005752317
1746117137.9712937,0,106.32728315774573
1746117137.9712937,1,107.50410976535213
1746117138.9712327,0,107.48106349027226
1746117138.9712327,1,107.02838602548066
1746117139.9712684,0,107.50884284271748
1746117139.9712684,1,105.00334779996611
1746117140.971293,0,107.78531548774751
1746117140.971293,1,107.5710921929396
1746117141.9712908,0,107.04629414916458
1746117141.9712908,1,107.33163285809789
1746117142.9712934,0,104.70255006236845
1746117142.9712934,1,106.00539784037215
1746117143.9712965,0,108.00808750028224
