time,scope,value
1746122014.9712942,0,196948.43450927734
1746122014.9712942,1,196948.7508544922
1746122015.9712868,0,197114.4383544922
1746122015.9712868,1,197115.09552001953
1746122016.9712749,0,197281.06170654297
1746122016.9712749,1,197281.72430419922
1746122017.9712784,0,197449.02459716797
1746122017.9712784,1,197449.52685546875
1746122018.9712842,0,197614.54168701172
1746122018.9712842,1,197614.87536621094
1746122019.9712882,0,197779.03131103516
1746122019.9712882,1,197779.66796875
1746122020.971276,0,197943.64483642578
1746122020.971276,1,197944.2857055664
1746122021.9712808,0,198107.82568359375
1746122021.9712808,1,198108.31085205078
1746122022.9712915,0,198272.61108398438
1746122022.9712915,1,198273.22357177734
1746122023.9712803,0,198436.79174804688
1746122023.9712803,1,198437.48919677734
1746122024.9712858,0,198601.7114868164
1746122024.9712858,1,198602.03393554688
1746122025.971275,0,198766.19763183594
1746122025.971275,1,198766.52374267578
1746122026.9712853,0,198930.6322631836
1746122026.9712853,1,198931.2826538086
1746122027.9712799,0,199095.2650756836
1746122027.9712799,1,199095.57885742188
1746122028.9713054,0,199259.8486328125
1746122028.9713054,1,199260.37103271484
1746122029.9712784,0,199424.21893310547
1746122029.9712784,1,199424.71423339844
1746122030.9712834,0,199589.13928222656
1746122030.9712834,1,199589.63836669922
1746122031.971309,0,199753.24755859375
1746122031.971309,1,199753.89654541016
1746122032.9711995,0,199904.5242919922
1746122032.9711995,1,199904.5242919922
