time,scope,value
1746086920.971272,0,197362.412109375
1746086920.971272,1,197363.20666503906
1746086921.9712439,0,197492.40545654297
1746086921.9712439,1,197493.03411865234
1746086922.9712567,0,197616.16943359375
1746086922.9712567,1,197616.64404296875
1746086923.971257,0,197739.76977539062
1746086923.971257,1,197740.40576171875
1746086924.9712508,0,197863.3846435547
1746086924.9712508,1,197863.87426757812
1746086925.971501,0,197987.14599609375
1746086925.971501,1,197987.2706298828
1746086926.9712312,0,198110.75720214844
1746086926.9712312,1,198110.86895751953
1746086927.971261,0,198234.14501953125
1746086927.971261,1,198234.63348388672
1746086928.9712589,0,198357.7022705078
1746086928.9712589,1,198358.40979003906
1746086929.9712539,0,198481.6708984375
1746086929.9712539,1,198482.19134521484
1746086930.9712217,0,198605.330078125
1746086930.9712217,1,198605.9614868164
1746086931.9715886,0,198729.06024169922
1746086931.9715886,1,198729.16680908203
1746086932.971197,0,198852.2830810547
1746086932.971197,1,198852.42138671875
1746086933.9712505,0,198976.26885986328
1746086933.9712505,1,198976.50885009766
1746086934.9703338,0,199099.74603271484
1746086934.9703338,1,199100.24884033203
1746086935.9716456,0,199223.63775634766
1746086935.9716456,1,199224.13580322266
1746086936.9712892,0,199346.8887939453
1746086936.9712892,1,199347.4927368164
1746086937.971287,0,199470.7728881836
1746086937.971287,1,199471.2626953125
1746086938.9712837,0,199594.36291503906
1746086938.9712837,1,199594.9815673828
1746086939.9712903,0,199718.12329101562
1746086939.9712903,1,199718.50848388672
1746086940.9712243,0,199841.44598388672
1746086940.9712243,1,199842.06231689453
1746086941.9712842,0,199965.30181884766
1746086941.9712842,1,199965.8158569336
1746086942.9712412,0,200089.07330322266
1746086942.9712412,1,200089.45251464844
1746086943.9712677,0,200212.6632080078
1746086943.9712677,1,200213.27905273438
1746086944.9712734,0,200336.3721923828
1746086944.9712734,1,200336.86199951172
1746086945.9712775,0,200459.96392822266
1746086945.9712775,1,200460.45306396484
