time,value
1746100777.5110347,2.0
1746100777.5258327,3.0
1746100777.540545,3.0
1746100777.5551262,3.0
1746100777.5697556,3.0
1746100777.584369,3.0
1746100777.5989306,3.0
1746100777.6134815,3.0
1746100777.628063,3.0
1746100777.642606,3.0
1746100777.6572306,3.0
1746100777.671768,3.0
1746100777.6862912,3.0
1746100777.7008817,3.0
1746100777.7154343,3.0
1746100777.7299535,3.0
1746100777.7445364,3.0
1746100777.7590714,3.0
1746100777.7736094,3.0
1746100777.7882035,3.0
1746100777.8027246,3.0
1746100777.8173003,3.0
1746100777.8318663,3.0
1746100777.8463855,3.0
1746100777.8612714,3.0
1746100777.8759673,3.0
1746100777.8893511,1.0
1746100777.902707,1.0
1746100777.9160073,1.0
1746100777.9307108,1.0
1746100777.9453075,2.0
1746100777.9554286,2.0
1746100777.9703019,3.0
1746100777.9819458,2.0
1746100777.9966233,3.0
1746100778.0113802,3.0
1746100778.0222726,2.0
1746100778.0369449,3.0
1746100778.0517254,3.0
1746100778.0621066,2.0
1746100778.0726423,2.0
1746100778.0832546,2.0
1746100778.0938978,2.0
1746100778.1045408,2.0
1746100778.115307,2.0
1746100778.1261513,2.0
1746100778.137104,2.0
1746100778.148038,2.0
1746100778.1589518,2.0
1746100778.1698918,2.0
1746100778.1808107,2.0
1746100778.1917276,2.0
1746100778.2026455,2.0
1746100778.2135565,2.0
1746100778.224462,2.0
1746100778.2353618,2.0
1746100778.2462451,2.0
1746100778.2571409,2.0
1746100778.2680068,2.0
1746100778.2788925,2.0
1746100778.2898166,2.0
1746100778.300778,2.0
1746100778.311665,2.0
1746100778.3225772,2.0
1746100778.3334975,2.0
1746100778.3443828,2.0
1746100778.3552861,2.0
1746100778.3661609,2.0
1746100778.3770397,2.0
1746100778.3878942,2.0
1746100778.3987412,2.0
1746100778.4096148,2.0
1746100778.4205449,2.0
1746100778.4314046,2.0
1746100778.4422956,2.0
1746100778.4531708,2.0
1746100778.4648583,2.0
1746100778.4770427,1.0
1746100778.4898272,1.0
1746100778.5004835,2.0
1746100778.511339,2.0
1746100778.5222712,2.0
1746100778.5331912,2.0
1746100778.5441206,2.0
1746100778.5550323,2.0
1746100778.5659692,2.0
1746100778.5768957,2.0
1746100778.587793,2.0
1746100778.5986805,2.0
1746100778.6095915,2.0
1746100778.6205256,2.0
1746100778.631429,2.0
1746100778.6422946,2.0
1746100778.6532068,2.0
1746100778.6641364,2.0
1746100778.6750233,2.0
1746100778.6859112,2.0
1746100778.6968248,2.0
1746100778.7077498,2.0
1746100778.7186186,2.0
1746100778.7295377,2.0
1746100778.7404404,2.0
1746100778.7513416,2.0
1746100778.7621965,2.0
1746100778.7731006,2.0
1746100778.7840228,2.0
1746100778.794955,2.0
1746100778.8058074,2.0
1746100778.816688,2.0
1746100778.8276026,2.0
1746100778.8384945,2.0
1746100778.8494325,2.0
1746100778.8603203,2.0
1746100778.87121,2.0
1746100778.882074,2.0
1746100778.8930173,2.0
1746100778.9039478,2.0
1746100778.9148445,2.0
1746100778.925805,2.0
1746100778.9367774,2.0
1746100778.9476638,2.0
1746100778.9588377,2.0
1746100778.969763,2.0
1746100778.9836586,2.0
1746100778.9944134,2.0
1746100779.0052388,2.0
1746100779.0177104,2.0
1746100779.0284054,2.0
1746100779.0392044,2.0
1746100779.0500016,2.0
1746100779.0613356,2.0
1746100779.0721269,2.0
1746100779.0829651,2.0
1746100779.0938084,2.0
1746100779.1046042,2.0
1746100779.1154258,2.0
1746100779.1262612,2.0
1746100779.137069,2.0
1746100779.1478844,2.0
1746100779.158653,2.0
1746100779.169487,2.0
1746100779.180326,2.0
1746100779.1911097,2.0
1746100779.2019165,2.0
1746100779.2126913,2.0
1746100779.2235556,2.0
1746100779.234362,2.0
1746100779.2451842,2.0
1746100779.2559917,2.0
1746100779.266789,2.0
1746100779.2775953,2.0
1746100779.2891958,2.0
1746100779.2999938,2.0
1746100779.3112395,2.0
1746100779.321989,2.0
1746100779.3328507,2.0
1746100779.3436794,2.0
1746100779.3544674,2.0
1746100779.365295,2.0
1746100779.3760636,2.0
1746100779.386889,2.0
1746100779.3977075,2.0
1746100779.4085062,2.0
1746100779.4193242,2.0
1746100779.4301796,2.0
1746100779.4409864,2.0
1746100779.4518063,2.0
1746100779.4640396,2.0
1746100779.4770465,1.0
1746100779.4928322,1.0
1746100779.5033023,2.0
1746100779.5139556,2.0
1746100779.5247028,2.0
1746100779.5354064,2.0
1746100779.5460641,2.0
1746100779.5567408,2.0
1746100779.567462,2.0
1746100779.5781646,2.0
1746100779.5888655,2.0
1746100779.599562,2.0
1746100779.610248,2.0
1746100779.620961,2.0
1746100779.631718,2.0
1746100779.642407,2.0
1746100779.6531057,2.0
1746100779.6638203,2.0
1746100779.674524,2.0
1746100779.6852353,2.0
1746100779.6959612,2.0
1746100779.7066689,2.0
1746100779.7174976,2.0
1746100779.7282267,2.0
1746100779.7389255,2.0
1746100779.7496974,2.0
1746100779.760474,2.0
1746100779.7711792,2.0
1746100779.7818584,2.0
1746100779.792564,2.0
1746100779.8033276,2.0
1746100779.8140264,2.0
1746100779.824864,2.0
1746100779.8356085,2.0
1746100779.8463352,2.0
1746100779.8570058,2.0
1746100779.8677378,2.0
1746100779.878425,2.0
1746100779.8891408,2.0
1746100779.8998249,2.0
1746100779.9105237,2.0
1746100779.921229,2.0
1746100779.932001,2.0
1746100779.9426885,2.0
1746100779.9535222,2.0
1746100779.9642031,2.0
1746100779.9781365,2.0
1746100779.9886022,2.0
1746100779.9992857,2.0
1746100780.0099761,2.0
1746100780.0223296,2.0
1746100780.0330312,2.0
1746100780.043725,2.0
1746100780.055275,2.0
1746100780.065803,2.0
1746100780.0765142,2.0
1746100780.0872393,2.0
1746100780.0979304,2.0
1746100780.1086302,2.0
1746100780.1193173,2.0
1746100780.1300232,2.0
1746100780.140743,2.0
1746100780.1514537,2.0
1746100780.1621602,2.0
1746100780.172855,2.0
1746100780.1835308,2.0
1746100780.1942031,2.0
1746100780.2049232,2.0
1746100780.2156065,2.0
1746100780.2263267,2.0
1746100780.237035,2.0
1746100780.2477267,2.0
1746100780.2584267,2.0
1746100780.269122,2.0
1746100780.2798204,2.0
1746100780.290519,2.0
1746100780.3012435,2.0
1746100780.31194,2.0
1746100780.3226237,2.0
1746100780.333337,2.0
1746100780.3440368,2.0
1746100780.3547177,2.0
1746100780.3655865,2.0
1746100780.3762891,2.0
1746100780.3870192,2.0
1746100780.3977752,2.0
1746100780.4084733,2.0
1746100780.4191391,2.0
1746100780.4298952,2.0
1746100780.4406023,2.0
1746100780.451314,2.0
1746100780.4635162,2.0
1746100780.476443,1.0
1746100780.492182,1.0
1746100780.5026636,2.0
1746100780.5133433,2.0
1746100780.524081,2.0
1746100780.5348065,2.0
1746100780.5455334,2.0
1746100780.5562553,2.0
1746100780.5669801,2.0
1746100780.57768,2.0
1746100780.5883992,2.0
1746100780.599111,2.0
1746100780.609814,2.0
1746100780.6205182,2.0
1746100780.6313083,2.0
1746100780.6419747,2.0
1746100780.652672,2.0
1746100780.6633942,2.0
1746100780.6741061,2.0
1746100780.6848035,2.0
1746100780.6955051,2.0
1746100780.706199,2.0
