time,scope,value
1746094032.852938,nrm.extra.perf.PAPI_L3_TCA.201552,2126529850.0
1746094032.852938,nrm.extra.perf.PAPI_TOT_INS.201552,45976178001.0
1746094032.852938,nrm.extra.perf.PAPI_TOT_CYC.201552,273778853990.0
1746094032.852938,nrm.extra.perf.PAPI_RES_STL.201552,227559127893.0
1746094032.852938,nrm.extra.perf.PAPI_L3_TCM.201552,1879685417.0
1746094033.8534186,nrm.extra.perf.PAPI_L3_TCA.201552,4281100557.0
1746094033.8534186,nrm.extra.perf.PAPI_TOT_INS.201552,91424107284.0
1746094033.8534186,nrm.extra.perf.PAPI_TOT_CYC.201552,520291793313.0
1746094033.8534186,nrm.extra.perf.PAPI_RES_STL.201552,435284636981.0
1746094033.8534186,nrm.extra.perf.PAPI_L3_TCM.201552,3784695300.0
1746094034.850963,nrm.extra.perf.PAPI_L3_TCA.201552,6473627404.0
1746094034.850963,nrm.extra.perf.PAPI_TOT_INS.201552,137162452659.0
1746094034.850963,nrm.extra.perf.PAPI_TOT_CYC.201552,767574311834.0
1746094034.850963,nrm.extra.perf.PAPI_RES_STL.201552,646504543206.0
1746094034.850963,nrm.extra.perf.PAPI_L3_TCM.201552,5719260673.0
1746094035.8519657,nrm.extra.perf.PAPI_L3_TCA.201552,8619613827.0
1746094035.8519657,nrm.extra.perf.PAPI_TOT_INS.201552,182870404954.0
1746094035.8519657,nrm.extra.perf.PAPI_TOT_CYC.201552,1012283998025.0
1746094035.8519657,nrm.extra.perf.PAPI_RES_STL.201552,853765137618.0
1746094035.8519657,nrm.extra.perf.PAPI_L3_TCM.201552,7617272152.0
1746094036.8515873,nrm.extra.perf.PAPI_L3_TCA.201552,10833776810.0
1746094036.8515873,nrm.extra.perf.PAPI_TOT_INS.201552,237810985705.0
1746094036.8515873,nrm.extra.perf.PAPI_TOT_CYC.201552,1266603411407.0
1746094036.8515873,nrm.extra.perf.PAPI_RES_STL.201552,1071138257582.0
1746094036.8515873,nrm.extra.perf.PAPI_L3_TCM.201552,9575067480.0
1746094037.8532808,nrm.extra.perf.PAPI_L3_TCA.201552,13043094972.0
1746094037.8532808,nrm.extra.perf.PAPI_TOT_INS.201552,292798414918.0
1746094037.8532808,nrm.extra.perf.PAPI_TOT_CYC.201552,1521594331036.0
1746094037.8532808,nrm.extra.perf.PAPI_RES_STL.201552,1288529260581.0
1746094037.8532808,nrm.extra.perf.PAPI_L3_TCM.201552,11532863589.0
1746094038.851787,nrm.extra.perf.PAPI_L3_TCA.201552,15243648803.0
1746094038.851787,nrm.extra.perf.PAPI_TOT_INS.201552,347413116656.0
1746094038.851787,nrm.extra.perf.PAPI_TOT_CYC.201552,1775558092081.0
1746094038.851787,nrm.extra.perf.PAPI_RES_STL.201552,1505447024336.0
1746094038.851787,nrm.extra.perf.PAPI_L3_TCM.201552,13476417857.0
1746094039.851777,nrm.extra.perf.PAPI_L3_TCA.201552,17478746802.0
1746094039.851777,nrm.extra.perf.PAPI_TOT_INS.201552,398176210174.0
1746094039.851777,nrm.extra.perf.PAPI_TOT_CYC.201552,2029225876908.0
1746094039.851777,nrm.extra.perf.PAPI_RES_STL.201552,1723280675970.0
1746094039.851777,nrm.extra.perf.PAPI_L3_TCM.201552,15481796511.0
1746094040.8521178,nrm.extra.perf.PAPI_L3_TCA.201552,19849376887.0
1746094040.8521178,nrm.extra.perf.PAPI_TOT_INS.201552,437770372025.0
1746094040.8521178,nrm.extra.perf.PAPI_TOT_CYC.201552,2281625957754.0
1746094040.8521178,nrm.extra.perf.PAPI_RES_STL.201552,1945798144542.0
1746094040.8521178,nrm.extra.perf.PAPI_L3_TCM.201552,17694437250.0
1746094041.850431,nrm.extra.perf.PAPI_L3_TCA.201552,22196662964.0
1746094041.850431,nrm.extra.perf.PAPI_TOT_INS.201552,477123275135.0
1746094041.850431,nrm.extra.perf.PAPI_TOT_CYC.201552,2531578111196.0
1746094041.850431,nrm.extra.perf.PAPI_RES_STL.201552,2164844639187.0
1746094041.850431,nrm.extra.perf.PAPI_L3_TCM.201552,19883127795.0
1746094042.8525,nrm.extra.perf.PAPI_L3_TCA.201552,24589879099.0
1746094042.8525,nrm.extra.perf.PAPI_TOT_INS.201552,516927810815.0
1746094042.8525,nrm.extra.perf.PAPI_TOT_CYC.201552,2784359813119.0
1746094042.8525,nrm.extra.perf.PAPI_RES_STL.201552,2388948481906.0
1746094042.8525,nrm.extra.perf.PAPI_L3_TCM.201552,22119778421.0
1746094043.8529873,nrm.extra.perf.PAPI_L3_TCA.201552,26934799365.0
1746094043.8529873,nrm.extra.perf.PAPI_TOT_INS.201552,556357933911.0
1746094043.8529873,nrm.extra.perf.PAPI_TOT_CYC.201552,3034451037224.0
1746094043.8529873,nrm.extra.perf.PAPI_RES_STL.201552,2607538300238.0
1746094043.8529873,nrm.extra.perf.PAPI_L3_TCM.201552,24309698693.0
1746094044.852678,nrm.extra.perf.PAPI_L3_TCA.201552,29308056010.0
1746094044.852678,nrm.extra.perf.PAPI_TOT_INS.201552,595811495637.0
