time,scope,value
1746104818.971276,0,166.22396949691452
1746104818.971276,1,169.2820409770233
1746104819.9712799,0,147.6117919538173
1746104819.9712799,1,145.52934378167689
1746104820.971299,0,146.90656967688258
1746104820.971299,1,147.35098571569824
1746104821.9712088,0,147.55657729760827
1746104821.9712088,1,145.79453803084024
1746104822.9711974,0,148.2906442113295
1746104822.9711974,1,146.42454525664212
1746104823.971269,0,149.6833859529842
1746104823.971269,1,146.11192398001583
1746104824.9712977,0,149.0394534731676
1746104824.9712977,1,147.857115139299
1746104825.9712932,0,147.777300744079
1746104825.9712932,1,146.11901824408076
1746104826.9713004,0,146.34991805979897
1746104826.9713004,1,148.44532372026194
1746104827.971269,0,148.77234206625195
1746104827.971269,1,148.3878487890318
1746104828.9712577,0,147.43351176733321
1746104828.9712577,1,145.38203044423497
1746104829.971303,0,148.4534206664973
1746104829.971303,1,147.70456372455206
1746104830.9712832,0,148.9933127192301
1746104830.9712832,1,146.27111431778582
1746104831.971283,0,145.40450920835264
1746104831.971283,1,147.72966074716118
1746104832.9712737,0,144.97397012608013
1746104832.9712737,1,146.46654916882386
1746104833.9712896,0,145.93142887718443
1746104833.9712896,1,147.2093881200558
1746104834.971296,0,146.1650536556717
1746104834.971296,1,145.88125820789372
1746104835.9713068,0,146.12578351729107
1746104835.9713068,1,148.70233393175235
1746104836.9713182,0,148.6481148848417
1746104836.9713182,1,148.52753693589815
1746104837.9712908,0,147.24830302102896
1746104837.9712908,1,145.78277979523983
1746104838.9713037,0,146.9631028987037
1746104838.9713037,1,145.29346578387498
1746104839.9712875,0,148.30565732175273
1746104839.9712875,1,148.16919188350292
1746104840.9712894,0,146.08842282893707
1746104840.9712894,1,147.29498239844213
1746104841.9712243,0,145.89645187532892
1746104841.9712243,1,148.35305827680273
1746104842.971274,0,147.01079545212517
1746104842.971274,1,146.64912266098457
1746104843.9712174,0,146.71272917802239
1746104843.9712174,1,147.284161214653
1746104844.971299,0,148.11500504739672
1746104844.971299,1,146.041874896929
1746104845.9713013,0,146.33380750556282
1746104845.9713013,1,145.74554804482355
1746104846.9712722,0,148.38849086075064
1746104846.9712722,1,147.62201425216273
1746104847.9712753,0,147.52429315987473
1746104847.9712753,1,144.87505669189534
1746104848.9712586,0,147.29425758214288
1746104848.9712586,1,146.7606736775833
1746104849.9712672,0,146.48943557957975
1746104849.9712672,1,145.4863754318328
1746104850.9712996,0,146.94460630199475
1746104850.9712996,1,147.5666704759233
1746104851.9712727,0,147.16879351457553
1746104851.9712727,1,146.3871699007242
1746104852.9712944,0,147.08594077183778
1746104852.9712944,1,145.62519173511748
1746104853.9712608,0,148.5901683901603
1746104853.9712608,1,148.0524474338101
1746104854.971318,0,148.3601157969013
1746104854.971318,1,148.80241072538317
1746104855.9712765,0,146.8258375196463
1746104855.9712765,1,145.8977842482301
1746104856.9712882,0,147.34196884930847
1746104856.9712882,1,146.89966289944763
1746104857.9712703,0,147.5836314912299
1746104857.9712703,1,147.4214816710319
1746104858.9712813,0,146.8149370424064
1746104858.9712813,1,145.51659971628382
1746104859.9713044,0,145.60388334982778
1746104859.9713044,1,145.6455143223559
1746104860.9712844,0,145.50638588132185
1746104860.9712844,1,146.1553378758154
1746104861.9712737,0,146.61244110104772
1746104861.9712737,1,145.78172623451727
1746104862.9712071,0,146.98101768755325
1746104862.9712071,1,145.78499427214706
1746104863.9712286,0,146.24022138233514
1746104863.9712286,1,144.91826312232794
1746104864.971196,0,144.85179689618758
1746104864.971196,1,147.58060490588605
1746104865.9712656,0,145.9590438951169
1746104865.9712656,1,147.36061654635924
1746104866.9712694,0,146.20359908704603
1746104866.9712694,1,146.3854672912936
1746104867.9712737,0,146.2634606907591
1746104867.9712737,1,146.72145355430754
1746104868.9712725,0,148.07502892755483
1746104868.9712725,1,148.47830046328008
1746104869.971268,0,146.3817428936114
1746104869.971268,1,143.62657863475252
1746104870.9712775,0,148.05008950726736
1746104870.9712775,1,145.5030088001615
1746104871.9712796,0,146.3663615087187
1746104871.9712796,1,146.1751964630887
1746104872.9712906,0,147.16927541571582
1746104872.9712906,1,146.84200904313604
1746104873.9712973,0,145.77867552364415
1746104873.9712973,1,144.97305497539193
1746104874.9712794,0,145.48356079772844
1746104874.9712794,1,146.89392671790904
1746104875.9712088,0,145.82848089102583
1746104875.9712088,1,145.7491740293258
1746104876.9713087,0,145.8863160266844
1746104876.9713087,1,147.53102136254495
1746104877.9712758,0,147.71739643761106
1746104877.9712758,1,146.88337759063094
1746104878.971206,0,145.48665354008168
1746104878.971206,1,147.58364097330286
1746104879.9713078,0,147.66722087645704
1746104879.9713078,1,145.95243967951976
1746104880.9712658,0,149.49043211763072
1746104880.9712658,1,146.82383596112592
1746104881.971268,0,147.05676648148568
1746104881.971268,1,145.75175990290026
1746104882.9712958,0,147.70054765213075
1746104882.9712958,1,151.60404408802617
1746104883.9712927,0,146.98128411457026
1746104883.9712927,1,146.85881530900497
1746104884.9712722,0,146.38864167757075
1746104884.9712722,1,147.29239197576032
1746104885.9712546,0,146.01388777985392
1746104885.9712546,1,147.25577354826635
1746104886.9712658,0,146.37731498610412
1746104886.9712658,1,145.1054574444674
1746104887.9712863,0,147.06795606322007
1746104887.9712863,1,147.07624336259858
1746104888.9712682,0,147.03993487908073
1746104888.9712682,1,145.91501887667457
1746104889.9712417,0,147.71326020673635
1746104889.9712417,1,148.10947552918466
1746104890.971295,0,146.5444003563023
1746104890.971295,1,145.67714069645788
1746104891.9712927,0,146.3481595211186
1746104891.9712927,1,145.6536321872731
1746104892.9713123,0,147.85098778102684
1746104892.9713123,1,145.6491022396425
1746104893.971314,0,146.15569271201412
1746104893.971314,1,148.17295846448022
1746104894.971272,0,145.99009571336705
1746104894.971272,1,147.82776531212738
1746104895.9712005,0,146.05813257606042
1746104895.9712005,1,148.2375482192653
1746104896.971274,0,146.4867496266561
1746104896.971274,1,143.79093816067504
1746104897.9712784,0,149.5060397466369
1746104897.9712784,1,145.80026392838178
1746104898.9712758,0,145.66446631508973
1746104898.9712758,1,146.7992220119491
1746104899.9713,0,146.4633232331217
1746104899.9713,1,147.941480304313
1746104900.9712777,0,147.7605934387159
1746104900.9712777,1,145.91098415423832
1746104901.971272,0,146.94366787938787
1746104901.971272,1,144.8640329899127
1746104902.9712658,0,149.7586902608202
1746104902.9712658,1,145.80303392554146
1746104903.9712749,0,146.65037460675848
1746104903.9712749,1,148.9202144499246
1746104904.9718852,0,50.7898993344745
1746104904.9718852,1,50.850685177061465
