time,actuator,value
1746046302.0590649,Actuator(ptr=c_void_p(94425516703376)),118.0
1746046307.067798,Actuator(ptr=c_void_p(94425516703376)),165.0
1746046312.075377,Actuator(ptr=c_void_p(94425516703376)),124.0
1746046317.0838077,Actuator(ptr=c_void_p(94425516703376)),107.0
1746046322.093651,Actuator(ptr=c_void_p(94425516703376)),101.0
1746046327.1018636,Actuator(ptr=c_void_p(94425516703376)),83.0
1746046332.1098812,Actuator(ptr=c_void_p(94425516703376)),101.0
1746046337.1175692,Actuator(ptr=c_void_p(94425516703376)),118.0
1746046342.1255674,Actuator(ptr=c_void_p(94425516703376)),101.0
1746046347.1345055,Actuator(ptr=c_void_p(94425516703376)),101.0
1746046352.1428232,Actuator(ptr=c_void_p(94425516703376)),130.0
1746046357.1509237,Actuator(ptr=c_void_p(94425516703376)),83.0
1746046362.159727,Actuator(ptr=c_void_p(94425516703376)),136.0
1746046367.169462,Actuator(ptr=c_void_p(94425516703376)),95.0
1746046372.1776578,Actuator(ptr=c_void_p(94425516703376)),112.0
1746046377.1858764,Actuator(ptr=c_void_p(94425516703376)),107.0
