time,scope,value
1746039154.7946599,nrm.extra.perf.PAPI_L3_TCA.118483,2175657207.0
1746039154.7946599,nrm.extra.perf.PAPI_TOT_INS.118483,47889243417.0
1746039154.7946599,nrm.extra.perf.PAPI_TOT_CYC.118483,294770817114.0
1746039154.7946599,nrm.extra.perf.PAPI_RES_STL.118483,246445951571.0
1746039154.7946599,nrm.extra.perf.PAPI_L3_TCM.118483,1925453625.0
1746039155.7942314,nrm.extra.perf.PAPI_L3_TCA.118483,4482924603.0
1746039155.7942314,nrm.extra.perf.PAPI_TOT_INS.118483,97005975439.0
1746039155.7942314,nrm.extra.perf.PAPI_TOT_CYC.118483,594518833755.0
1746039155.7942314,nrm.extra.perf.PAPI_RES_STL.118483,506522114403.0
1746039155.7942314,nrm.extra.perf.PAPI_L3_TCM.118483,3967889740.0
1746039156.7960916,nrm.extra.perf.PAPI_L3_TCA.118483,6766245803.0
1746039156.7960916,nrm.extra.perf.PAPI_TOT_INS.118483,145438377368.0
1746039156.7960916,nrm.extra.perf.PAPI_TOT_CYC.118483,889073109834.0
1746039156.7960916,nrm.extra.perf.PAPI_RES_STL.118483,763409866353.0
1746039156.7960916,nrm.extra.perf.PAPI_L3_TCM.118483,5994481837.0
1746039157.7948992,nrm.extra.perf.PAPI_L3_TCA.118483,9092976245.0
1746039157.7948992,nrm.extra.perf.PAPI_TOT_INS.118483,194206600446.0
1746039157.7948992,nrm.extra.perf.PAPI_TOT_CYC.118483,1184472127218.0
1746039157.7948992,nrm.extra.perf.PAPI_RES_STL.118483,1023771295965.0
1746039157.7948992,nrm.extra.perf.PAPI_L3_TCM.118483,8052019946.0
1746039158.7941778,nrm.extra.perf.PAPI_L3_TCA.118483,11427741142.0
1746039158.7941778,nrm.extra.perf.PAPI_TOT_INS.118483,242950313268.0
1746039158.7941778,nrm.extra.perf.PAPI_TOT_CYC.118483,1479805768393.0
1746039158.7941778,nrm.extra.perf.PAPI_RES_STL.118483,1285209156785.0
1746039158.7941778,nrm.extra.perf.PAPI_L3_TCM.118483,10116551456.0
1746039159.793435,nrm.extra.perf.PAPI_L3_TCA.118483,13767987134.0
1746039159.793435,nrm.extra.perf.PAPI_TOT_INS.118483,291728052179.0
