time,scope,value
1746043851.9713159,0,127.03394664722659
1746043851.9713159,1,127.63202440438148
1746043852.971319,0,129.80227730494866
1746043852.971319,1,128.66627167056987
1746043853.9712877,0,130.1440889086805
1746043853.9712877,1,128.8735925252992
1746043854.9712062,0,129.49591375662675
1746043854.9712062,1,129.12827209518565
1746043855.9713147,0,129.69800432971897
1746043855.9713147,1,130.2822600025372
1746043856.9713027,0,106.6647769840663
1746043856.9713027,1,106.84643197196408
1746043857.9712896,0,106.39554730736347
1746043857.9712896,1,105.69810939763073
1746043858.9713087,0,108.02775285375866
1746043858.9713087,1,107.00385351231643
1746043859.97132,0,106.63944298089079
1746043859.97132,1,107.66487159000971
1746043860.9713604,0,105.76176464313167
1746043860.9713604,1,106.31187175463872
1746043861.9712825,0,151.48887080467344
1746043861.9712825,1,153.18359159590392
1746043862.9713118,0,151.669633482311
1746043862.9713118,1,153.23177723807223
1746043863.9713297,0,151.4586249506303
1746043863.9713297,1,153.98375334369464
1746043864.9712887,0,152.50646507320613
1746043864.9712887,1,151.18778034851738
1746043865.9712925,0,150.25735234883967
1746043865.9712925,1,151.7999648082895
1746043866.9712944,0,117.45350813039671
1746043866.9712944,1,117.35469600257521
1746043867.9713068,0,117.98429061035262
1746043867.9713068,1,118.13100514545869
1746043868.9713297,0,118.42882788771405
1746043868.9713297,1,114.26294043971457
