time,value
1746038909.096096,3.0
1746038909.10696,3.0
1746038909.1176956,3.0
1746038909.1284034,3.0
1746038909.1391182,3.0
1746038909.1499357,3.0
1746038909.1606414,3.0
1746038909.1713107,3.0
1746038909.1819177,3.0
1746038909.1925426,3.0
1746038909.2032034,3.0
1746038909.213824,3.0
1746038909.224434,3.0
1746038909.235031,3.0
1746038909.2456481,3.0
1746038909.2562668,3.0
1746038909.2668629,3.0
1746038909.2774873,3.0
1746038909.2880888,3.0
1746038909.2988327,3.0
1746038909.310844,3.0
1746038909.3246686,3.0
1746038909.339264,3.0
1746038909.354044,3.0
1746038909.3687963,3.0
1746038909.3834763,3.0
1746038909.3981671,3.0
1746038909.412927,3.0
1746038909.4276874,3.0
1746038909.4422913,3.0
1746038909.456475,3.0
1746038909.4685924,1.0
1746038909.4859717,1.0
1746038909.5027406,1.0
1746038909.5179605,1.0
1746038909.5305767,3.0
1746038909.5413022,3.0
1746038909.5519888,3.0
1746038909.562669,3.0
1746038909.5736768,3.0
1746038909.5843766,3.0
1746038909.5952258,3.0
1746038909.605935,3.0
1746038909.6166735,3.0
1746038909.6273775,3.0
1746038909.6380312,3.0
1746038909.6487048,3.0
1746038909.6594107,3.0
1746038909.6701071,3.0
1746038909.6808245,3.0
1746038909.6915445,3.0
1746038909.7022262,3.0
1746038909.7129505,3.0
1746038909.7236466,3.0
1746038909.7343528,3.0
1746038909.7450116,3.0
1746038909.7557173,3.0
1746038909.7663925,3.0
1746038909.7770488,3.0
1746038909.7877219,3.0
1746038909.798404,3.0
1746038909.8090663,3.0
1746038909.819747,3.0
1746038909.8303752,3.0
1746038909.8410223,3.0
1746038909.851913,3.0
1746038909.8625762,3.0
1746038909.8732388,3.0
1746038909.883911,3.0
1746038909.8945332,3.0
1746038909.9051816,3.0
1746038909.9158547,3.0
1746038909.9265113,3.0
1746038909.937183,3.0
1746038909.9478724,3.0
1746038909.9588416,3.0
1746038909.969502,3.0
1746038909.9818966,3.0
1746038909.9924562,3.0
1746038910.0030894,3.0
1746038910.013745,3.0
1746038910.0250463,3.0
1746038910.0356972,3.0
1746038910.046346,3.0
1746038910.0584033,3.0
1746038910.0782604,2.0
1746038910.0893126,3.0
1746038910.100168,3.0
1746038910.1110198,3.0
1746038910.1218307,3.0
1746038910.1326206,3.0
1746038910.1434047,3.0
1746038910.154194,3.0
1746038910.1650221,3.0
1746038910.1758587,3.0
1746038910.1866984,3.0
1746038910.1975393,3.0
1746038910.2083824,3.0
1746038910.2192059,3.0
1746038910.2300613,3.0
1746038910.241367,3.0
1746038910.252195,3.0
1746038910.263019,3.0
1746038910.2738113,3.0
1746038910.2846818,3.0
1746038910.2954807,3.0
1746038910.3063345,3.0
1746038910.3171842,3.0
1746038910.328028,3.0
1746038910.3388593,3.0
1746038910.3496604,3.0
1746038910.3604882,3.0
1746038910.3713312,3.0
1746038910.3821685,3.0
1746038910.3930006,3.0
1746038910.4038272,3.0
1746038910.414652,3.0
1746038910.4254723,3.0
1746038910.4362702,3.0
1746038910.447037,3.0
1746038910.4578416,3.0
1746038910.4686687,3.0
1746038910.4794931,3.0
1746038910.4903276,3.0
1746038910.5011463,3.0
1746038910.5119982,3.0
1746038910.522839,3.0
1746038910.5336359,3.0
1746038910.5444214,3.0
1746038910.5552201,3.0
1746038910.5659904,3.0
1746038910.5767648,3.0
1746038910.587554,3.0
1746038910.5984113,3.0
1746038910.6091857,3.0
1746038910.619997,3.0
1746038910.6307554,3.0
1746038910.6415586,3.0
1746038910.6523545,3.0
1746038910.66312,3.0
1746038910.673916,3.0
1746038910.6847062,3.0
1746038910.695487,3.0
1746038910.706293,3.0
1746038910.7170901,3.0
1746038910.7279031,3.0
1746038910.7386737,3.0
1746038910.7494833,3.0
1746038910.7602694,3.0
1746038910.7710688,3.0
1746038910.7818673,3.0
1746038910.7926989,3.0
1746038910.803472,3.0
1746038910.8177013,2.0
1746038910.828922,3.0
1746038910.840045,3.0
1746038910.8510916,3.0
1746038910.8621435,3.0
1746038910.873204,3.0
1746038910.8842032,3.0
1746038910.8951397,3.0
1746038910.906025,3.0
1746038910.9169521,3.0
1746038910.9279442,3.0
1746038910.9389296,3.0
1746038910.949933,3.0
1746038910.961093,3.0
1746038910.9721723,3.0
1746038910.98454,3.0
1746038910.9953654,3.0
1746038911.006185,3.0
1746038911.0174034,3.0
1746038911.0284216,3.0
1746038911.0391564,3.0
1746038911.0515952,3.0
1746038911.0628457,3.0
1746038911.073215,1.0
1746038911.086929,1.0
1746038911.0976665,3.0
1746038911.10854,3.0
1746038911.1194258,3.0
1746038911.1303365,3.0
1746038911.1411862,3.0
1746038911.1520076,3.0
1746038911.1628668,3.0
1746038911.1737313,3.0
1746038911.1846247,3.0
1746038911.1955004,3.0
1746038911.2063963,3.0
1746038911.217299,3.0
1746038911.2281852,3.0
1746038911.239182,3.0
1746038911.2500987,3.0
1746038911.2615144,3.0
1746038911.2724495,3.0
1746038911.283361,3.0
1746038911.2943065,3.0
1746038911.3052974,3.0
1746038911.3162944,3.0
1746038911.3271801,3.0
1746038911.3379812,3.0
1746038911.3501437,3.0
1746038911.3608742,3.0
1746038911.3715777,3.0
1746038911.3822892,3.0
1746038911.393031,3.0
1746038911.4037752,3.0
