time,scope,value
1746036674.971661,0,145816.30340576172
1746036674.971661,1,145816.76837158203
1746036675.9707527,0,145967.27264404297
1746036675.9707527,1,145967.7113647461
1746036676.971631,0,146118.26232910156
1746036676.971631,1,146118.86975097656
1746036677.9716196,0,146269.44940185547
1746036677.9716196,1,146269.89770507812
1746036678.9712348,0,146420.09826660156
1746036678.9712348,1,146420.22076416016
1746036679.971228,0,146571.79864501953
1746036679.971228,1,146571.94262695312
1746036680.9712355,0,146718.58758544922
1746036680.9712355,1,146719.0421142578
1746036681.9712327,0,146865.12762451172
1746036681.9712327,1,146865.7091064453
1746036682.9712434,0,147011.80755615234
1746036682.9712434,1,147012.40063476562
1746036683.9712381,0,147158.02838134766
1746036683.9712381,1,147158.1640625
1746036684.9717317,0,147306.0936279297
1746036684.9717317,1,147306.55737304688
1746036685.9712434,0,147457.99932861328
1746036685.9712434,1,147458.16290283203
1746036686.9712317,0,147610.0961303711
1746036686.9712317,1,147610.59259033203
1746036687.9712586,0,147762.14904785156
1746036687.9712586,1,147762.74194335938
1746036688.9712665,0,147914.1694946289
1746036688.9712665,1,147914.31414794922
1746036689.9712768,0,148060.3250732422
1746036689.9712768,1,148060.70037841797
1746036690.971253,0,148154.75469970703
1746036690.971253,1,148154.91900634766
1746036691.9712677,0,148249.5487060547
1746036691.9712677,1,148249.80297851562
1746036692.9712691,0,148344.32202148438
1746036692.9712691,1,148344.49438476562
1746036693.9712698,0,148438.98901367188
1746036693.9712698,1,148439.36529541016
1746036694.9712594,0,148542.82232666016
1746036694.9712594,1,148543.10009765625
1746036695.9712658,0,148683.50775146484
1746036695.9712658,1,148683.64837646484
1746036696.9712753,0,148824.18872070312
1746036696.9712753,1,148824.33392333984
1746036697.9711905,0,148964.72723388672
1746036697.9711905,1,148965.14080810547
1746036698.9712567,0,149105.1724243164
1746036698.9712567,1,149105.72088623047
1746036699.9711897,0,149225.3056640625
1746036699.9711897,1,149225.3056640625
