time,value
1735934088.820684,3.0
1735934088.8351436,3.0
1735934088.8504524,3.0
1735934088.8648012,3.0
1735934088.8799171,3.0
1735934088.894213,3.0
1735934088.9086485,3.0
1735934088.9229643,3.0
1735934088.937313,3.0
1735934088.9516232,3.0
1735934088.9660516,3.0
1735934088.9804711,3.0
1735934088.9947991,3.0
1735934089.0090945,3.0
1735934089.0234303,3.0
1735934089.0379736,3.0
1735934089.052277,3.0
1735934089.0665724,3.0
1735934089.080893,3.0
1735934089.0952578,3.0
1735934089.1095634,3.0
1735934089.123847,3.0
1735934089.1382272,3.0
1735934089.15252,3.0
1735934089.1668105,3.0
1735934089.1811173,3.0
1735934089.1953826,3.0
1735934089.2097478,3.0
1735934089.224083,3.0
1735934089.2384515,3.0
1735934089.2528915,3.0
1735934089.2672222,3.0
1735934089.2816133,3.0
1735934089.2963185,3.0
1735934089.310649,3.0
1735934089.3250587,3.0
1735934089.3393762,3.0
1735934089.3537152,3.0
1735934089.3714051,3.0
1735934089.3858557,3.0
1735934089.4002647,3.0
1735934089.4148486,3.0
1735934089.4293807,3.0
1735934089.4438157,3.0
1735934089.4582171,3.0
1735934089.4725745,3.0
1735934089.4869926,3.0
1735934089.5014956,3.0
1735934089.5158646,3.0
1735934089.5302582,3.0
1735934089.5448158,3.0
1735934089.55916,3.0
1735934089.5735848,3.0
1735934089.5878735,3.0
1735934089.602187,3.0
1735934089.6170702,3.0
1735934089.6314054,3.0
1735934089.645624,3.0
1735934089.6600053,3.0
1735934089.6743703,3.0
1735934089.6889696,3.0
1735934089.7031944,3.0
1735934089.7175457,3.0
1735934089.731783,3.0
1735934089.7460747,3.0
1735934089.7612648,3.0
1735934089.7769024,2.0
1735934089.7913232,2.0
1735934089.8059907,3.0
1735934089.8203788,3.0
1735934089.8346565,3.0
1735934089.849197,3.0
1735934089.8635304,3.0
1735934089.877966,3.0
1735934089.8924572,3.0
1735934089.9025948,2.0
1735934089.9173613,3.0
1735934089.9320548,3.0
1735934089.9467356,3.0
1735934089.956814,2.0
1735934089.9715283,3.0
1735934089.986175,3.0
1735934090.0009766,3.0
1735934090.015643,3.0
1735934090.0303004,3.0
1735934090.0450435,3.0
1735934090.0597122,3.0
1735934090.0743413,3.0
1735934090.0890677,3.0
1735934090.1038232,3.0
1735934090.118465,3.0
1735934090.1332154,3.0
1735934090.14788,3.0
1735934090.1625304,3.0
1735934090.1771932,3.0
1735934090.1917942,3.0
1735934090.2064383,3.0
1735934090.2210405,3.0
1735934090.2357018,3.0
1735934090.2503738,3.0
1735934090.2650156,3.0
1735934090.2796323,3.0
1735934090.2896738,2.0
1735934090.3042667,3.0
1735934090.318879,3.0
1735934090.3334968,3.0
1735934090.3481138,3.0
1735934090.3627243,3.0
1735934090.377408,3.0
1735934090.391998,3.0
1735934090.4067874,3.0
1735934090.4213943,3.0
1735934090.436011,3.0
1735934090.4506283,3.0
1735934090.4652288,3.0
1735934090.4798636,3.0
1735934090.4945207,3.0
1735934090.509107,3.0
1735934090.5237167,3.0
1735934090.5383673,3.0
1735934090.552975,3.0
1735934090.56757,3.0
1735934090.5822725,3.0
1735934090.596875,3.0
1735934090.6114726,3.0
1735934090.626123,3.0
1735934090.6407442,3.0
1735934090.6553295,3.0
1735934090.6699297,3.0
1735934090.6845186,3.0
1735934090.699114,3.0
1735934090.7137353,3.0
1735934090.7283435,3.0
1735934090.7429707,3.0
1735934090.75876,3.0
1735934090.7699752,2.0
1735934090.780769,1.0
1735934090.792032,1.0
1735934090.806822,3.0
1735934090.8168437,2.0
1735934090.8314972,3.0
1735934090.8461518,3.0
1735934090.860847,3.0
1735934090.8754892,3.0
1735934090.8901324,3.0
1735934090.9003334,2.0
1735934090.9150076,3.0
1735934090.9296598,3.0
1735934090.9442923,3.0
1735934090.9589636,3.0
1735934090.9736302,3.0
1735934090.9882822,3.0
1735934091.0029414,3.0
1735934091.0175874,3.0
1735934091.0322378,3.0
1735934091.0469296,3.0
1735934091.0615745,3.0
1735934091.076247,3.0
1735934091.0909238,3.0
1735934091.105579,3.0
1735934091.1202166,3.0
1735934091.1348605,3.0
1735934091.149519,3.0
1735934091.1641634,3.0
1735934091.1788702,3.0
1735934091.1935115,3.0
1735934091.208172,3.0
1735934091.222805,3.0
1735934091.2328165,2.0
1735934091.247397,3.0
1735934091.2620459,3.0
1735934091.2766857,3.0
1735934091.291524,3.0
1735934091.306302,3.0
1735934091.3209517,3.0
1735934091.3355541,3.0
1735934091.3503287,3.0
1735934091.3651094,3.0
1735934091.3798187,3.0
1735934091.3945234,3.0
1735934091.4049768,2.0
1735934091.4197562,3.0
1735934091.4344754,3.0
1735934091.4491007,3.0
1735934091.4637752,3.0
1735934091.478543,3.0
1735934091.4932,3.0
1735934091.507835,3.0
1735934091.5225275,3.0
1735934091.5371773,3.0
1735934091.5519366,3.0
1735934091.5619862,2.0
1735934091.5766742,3.0
1735934091.5914142,3.0
1735934091.6061435,3.0
1735934091.6208632,3.0
1735934091.6356244,3.0
1735934091.6503162,3.0
1735934091.665003,3.0
1735934091.6797173,3.0
1735934091.694425,3.0
1735934091.7091613,3.0
1735934091.7239764,3.0
1735934091.7340233,2.0
1735934091.744024,2.0
1735934091.754236,2.0
1735934091.7667873,2.0
1735934091.7779367,1.0
1735934091.7895322,1.0
1735934091.804284,3.0
1735934091.8146596,2.0
1735934091.8294148,3.0
1735934091.8394973,2.0
1735934091.849845,2.0
1735934091.8645873,3.0
1735934091.8747258,2.0
1735934091.8894722,3.0
1735934091.899516,2.0
1735934091.914268,3.0
1735934091.9290469,3.0
1735934091.939108,2.0
1735934091.953863,3.0
1735934091.9638689,2.0
1735934091.9740946,2.0
1735934091.9888785,3.0
1735934091.9989605,2.0
1735934092.0137303,3.0
1735934092.0237558,2.0
1735934092.0340548,2.0
1735934092.0488274,3.0
1735934092.058931,2.0
1735934092.073652,3.0
1735934092.0837045,2.0
1735934092.0940828,2.0
1735934092.108858,3.0
1735934092.1189523,2.0
1735934092.1336968,3.0
1735934092.1484962,3.0
1735934092.1586666,2.0
1735934092.1734223,3.0
1735934092.183479,2.0
1735934092.1982555,3.0
1735934092.2130575,3.0
1735934092.223068,2.0
1735934092.2332678,2.0
1735934092.2432802,2.0
1735934092.2533548,2.0
1735934092.2633903,2.0
1735934092.2735355,2.0
1735934092.2885878,3.0
1735934092.3033457,3.0
1735934092.3181577,3.0
1735934092.3329275,3.0
1735934092.3477426,3.0
1735934092.357804,2.0
1735934092.3679562,2.0
1735934092.377957,2.0
1735934092.3927555,3.0
1735934092.407532,3.0
1735934092.4177763,2.0
1735934092.4325674,3.0
1735934092.442592,2.0
1735934092.4573627,3.0
1735934092.4721367,3.0
1735934092.4821384,2.0
1735934092.4969196,3.0
1735934092.511676,3.0
1735934092.5217376,2.0
1735934092.5317435,2.0
1735934092.5418088,2.0
1735934092.5518248,2.0
1735934092.5618987,2.0
1735934092.5766907,3.0
1735934092.591463,3.0
1735934092.6062508,3.0
1735934092.6210194,3.0
1735934092.6357932,3.0
1735934092.6458206,2.0
1735934092.6605976,3.0
1735934092.6754107,3.0
1735934092.6901793,3.0
1735934092.7049582,3.0
1735934092.7197492,3.0
1735934092.7297804,2.0
1735934092.7397873,2.0
1735934092.7497983,2.0
1735934092.7608147,2.0
1735934092.7715971,2.0
1735934092.782213,2.0
1735934092.7970169,3.0
1735934092.8076797,2.0
1735934092.817871,2.0
1735934092.8326404,3.0
1735934092.8426783,2.0
1735934092.8577058,3.0
1735934092.872401,3.0
1735934092.8824759,2.0
1735934092.8972123,3.0
1735934092.9074597,2.0
1735934092.9176674,2.0
1735934092.9324312,3.0
1735934092.9424772,2.0
1735934092.9571772,3.0
1735934092.972005,3.0
1735934092.9820735,2.0
1735934092.996745,3.0
1735934093.006753,2.0
1735934093.02144,3.0
1735934093.036229,3.0
1735934093.0462635,2.0
1735934093.0609944,3.0
1735934093.075737,3.0
1735934093.0858648,2.0
1735934093.1006489,3.0
1735934093.11066,2.0
1735934093.1253502,3.0
1735934093.1401155,3.0
1735934093.150152,2.0
1735934093.1648242,3.0
1735934093.1796148,3.0
1735934093.1898658,2.0
1735934093.2045553,3.0
1735934093.2145617,2.0
1735934093.229516,3.0
1735934093.2442029,3.0
1735934093.2543113,2.0
1735934093.2690325,3.0
1735934093.2838023,3.0
1735934093.2939036,2.0
1735934093.3086126,3.0
1735934093.3186269,2.0
1735934093.3333452,3.0
1735934093.3480659,3.0
1735934093.3581288,2.0
1735934093.3681383,2.0
1735934093.3781736,2.0
1735934093.3928964,3.0
1735934093.4076319,3.0
1735934093.4177418,2.0
1735934093.432439,3.0
1735934093.4424913,2.0
1735934093.4571848,3.0
1735934093.4719408,3.0
1735934093.4820209,2.0
1735934093.492059,2.0
1735934093.5022426,2.0
1735934093.5169394,3.0
1735934093.5316918,3.0
1735934093.5418162,2.0
1735934093.5565405,3.0
1735934093.566571,2.0
1735934093.5812674,3.0
1735934093.5959842,3.0
1735934093.6060355,2.0
1735934093.6207554,3.0
1735934093.6355104,3.0
1735934093.6502163,3.0
1735934093.6653543,3.0
1735934093.6801553,3.0
1735934093.6902628,2.0
1735934093.7014115,2.0
1735934093.7118123,2.0
1735934093.7221346,2.0
1735934093.732266,2.0
1735934093.7424593,2.0
1735934093.753059,2.0
1735934093.7650096,2.0
1735934093.7764018,2.0
1735934093.7864108,2.0
1735934093.7966678,2.0
1735934093.8124337,3.0
1735934093.8274043,3.0
1735934093.8423615,3.0
1735934093.8523939,2.0
1735934093.8624594,2.0
1735934093.872631,2.0
1735934093.8876042,3.0
1735934093.8976758,2.0
1735934093.9127376,3.0
1735934093.9276953,3.0
1735934093.9426453,3.0
1735934093.952666,2.0
1735934093.9627898,2.0
1735934093.973255,2.0
1735934093.9882085,3.0
