time,scope,value
1746150267.3452,nrm.extra.perf.PAPI_L3_TCA.291870,1822925804.0
1746150267.3452,nrm.extra.perf.PAPI_TOT_INS.291870,252498335331.0
1746150267.3452,nrm.extra.perf.PAPI_TOT_CYC.291870,250040057372.0
1746150267.3452,nrm.extra.perf.PAPI_RES_STL.291870,94317293854.0
1746150267.3452,nrm.extra.perf.PAPI_L3_TCM.291870,759040854.0
1746150268.3488727,nrm.extra.perf.PAPI_L3_TCA.291870,3697806739.0
1746150268.3488727,nrm.extra.perf.PAPI_TOT_INS.291870,513045815423.0
1746150268.3488727,nrm.extra.perf.PAPI_TOT_CYC.291870,498396044615.0
1746150268.3488727,nrm.extra.perf.PAPI_RES_STL.291870,188434706409.0
1746150268.3488727,nrm.extra.perf.PAPI_L3_TCM.291870,1579050214.0
1746150269.3458233,nrm.extra.perf.PAPI_L3_TCA.291870,5582809235.0
1746150269.3458233,nrm.extra.perf.PAPI_TOT_INS.291870,774045062934.0
1746150269.3458233,nrm.extra.perf.PAPI_TOT_CYC.291870,745061462210.0
1746150269.3458233,nrm.extra.perf.PAPI_RES_STL.291870,281667122361.0
1746150269.3458233,nrm.extra.perf.PAPI_L3_TCM.291870,2386016924.0
1746150270.3460128,nrm.extra.perf.PAPI_L3_TCA.291870,7469810306.0
1746150270.3460128,nrm.extra.perf.PAPI_TOT_INS.291870,1035669391049.0
1746150270.3460128,nrm.extra.perf.PAPI_TOT_CYC.291870,991793932250.0
1746150270.3460128,nrm.extra.perf.PAPI_RES_STL.291870,375086240189.0
1746150270.3460128,nrm.extra.perf.PAPI_L3_TCM.291870,3191936422.0
1746150271.3466935,nrm.extra.perf.PAPI_L3_TCA.291870,9293584383.0
1746150271.3466935,nrm.extra.perf.PAPI_TOT_INS.291870,1292434043828.0
1746150271.3466935,nrm.extra.perf.PAPI_TOT_CYC.291870,1237615189008.0
1746150271.3466935,nrm.extra.perf.PAPI_RES_STL.291870,466777375229.0
1746150271.3466935,nrm.extra.perf.PAPI_L3_TCM.291870,3986783056.0
1746150272.3452797,nrm.extra.perf.PAPI_L3_TCA.291870,11142044777.0
1746150272.3452797,nrm.extra.perf.PAPI_TOT_INS.291870,1547863250295.0
1746150272.3452797,nrm.extra.perf.PAPI_TOT_CYC.291870,1482153302166.0
1746150272.3452797,nrm.extra.perf.PAPI_RES_STL.291870,557181090801.0
1746150272.3452797,nrm.extra.perf.PAPI_L3_TCM.291870,4762981700.0
1746150273.3453922,nrm.extra.perf.PAPI_L3_TCA.291870,12981148804.0
1746150273.3453922,nrm.extra.perf.PAPI_TOT_INS.291870,1798926589345.0
1746150273.3453922,nrm.extra.perf.PAPI_TOT_CYC.291870,1726779654625.0
1746150273.3453922,nrm.extra.perf.PAPI_RES_STL.291870,649465055726.0
1746150273.3453922,nrm.extra.perf.PAPI_L3_TCM.291870,5551026103.0
1746150274.3452969,nrm.extra.perf.PAPI_L3_TCA.291870,14806143945.0
1746150274.3452969,nrm.extra.perf.PAPI_TOT_INS.291870,2048513823152.0
1746150274.3452969,nrm.extra.perf.PAPI_TOT_CYC.291870,1967641613967.0
1746150274.3452969,nrm.extra.perf.PAPI_RES_STL.291870,737413760656.0
1746150274.3452969,nrm.extra.perf.PAPI_L3_TCM.291870,6316509698.0
1746150275.3459587,nrm.extra.perf.PAPI_L3_TCA.291870,16677054132.0
1746150275.3459587,nrm.extra.perf.PAPI_TOT_INS.291870,2304179307497.0
1746150275.3459587,nrm.extra.perf.PAPI_TOT_CYC.291870,2216375987410.0
1746150275.3459587,nrm.extra.perf.PAPI_RES_STL.291870,833037297579.0
1746150275.3459587,nrm.extra.perf.PAPI_L3_TCM.291870,7114025199.0
1746150276.3462567,nrm.extra.perf.PAPI_L3_TCA.291870,18493859253.0
1746150276.3462567,nrm.extra.perf.PAPI_TOT_INS.291870,2552545558936.0
1746150276.3462567,nrm.extra.perf.PAPI_TOT_CYC.291870,2461024048028.0
1746150276.3462567,nrm.extra.perf.PAPI_RES_STL.291870,924183451838.0
1746150276.3462567,nrm.extra.perf.PAPI_L3_TCM.291870,7879744511.0
1746150277.3454773,nrm.extra.perf.PAPI_L3_TCA.291870,20367764926.0
1746150277.3454773,nrm.extra.perf.PAPI_TOT_INS.291870,2807684221232.0
1746150277.3454773,nrm.extra.perf.PAPI_TOT_CYC.291870,2708736807249.0
1746150277.3454773,nrm.extra.perf.PAPI_RES_STL.291870,1019522863219.0
1746150277.3454773,nrm.extra.perf.PAPI_L3_TCM.291870,8675826210.0
1746150278.3458886,nrm.extra.perf.PAPI_L3_TCA.291870,22164771511.0
1746150278.3458886,nrm.extra.perf.PAPI_TOT_INS.291870,3052922192970.0
1746150278.3458886,nrm.extra.perf.PAPI_TOT_CYC.291870,2946195525506.0
1746150278.3458886,nrm.extra.perf.PAPI_RES_STL.291870,1105066416462.0
